id = 57
editor = KK

### Experiment

collaboration = HERMES
process = ep2epgamma
exptype = fixed target
year = 2010
reference =  PRELIMINARY
reference2 = 
reference3 = 2006-2007 run


### Scattering Process

frame = Trento

in1particle = ep
in1energy = 27.6
in1energyunit = GeV

in2particle = p

out1particle = ep
out2particle = p
out3particle = gamma


### Observable 
# BCA A^{cos 0*phi}_{C} for FTn=0,  A^{cos 1*phi}_{C} for FTn=1

y0namelong = Beam Charge Azimuthal Asymmetry
y0name = BCA 
y0unit = 1
y0value = table0column4
y0errorstatistic = table0column5 
y0errorsystematic = table0column6


### x-axes

x0name = tm
x0unit = GeV^2
x0value = table0column0

x1name = xB
x1unit = 1
x1value = table0column1

x2name = Q2
x2unit = GeV^2
x2value = table0column2

x3name = FTn
x3unit = 1
x3value = table0column3



### Data
#  t     x_B     Q2   FTn   asym      stat.     syst. 
#####################################################
# 0.117  0.097   2.521   0   -0.039    0.004     0.011  #overall
 0.018  0.068   1.720   0   -0.038    0.009     0.008  
 0.043  0.088   2.259   0   -0.013    0.010     0.013  
 0.078  0.099   2.512   0   -0.040   0.010      0.015  
 0.142  0.110   2.785   0   -0.023    0.009     0.008  
 0.260  0.121   3.272   0   -0.058    0.012     0.011  
 0.460  0.125   3.819   0   -0.130    0.017     0.018  
 0.095  0.049   1.338   0   -0.074    0.010     0.012  
 0.091  0.069   1.799   0   -0.084    0.009     0.010  
 0.104  0.089   2.300   0   -0.055    0.010     0.013  
 0.121  0.113   2.928   0   -0.060    0.011     0.007  
 0.159  0.157   4.058   0   -0.045    0.012     0.004  
 0.231  0.244   6.139   0   0.031     0.020     0.035  
 0.076  0.054   1.199   0   -0.058    0.009     0.019  
 0.089  0.069   1.590   0   -0.043    0.010     0.010  
 0.104  0.085   2.079   0   -0.052    0.010     0.009  
 0.126  0.105   2.768   0   -0.035    0.011     0.007  
 0.151  0.134   3.764   0   0.003     0.012     0.014  
 0.218  0.200   5.819   0   -0.019    0.014     0.019  
                      
 #0.117  0.097   2.521   1   0.032     0.006      0.005 #overall
 0.018  0.068   1.720   1   0.015     0.013      0.004 
 0.043  0.088   2.259   1   -0.004    0.013      0.013 
 0.078  0.099   2.512   1   0.027     0.014      0.009 
 0.142  0.110   2.785   1   0.044     0.012      0.007 
 0.260  0.121   3.272   1   0.078     0.017      0.020 
 0.460  0.125   3.819   1   0.051     0.025      0.006 
 0.095  0.049   1.338   1   0.017     0.015      0.015 
 0.091  0.069   1.799   1   0.028     0.012      0.022 
 0.104  0.089   2.300   1   0.029     0.015      0.017 
 0.121  0.113   2.928   1   0.045     0.015      0.003 
 0.159  0.157   4.058   1   0.036     0.017      0.019 
 0.231  0.244   6.139   1   0.059     0.029      0.072 
 0.076  0.054   1.199   1   0.024     0.012      0.020 
 0.089  0.069   1.590   1   0.038     0.014      0.023 
 0.104  0.085   2.079   1   0.007     0.014      0.014 
 0.126  0.105   2.768   1   0.055     0.015      0.012 
 0.151  0.134   3.764   1   0.024     0.017      0.019 
 0.218  0.200   5.819   1   0.035     0.019      0.037 
                      
 #0.117  0.097   2.521   2   -0.007    0.006     0.003  #overall
 0.018  0.068   1.720   2   -0.026    0.012     0.005  
 0.043  0.088   2.259   2   -0.023    0.013     0.004  
 0.078  0.099   2.512   2   0.030     0.013     0.006  
 0.142  0.110   2.785   2   -0.016    0.012     0.008  
 0.260  0.121   3.272   2   0.008     0.016     0.015  
 0.460  0.125   3.819   2   0.015     0.023     0.011  
 0.095  0.049   1.338   2  -0.011    0.013      0.004  
 0.091  0.069   1.799   2  -0.010    0.012      0.008  
 0.104  0.089   2.300   2  -0.015    0.014      0.010  
 0.121  0.113   2.928   2   -0.031    0.014     0.004  
 0.159  0.157   4.058   2   0.003     0.015     0.008  
 0.231  0.244   6.139   2   0.052     0.027     0.026  
 0.076  0.054   1.199   2    -0.026    0.012    0.004  
 0.089  0.069   1.590   2    -0.023    0.013    0.012  
 0.104  0.085   2.079   2    0.030     0.013    0.001  
 0.126  0.105   2.768   2   -0.016    0.012     0.005  
 0.151  0.134   3.764   2   -0.008    0.016     0.005  
 0.218  0.200   5.819   2   0.015     0.023     0.021  
                      
 #0.117  0.097   2.521   3   0.009     0.006     0.001 #overall
 0.018  0.068   1.720   3   -0.015    0.012     0.004  
 0.043  0.088   2.259   3   0.000     0.012     0.009  
 0.078  0.099   2.512   3   -0.001    0.013     0.013  
 0.142  0.110   2.785   3   0.031     0.012     0.007  
 0.260  0.121   3.272   3   0.021     0.016     0.006  
 0.460  0.125   3.819   3   0.040     0.022     0.010  
 0.095  0.049   1.338   3   0.003     0.012     0.009  
 0.091  0.069   1.799   3   0.005     0.012     0.007  
 0.104  0.089   2.300   3   0.014     0.014     0.005  
 0.121  0.113   2.928   3   -0.010    0.014     0.007  
 0.159  0.157   4.058   3   0.010     0.015     0.005  
 0.231  0.244   6.139   3   0.050     0.026     0.012  
 0.076  0.054   1.199   3   0.0027    0.012     0.006  
 0.089  0.069   1.590   3   0.001     0.013     0.004  
 0.104  0.085   2.079   3   0.043     0.013     0.005  
 0.126  0.105   2.768   3   -0.027    0.014     0.004  
 0.151  0.134   3.764   3   0.015     0.016     0.011  
 0.218  0.200   5.819   3   0.018     0.018     0.005  
