id = 91
editor = KK

### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = 1501.07052
reference2 = bin averages from Silvia Niccolai


### Scattering Process

frame = Trento

in1particle = em
in1energy = 5.932
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = BSA
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7 


### x-axes

x1name = Q2
x1unit = GeV^2
x1value = column1

x2name = xB
x2unit = 1
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2015 BSA
#                               error
# Q2    xB    -t   phi  BSA   stat  syst
#########################################
1.55  0.181  0.13   25  0.37  0.23  0.01
1.55  0.181  0.13   60  0.34  0.11  0.03
1.55  0.181  0.13   92  0.23  0.06  0.01
1.55  0.181  0.13  128  0.13  0.05  0.01
1.55  0.181  0.13  161  0.05  0.05  0.01
1.55  0.181  0.13  198 -0.05  0.05  0.00
1.55  0.181  0.13  235 -0.21  0.06  0.01
1.55  0.181  0.13  266 -0.28  0.06  0.01
1.55  0.181  0.13  305 -0.15  0.10  0.02
1.56  0.182  0.23   97  0.19  0.19  0.06
1.56  0.182  0.23  128  0.17  0.10  0.03
1.56  0.182  0.23  161  0.09  0.08  0.02
1.56  0.182  0.23  199 -0.12  0.07  0.02
1.56  0.182  0.23  233 -0.18  0.09  0.03
1.56  0.182  0.23  263 -0.12  0.17  0.05
1.47  0.176  0.48   96  0.39  0.24  0.09
1.47  0.176  0.48  127  0.18  0.11  0.05
1.47  0.176  0.48  162  0.21  0.07  0.02
1.47  0.176  0.48  196 -0.07  0.08  0.02
1.47  0.176  0.48  234 -0.22  0.12  0.02
1.47  0.176  0.48  261 -0.04  0.21  0.12
1.46  0.176  1.08   20  0.13  0.16  0.07
1.46  0.176  1.08   56  0.01  0.14  0.05
1.46  0.176  1.08   92  0.12  0.15  0.14
1.46  0.176  1.08  128  0.20  0.19  0.05
1.46  0.176  1.08  164 -0.09  0.08  0.01
1.46  0.176  1.08  192  0.06  0.14  0.11
1.46  0.176  1.08  239 -0.22  0.17  0.07
1.46  0.176  1.08  266  0.04  0.10  0.05
1.46  0.176  1.08  306  0.01  0.14  0.09
1.46  0.176  1.08  340 -0.11  0.18  0.12
1.98  0.247  0.14   19  0.03  0.03  0.01
1.98  0.247  0.14   52  0.17  0.03  0.01
1.98  0.247  0.14   89  0.20  0.03  0.01
1.98  0.247  0.14  124  0.16  0.05  0.01
1.98  0.247  0.14  160  0.03  0.06  0.01
1.98  0.247  0.14  199  0.02  0.06  0.01
1.98  0.247  0.14  238 -0.21  0.05  0.02
1.98  0.247  0.14  270 -0.24  0.04  0.01
1.98  0.247  0.14  308 -0.16  0.03  0.01
1.98  0.247  0.14  340 -0.07  0.03  0.00
2.05  0.259  0.23   21  0.05  0.05  0.01
2.05  0.259  0.23   53  0.22  0.04  0.01
2.05  0.259  0.23   91  0.27  0.04  0.01
