id = 50
editor = KK

# the y0 data are derived from the phi measurement
# of HALL A data from the experiment (BSD-HALLA-06)


### Experiment

collaboration = HALLA
process = ep2epgamma
exptype = fixed target
year = 2006
reference =  nucl-ex/0607029
reference2 = DFT analysis with MC error propagation by KK


### Scattering Process

frame = BMK

in1particle = em
in1energy = 5.75
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = e
out2particle = p
out3particle = gamma


### Observable 

y0name = BSDw
y0long = Weighted beam spin difference
y0unit = nb/GeV^4
y0value = column3
y0errorstatistic = column4
y0errorsystematic = column5


### x-axes

x0name = xB
x0unit = 1
x0value = 0.36

x1name = Q2
x1unit = GeV^2
x1value = column0

x2name = t
x2unit = GeV^2
x2value = column1

x3name = FTn
x3unit = 1
x3value = column2


### Data

# Q2    t     Ftn      BSDw     stat       syst (5.95%)
##############################################################
1.5   -0.33    0   -0.000205   0.001381   0.000012
1.5   -0.33   -1    0.013471   0.001670   0.000801
1.5   -0.33    1   -0.000130   0.001956   0.000008
1.5   -0.33   -2    0.003007   0.001759   0.000179
1.5   -0.33    2    0.001691   0.002124   0.000101
1.5   -0.33   -3    0.000176   0.001994   0.000010
1.5   -0.33    3    0.001143   0.002027   0.000068
1.5   -0.33   -4    0.001056   0.002200   0.000063
1.5   -0.33    4   -0.001272   0.001911   0.000076
1.5   -0.33   -5    0.001817   0.001951   0.000108
1.5   -0.33    5   -0.000321   0.001957   0.000019
1.5   -0.33   -6    0.002972   0.001985   0.000177
1.5   -0.33    6    0.002622   0.001828   0.000156
1.5   -0.33   -7    0.003799   0.001873   0.000226
1.5   -0.33    7    0.000052   0.001835   0.000003
1.5   -0.33   -8    0.004973   0.001577   0.000296
1.5   -0.33    8   -0.000513   0.001991   0.000031
1.5   -0.33   -9    0.002643   0.001757   0.000157
1.5   -0.33    9   -0.000795   0.001882   0.000047
1.5   -0.33   -10    0.001508   0.001852   0.000090
1.5   -0.33    10    0.001419   0.001854   0.000084
1.5   -0.33   -11    0.002419   0.001969   0.000144
1.5   -0.33    11    0.001566   0.001735   0.000093
1.5   -0.33   -12    0.002979   0.001291   0.000177
1.5   -0.28    0   -0.001519   0.001185   0.000090
1.5   -0.28   -1    0.014835   0.001622   0.000882
1.5   -0.28    1   -0.001385   0.001822   0.000082
1.5   -0.28   -2    0.002578   0.001741   0.000153
1.5   -0.28    2    0.000919   0.001526   0.000055
1.5   -0.28   -3   -0.000396   0.001706   0.000024
1.5   -0.28    3    0.000992   0.001648   0.000059
1.5   -0.28   -4   -0.000592   0.001683   0.000035
1.5   -0.28    4   -0.000701   0.001832   0.000042
1.5   -0.28   -5   -0.001548   0.001662   0.000092
1.5   -0.28    5   -0.004055   0.001707   0.000241
1.5   -0.28   -6   -0.000473   0.001573   0.000028
1.5   -0.28    6   -0.002817   0.001754   0.000168
1.5   -0.28   -7   -0.001605   0.001637   0.000095
1.5   -0.28    7   -0.002351   0.001691   0.000140
1.5   -0.28   -8    0.001145   0.001661   0.000068
1.5   -0.28    8   -0.000450   0.001660   0.000027
1.5   -0.28   -9   -0.000164   0.001687   0.000010
1.5   -0.28    9   -0.001345   0.001710   0.000080
1.5   -0.28   -10   -0.001695   0.001670   0.000101
1.5   -0.28    10    0.000065   0.001755   0.000004
1.5   -0.28   -11   -0.000552   0.001699   0.000033
1.5   -0.28    11    0.002297   0.001646   0.000137
1.5   -0.28   -12   -0.000176   0.001113   0.000010
1.5   -0.23    0    0.000012   0.000941   0.000001
1.5   -0.23   -1    0.014092   0.001486   0.000838
1.5   -0.23    1   -0.000104   0.001482   0.000006
1.5   -0.23   -2   -0.000628   0.001408   0.000037
1.5   -0.23    2   -0.001080   0.001469   0.000064
1.5   -0.23   -3   -0.003558   0.001442   0.000212
1.5   -0.23    3   -0.001538   0.001313   0.000091
1.5   -0.23   -4   -0.002960   0.001414   0.000176
1.5   -0.23    4    0.000061   0.001310   0.000004
1.5   -0.23   -5   -0.002533   0.001400   0.000151
1.5   -0.23    5    0.000453   0.001223   0.000027
1.5   -0.23   -6    0.000310   0.001279   0.000018
1.5   -0.23    6    0.000001   0.001302   0.000000
1.5   -0.23   -7    0.000509   0.001624   0.000030
1.5   -0.23    7   -0.002126   0.001415   0.000126
