id = 93
editor = KK


### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = 1501.07052
reference2 = bin averages from Silvia Niccolai


### Scattering Process

frame = Trento

in1particle = em
in1energy = 5.932
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p
in2polarizationvector = L
in2polarization = +1

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LL}


y1name = BTSA
y1namelong = Double Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7 


### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2014 BTSA (DSA)
#                               error
# Q2    xB    -t   phi  BTSA  stat  syst
###########################################################
1.55  0.181  0.13   25  0.58  0.33  0.04
1.55  0.181  0.13   60  0.34  0.16  0.13
1.55  0.181  0.13   92  0.58  0.08  0.02
1.55  0.181  0.13  128  0.56  0.07  0.02
1.55  0.181  0.13  161  0.46  0.07  0.02
1.55  0.181  0.13  198  0.51  0.07  0.01
1.55  0.181  0.13  235  0.51  0.08  0.02
1.55  0.181  0.13  266  0.44  0.09  0.02
1.55  0.181  0.13  305  0.46  0.14  0.04
1.56  0.182  0.23   97 -0.05  0.26  0.10
1.56  0.182  0.23  128  0.54  0.14  0.05
1.56  0.182  0.23  161  0.64  0.10  0.06
1.56  0.182  0.23  199  0.60  0.10  0.03
1.56  0.182  0.23  233  0.38  0.13  0.11
1.56  0.182  0.23  263  0.75  0.21  0.08
1.47  0.176  0.48   96  0.81  0.32  0.14
1.47  0.176  0.48  127  0.34  0.16  0.04
1.47  0.176  0.48  162  0.50  0.09  0.05
1.47  0.176  0.48  196  0.54  0.11  0.03
1.47  0.176  0.48  234  0.36  0.16  0.09
1.47  0.176  0.48  261 -0.02  0.29  0.12
1.46  0.176  1.08   20  0.36  0.23  0.07
1.46  0.176  1.08   56  0.50  0.20  0.06
1.46  0.176  1.08   92  0.08  0.21  0.18
1.46  0.176  1.08  128  0.44  0.27  0.06
1.46  0.176  1.08  164  0.12  0.11  0.05
1.46  0.176  1.08  192  0.41  0.19  0.06
1.46  0.176  1.08  239  0.24  0.23  0.06
1.46  0.176  1.08  266  0.30  0.14  0.08
1.46  0.176  1.08  306  0.51  0.20  0.07
1.46  0.176  1.08  340  0.36  0.24  0.17
1.98  0.247  0.14   19  0.60  0.04  0.03
1.98  0.247  0.14   52  0.60  0.04  0.03
1.98  0.247  0.14   89  0.57  0.05  0.02
1.98  0.247  0.14  124  0.63  0.07  0.02
1.98  0.247  0.14  160  0.65  0.08  0.03
1.98  0.247  0.14  199  0.59  0.08  0.02
1.98  0.247  0.14  238  0.50  0.07  0.02
1.98  0.247  0.14  270  0.63  0.05  0.02
1.98  0.247  0.14  308  0.56  0.04  0.03
1.98  0.247  0.14  340  0.55  0.04  0.03
2.05  0.259  0.23   21  0.58  0.06  0.02
2.05  0.259  0.23   53  0.56  0.06  0.03
2.05  0.259  0.23   91  0.49  0.06  0.01
2.05  0.259  0.23  124  0.66  0.07  0.03
2.05  0.259  0.23  161  0.55  0.08  0.02
2.05  0.259  0.23  199  0.70  0.08  0.03
2.05  0.259  0.23  235  0.62  0.08  0.04
2.05  0.259  0.23  270  0.53  0.06  0.02
2.05  0.259  0.23  307  0.57  0.06  0.03
2.05  0.259  0.23  340  0.51  0.06  0.02
1.94  0.258  0.46   26  0.66  0.22  0.05
1.94  0.258  0.46   56  0.43  0.09  0.04
1.94  0.258  0.46   90  0.55  0.08  0.03
1.94  0.258  0.46  127  0.51  0.09  0.02
1.94  0.258  0.46  163  0.45  0.06  0.02
1.94  0.258  0.46  197  0.48  0.07  0.02
1.94  0.258  0.46  233  0.44  0.10  0.03
1.94  0.258  0.46  271  0.50  0.07  0.03
1.94  0.258  0.46  303  0.41  0.09  0.04
1.94  0.258  0.46  334  0.34  0.16  0.02
1.90  0.257  1.19   17  0.48  0.06  0.02
1.90  0.257  1.19   54  0.34  0.08  0.03
1.90  0.257  1.19   87  0.33  0.09  0.03
1.90  0.257  1.19  128  0.26  0.13  0.02
1.90  0.257  1.19  164  0.40  0.06  0.01
1.90  0.257  1.19  195  0.34  0.09  0.03
1.90  0.257  1.19  238  0.34  0.12  0.05
1.90  0.257  1.19  270  0.21  0.07  0.02
1.90  0.257  1.19  307  0.56  0.09  0.04
1.90  0.257  1.19  343  0.36  0.06  0.02
2.36  0.255  0.14   20  0.76  0.06  0.02
2.36  0.255  0.14   53  0.62  0.06  0.04
2.36  0.255  0.14   88  0.76  0.07  0.02
2.36  0.255  0.14  125  0.61  0.11  0.03
2.36  0.255  0.14  162  0.81  0.13  0.04
2.36  0.255  0.14  199  0.81  0.11  0.05
2.36  0.255  0.14  237  0.84  0.09  0.02
2.36  0.255  0.14  271  0.75  0.07  0.02
2.36  0.255  0.14  307  0.56  0.06  0.02
2.36  0.255  0.14  340  0.67  0.07  0.03
2.45  0.265  0.23   24  0.55  0.10  0.02
2.45  0.265  0.23   53  0.68  0.07  0.05
2.45  0.265  0.23   90  0.58  0.09  0.03
2.45  0.265  0.23  126  0.55  0.12  0.03
2.45  0.265  0.23  161  0.39  0.14  0.07
2.45  0.265  0.23  199  0.70  0.11  0.06
2.45  0.265  0.23  236  0.63  0.11  0.03
2.45  0.265  0.23  270  0.61  0.09  0.04
2.45  0.265  0.23  308  0.59  0.07  0.02
2.45  0.265  0.23  336  0.49  0.10  0.03
2.46  0.266  0.44   31  0.01  0.31  0.11
2.46  0.266  0.44   52  0.54  0.08  0.05
2.46  0.266  0.44   91  0.59  0.09  0.03
2.46  0.266  0.44  122  0.69  0.13  0.03
2.46  0.266  0.44  159  0.59  0.18  0.04
2.46  0.266  0.44  199  0.59  0.16  0.04
2.46  0.266  0.44  235  0.71  0.13  0.04
2.46  0.266  0.44  270  0.60  0.10  0.02
2.46  0.266  0.44  307  0.43  0.09  0.05
2.46  0.266  0.44  330  0.59  0.27  0.14
2.43  0.262  1.14   20  0.30  0.11  0.02
2.43  0.262  1.14   52  0.60  0.12  0.02
2.43  0.262  1.14   88  0.65  0.26  0.07
2.43  0.262  1.14  273  0.49  0.23  0.06
2.43  0.262  1.14  308  0.45  0.13  0.05
2.43  0.262  1.14  340  0.44  0.10  0.03
2.53  0.319  0.16   19  0.73  0.07  0.06
2.53  0.319  0.16   50  0.60  0.10  0.06
2.53  0.319  0.16   88  0.74  0.19  0.05
2.53  0.319  0.16  240  0.55  0.29  0.03
2.53  0.319  0.16  273  0.93  0.19  0.09
2.53  0.319  0.16  309  0.77  0.09  0.04
2.53  0.319  0.16  342  0.70  0.08  0.05
2.67  0.337  0.24   19  0.72  0.04  0.03
2.67  0.337  0.24   51  0.69  0.05  0.03
2.67  0.337  0.24   89  0.69  0.07  0.03
2.67  0.337  0.24  122  0.72  0.09  0.04
2.67  0.337  0.24  161  0.59  0.15  0.07
2.67  0.337  0.24  201  0.75  0.12  0.02
2.67  0.337  0.24  238  0.71  0.09  0.03
2.67  0.337  0.24  271  0.68  0.07  0.03
2.67  0.337  0.24  309  0.73  0.05  0.03
2.67  0.337  0.24  341  0.59  0.04  0.03
2.67  0.350  0.46   20  0.59  0.04  0.02
2.67  0.350  0.46   51  0.66  0.04  0.02
2.67  0.350  0.46   90  0.68  0.06  0.02
2.67  0.350  0.46  126  0.53  0.06  0.02
2.67  0.350  0.46  162  0.68  0.08  0.02
2.67  0.350  0.46  202  0.54  0.08  0.04
2.67  0.350  0.46  232  0.38  0.09  0.02
2.67  0.350  0.46  271  0.62  0.06  0.04
2.67  0.350  0.46  309  0.64  0.04  0.02
2.67  0.350  0.46  340  0.59  0.03  0.02
2.47  0.350  1.19   20  0.36  0.04  0.03
2.47  0.350  1.19   52  0.39  0.06  0.02
2.47  0.350  1.19   87  0.36  0.08  0.03
2.47  0.350  1.19  129  0.30  0.08  0.04
2.47  0.350  1.19  161  0.52  0.08  0.02
2.47  0.350  1.19  201  0.52  0.08  0.02
2.47  0.350  1.19  236  0.40  0.09  0.02
2.47  0.350  1.19  269  0.30  0.06  0.02
2.47  0.350  1.19  308  0.48  0.06  0.03
2.47  0.350  1.19  340  0.43  0.04  0.02
3.15  0.415  0.27   19  0.90  0.21  0.02
3.15  0.415  0.27   51  0.30  0.29  0.09
3.31  0.442  0.51   17  0.82  0.05  0.03
3.31  0.442  0.51   52  0.77  0.06  0.04
3.31  0.442  0.51   89  0.77  0.10  0.05
3.31  0.442  0.51  124  0.64  0.12  0.07
3.31  0.442  0.51  155  0.44  0.30  0.08
3.31  0.442  0.51  207  0.50  0.31  0.07
3.31  0.442  0.51  238  0.75  0.14  0.07
3.31  0.442  0.51  271  0.82  0.11  0.04
3.31  0.442  0.51  310  0.68  0.06  0.04
3.31  0.442  0.51  342  0.77  0.04  0.03
3.32  0.461  1.16   18  0.51  0.04  0.02
3.32  0.461  1.16   52  0.60  0.07  0.03
3.32  0.461  1.16   89  0.55  0.10  0.04
3.32  0.461  1.16  126  0.55  0.08  0.02
3.32  0.461  1.16  159  0.43  0.15  0.07
3.32  0.461  1.16  203  0.78  0.16  0.06
3.32  0.461  1.16  236  0.46  0.09  0.03
3.32  0.461  1.16  269  0.56  0.08  0.03
3.32  0.461  1.16  310  0.77  0.08  0.05
3.32  0.461  1.16  342  0.51  0.04  0.02
