id = 83
editor = KK



### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2014
reference =  private communication
reference2 = from Silvia Niccolai


### Scattering Process

frame = Trento

in1particle = em
in1energy = 5.932
in1energyunit = GeV

in2polarizationvector = L
in2polarization = +1
in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{UL}


y1name = TSA
y1namelong = Longitudinally Polarized Target Spin Asymmetry
y1unit = 1
y1value = column5
y1error = column6 
# only statistical error is given to us



### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2014 TSA
#
# Q2        xB       -t       phi    TSA      stat_err_TSA
###########################################################
 1.9011   0.2573   1.1946   19.2325  -0.0720   0.0541
 1.9011   0.2573   1.1946   52.1529   0.1400   0.0710
 1.9011   0.2573   1.1946   89.1628   0.2295   0.0798
 1.9011   0.2573   1.1946   125.9660   0.4168   0.1071
 1.9011   0.2573   1.1946   161.8830   0.1471   0.0555
 1.9011   0.2573   1.1946   198.8630  -0.0952   0.0780
 1.9011   0.2573   1.1946   235.8380  -0.3279   0.0969
 1.9011   0.2573   1.1946   269.8610  -0.2237   0.0625
 1.9011   0.2573   1.1946   308.0970  -0.1917   0.0779
 1.9011   0.2573   1.1946   340.6940   0.0184   0.0501
 3.3173   0.4614   1.1590   19.2325   0.0767   0.0371
 3.3173   0.4614   1.1590   52.1529   0.1482   0.0648
 3.3173   0.4614   1.1590   89.1628   0.1599   0.0828
 3.3173   0.4614   1.1590   125.9660   0.0602   0.0672
 3.3173   0.4614   1.1590   161.8830   0.0890   0.1330
 3.3173   0.4614   1.1590   198.8630  -0.1120   0.1443
 3.3173   0.4614   1.1590   235.8380  -0.2966   0.0779
 3.3173   0.4614   1.1590   269.8610  -0.1422   0.0681
 3.3173   0.4614   1.1590   308.0970  -0.2511   0.0749
 3.3173   0.4614   1.1590   340.6940  -0.0746   0.0331
 2.5289   0.3187   0.1578   19.2325   0.0636   0.0665
