id = 92
editor = KK

### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1501.07052
reference2 = bin averages from Silvia Niccolai

### Scattering Process

frame = Trento

in1particle = em
in1energy = 5.932
in1energyunit = GeV

in2polarizationvector = L
in2polarization = +1
in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{UL}


y1name = TSA
y1namelong = Longitudinally Polarized Target Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7 



### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2014 TSA
#                               error
# Q2   xB     -t   phi   TSA  stat  syst
#########################################
1.55  0.181  0.13   25  0.44  0.26  0.02
1.55  0.181  0.13   60  0.12  0.14  0.02
1.55  0.181  0.13   92  0.18  0.07  0.01
1.55  0.181  0.13  128  0.13  0.06  0.02
1.55  0.181  0.13  161  0.07  0.06  0.01
1.55  0.181  0.13  198 -0.08  0.06  0.01
1.55  0.181  0.13  235 -0.13  0.07  0.02
1.55  0.181  0.13  266 -0.18  0.08  0.01
1.55  0.181  0.13  305 -0.01  0.12  0.03
1.56  0.182  0.23   97  0.15  0.21  0.04
1.56  0.182  0.23  128 -0.01  0.12  0.03
1.56  0.182  0.23  161  0.13  0.09  0.02
1.56  0.182  0.23  199  0.11  0.09  0.01
1.56  0.182  0.23  233 -0.24  0.11  0.01
1.56  0.182  0.23  263 -0.41  0.19  0.08
1.47  0.176  0.48   96  0.23  0.27  0.06
1.47  0.176  0.48  127  0.14  0.14  0.04
1.47  0.176  0.48  162  0.19  0.08  0.01
1.47  0.176  0.48  196 -0.03  0.10  0.01
1.47  0.176  0.48  234 -0.17  0.14  0.04
1.47  0.176  0.48  261 -0.29  0.24  0.10
1.46  0.176  1.08   20  0.23  0.19  0.02
1.46  0.176  1.08   56 -0.05  0.17  0.07
1.46  0.176  1.08   92  0.21  0.20  0.10
1.46  0.176  1.08  128  0.36  0.24  0.04
1.46  0.176  1.08  164  0.41  0.09  0.06
1.46  0.176  1.08  192  0.07  0.18  0.07
1.46  0.176  1.08  239  0.09  0.22  0.03
1.46  0.176  1.08  266 -0.27  0.12  0.10
1.46  0.176  1.08  306  0.04  0.17  0.10
1.46  0.176  1.08  340 -0.20  0.20  0.10
1.98  0.247  0.14   19 -0.03  0.03  0.01
1.98  0.247  0.14   52  0.05  0.04  0.01
1.98  0.247  0.14   89  0.05  0.04  0.01
1.98  0.247  0.14  124  0.12  0.06  0.02
1.98  0.247  0.14  160  0.20  0.07  0.01
1.98  0.247  0.14  199 -0.01  0.07  0.02
1.98  0.247  0.14  238 -0.13  0.06  0.01
1.98  0.247  0.14  270 -0.16  0.04  0.01
1.98  0.247  0.14  308 -0.16  0.03  0.01
1.98  0.247  0.14  340 -0.09  0.04  0.01
2.05  0.259  0.23   21 -0.00  0.06  0.01
2.05  0.259  0.23   53  0.14  0.05  0.02
2.05  0.259  0.23   91  0.16  0.05  0.01
2.05  0.259  0.23  124  0.06  0.07  0.01
2.05  0.259  0.23  161  0.07  0.07  0.01
2.05  0.259  0.23  199 -0.03  0.08  0.02
2.05  0.259  0.23  235 -0.18  0.07  0.01
2.05  0.259  0.23  270 -0.21  0.05  0.01
2.05  0.259  0.23  307 -0.15  0.05  0.02
2.05  0.259  0.23  340  0.00  0.05  0.01
1.94  0.258  0.46   26 -0.17  0.18  0.01
1.94  0.258  0.46   56  0.15  0.08  0.02
1.94  0.258  0.46   90  0.29  0.07  0.04
1.94  0.258  0.46  127  0.14  0.08  0.02
1.94  0.258  0.46  163  0.12  0.05  0.01
1.94  0.258  0.46  197 -0.13  0.06  0.03
1.94  0.258  0.46  233 -0.12  0.09  0.04
1.94  0.258  0.46  271 -0.17  0.06  0.02
1.94  0.258  0.46  303 -0.09  0.07  0.01
1.94  0.258  0.46  334 -0.04  0.14  0.02
1.90  0.257  1.19   17 -0.08  0.05  0.01
1.90  0.257  1.19   54  0.14  0.07  0.02
1.90  0.257  1.19   87  0.20  0.08  0.04
1.90  0.257  1.19  128  0.46  0.12  0.06
1.90  0.257  1.19  164  0.16  0.06  0.02
1.90  0.257  1.19  195 -0.09  0.08  0.03
1.90  0.257  1.19  238 -0.30  0.11  0.04
1.90  0.257  1.19  270 -0.26  0.07  0.04
1.90  0.257  1.19  307 -0.20  0.08  0.02
1.90  0.257  1.19  343  0.02  0.05  0.02
2.36  0.255  0.14   20  0.02  0.05  0.01
2.36  0.255  0.14   53  0.01  0.05  0.02
2.36  0.255  0.14   88 -0.01  0.07  0.01
2.36  0.255  0.14  125  0.14  0.10  0.01
2.36  0.255  0.14  162  0.25  0.12  0.05
2.36  0.255  0.14  199  0.07  0.10  0.04
2.36  0.255  0.14  237 -0.17  0.09  0.02
2.36  0.255  0.14  271 -0.15  0.07  0.01
2.36  0.255  0.14  307 -0.10  0.05  0.01
