id = 23
editor = KK

process = ep2epgamma

in1 = e
in1energy = 5.75
in1energyunit = GeV
in1polarization = L

in2 = p
in2polarization = U

out1 = e
out2 = p
out3 = gamma

Q2 = 2.3
t = -0.28
xB = 0.36

### Experiment

collaboration = HALLA
exptype = fixed target
year = 2006
reference =  nucl-ex/0607029
reference2 = private tables

### Observable 

y0 = XUU
y0long = Beam Helicity Independent Cross Section
y0unit = nb/GeV^4


### x-axes

x0 = phi
x0unit = degree

frame = Trento

### Data

# phi      XUU          err
############################################
7.5 0.0948226 0.00395071
22.5 0.0972397 0.0037461
37.5 0.0710626 0.0029809
52.5 0.0568382 0.00262553
67.5 0.0552917 0.00256827
82.5 0.0507478 0.00238252
97.5 0.0388871 0.00216962
112.5 0.0361443 0.00206963
127.5 0.0306667 0.00185964
142.5 0.0309008 0.00186301
157.5 0.0311272 0.00184804
172.5 0.0319117 0.00185935
187.5 0.0254224 0.0017139
202.5 0.0247615 0.00170383
217.5 0.0294066 0.00186523
232.5 0.0367843 0.00203573
247.5 0.0345599 0.00203629
262.5 0.0421811 0.00222765
277.5 0.0472413 0.00238125
292.5 0.0552884 0.00253253
307.5 0.0676768 0.00281508
322.5 0.0753419 0.00307858
337.5 0.0766898 0.00339383
352.5 0.0862141 0.00392172

