'F2'                   YOBS
0.005d0                X_BJ
-1.                    Q2  
9                      N
 8.5     .648    .033    .051     
12.0     .685    .016    .061     
15.0     .677    .014    .035     
20.0     .761    .017    .028 
25.0     .768    .019    .034   
35.0     .832    .023    .040   
45.0     .912    .028    .033    
60.0     .937    .033    .043     
90.0     .997    .045    .047    


*     DIS3H1  [H1,  Nucl.Phys.B470(96)3]
*       X = Q2,   Y = F2
*       X_BJ = 0.00500 
