'F2'                   YOBS
0.0032d0                X_BJ
-1.                    Q2  
9                      N
 8.5     .562    .028    .043         
12.0     .749    .016    .055         
15.0     .773    .014    .036         
20.0     .861    .017    .038      
25.0     .872    .020    .034 
35.0     .928    .024    .038
45.0    1.105    .032    .058         
60.0    1.079    .037    .045         
90.0    1.103    .052    .048     


*     DIS4H1  [H1,  Nucl.Phys.B470(96)3]
*       X = Q2,   Y = F2
*       X_BJ = 0.00320
