'F2'                   YOBS
0.0013d0                X_BJ
-1.                    Q2  
10                      N
 3.5     .778    .058    .137 
 5.0     .630    .034    .050   
 6.5     .759    .039    .068     
 8.5     .811    .030    .047     
12.0     .942    .015    .039     
15.0    1.008    .016    .033     
20.0    1.061    .020    .055
25.0    1.151    .024    .047     
35.0    1.308    .032    .052
45.0    1.305    .038    .048    



*     DIS6H1  [H1,  Nucl.Phys.B470(96)3]
*       X = Q2,   Y = F2
*       X_BJ = 0.00130
