'F2'                   YOBS
0.0008d0                X_BJ
-1.                    Q2  
9                      N
 3.5     .712    .049    .126       
 5.0     .769    .037    .063       
 6.5     .848    .038    .076         
 8.5     .923    .031    .038         
12.0    1.067    .015    .061     
15.0    1.110    .018    .057     
20.0    1.210    .022    .050          
25.0    1.330    .028    .051     
35.0    1.442    .038    .051      



*     DIS7H1  [H1,  Nucl.Phys.B470(96)3]
*       X = Q2,   Y = F2
*       X_BJ = 0.00080
