'F2'                   YOBS
0.0005d0                X_BJ
-1.                    Q2  
8                      N     
 3.5     .716    .041    .119           
 5.0     .839    .039    .076            
 6.5     .926    .044    .088            
 8.5    1.033    .034    .062   
12.0    1.168    .016    .056          
15.0    1.280    .020    .050             
20.0    1.407    .026    .054         
25.0    1.546    .047    .058   



*     DIS8H1  [H1,  Nucl.Phys.B470(96)3]
*       X = Q2,   Y = F2
*       X_BJ = 0.00050 
