id = 92
editor = KK

### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1501.07052
inspiretex = Pisano:2015iqa
reference2 = bin averages from Silvia Niccolai

### Scattering Process

frame = Trento

in1particle = em
in1energy = 5.932
in1energyunit = GeV

in2polarizationvector = L
in2polarization = +1
in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{UL}


y1name = TSA
y1namelong = Longitudinally Polarized Target Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7 



### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
table=
#
#  CLAS 2015 TSA
#                                                  error
#   Q2       xB        -t     phi    TSA       stat    syst
###########################################################
 1.55354  0.181084  0.128694   25  0.443007  0.264000  0.02
 1.55354  0.181084  0.128694   60  0.122247  0.137000  0.02
 1.55354  0.181084  0.128694   92  0.176996  0.072192  0.01
 1.55354  0.181084  0.128694  128  0.126381  0.062824  0.02
 1.55354  0.181084  0.128694  161  0.073833  0.060952  0.01
 1.55354  0.181084  0.128694  198 -0.077106  0.058523  0.01
 1.55354  0.181084  0.128694  235 -0.125582  0.065387  0.02
 1.55354  0.181084  0.128694  266 -0.178470  0.075210  0.01
 1.55354  0.181084  0.128694  305 -0.007136  0.117000  0.03
 1.56422  0.182261  0.230179   97  0.148580  0.213000  0.04
 1.56422  0.182261  0.230179  128 -0.008663  0.121938  0.03
 1.56422  0.182261  0.230179  161  0.131648  0.090686  0.02
 1.56422  0.182261  0.230179  199  0.112107  0.087958  0.01
 1.56422  0.182261  0.230179  233 -0.242211  0.109281  0.01
 1.56422  0.182261  0.230179  263 -0.406282  0.186300  0.08
 1.47020  0.176380  0.475638   96  0.225193  0.272000  0.06
 1.47020  0.176380  0.475638  127  0.142848  0.136340  0.04
 1.47020  0.176380  0.475638  162  0.193032  0.084775  0.01
 1.47020  0.176380  0.475638  196 -0.032880  0.099186  0.01
 1.47020  0.176380  0.475638  234 -0.165234  0.139623  0.04
 1.47020  0.176380  0.475638  261 -0.292665  0.239200  0.10
 1.46031  0.175596  1.081570   20  0.227206  0.186664  0.02
 1.46031  0.175596  1.081570   56 -0.048965  0.167108  0.07
 1.46031  0.175596  1.081570   92  0.212654  0.201000  0.10
 1.46031  0.175596  1.081570  128  0.362854  0.240200  0.04
 1.46031  0.175596  1.081570  164  0.414594  0.093481  0.06
 1.46031  0.175596  1.081570  192  0.067275  0.175900  0.07
 1.46031  0.175596  1.081570  239  0.089259  0.219200  0.03
 1.46031  0.175596  1.081570  266 -0.268295  0.119172  0.10
 1.46031  0.175596  1.081570  306  0.039848  0.174889  0.10
 1.46031  0.175596  1.081570  340 -0.197232  0.199000  0.10
 1.97907  0.247267  0.135801   19 -0.026771  0.031277  0.01
 1.97907  0.247267  0.135801   52  0.049454  0.035381  0.01
 1.97907  0.247267  0.135801   89  0.051646  0.040669  0.01
 1.97907  0.247267  0.135801  124  0.119438  0.060622  0.02
 1.97907  0.247267  0.135801  160  0.195208  0.071178  0.01
 1.97907  0.247267  0.135801  199 -0.008816  0.073488  0.02
 1.97907  0.247267  0.135801  238 -0.132108  0.058596  0.01
 1.97907  0.247267  0.135801  270 -0.158928  0.044027  0.01
 1.97907  0.247267  0.135801  308 -0.155573  0.033327  0.01
 1.97907  0.247267  0.135801  340 -0.086000  0.035157  0.01
 2.04773  0.258542  0.227796   21 -0.000482  0.055164  0.01
 2.04773  0.258542  0.227796   53  0.140488  0.050269  0.02
 2.04773  0.258542  0.227796   91  0.158978  0.052695  0.01
 2.04773  0.258542  0.227796  124  0.063898  0.067253  0.01
 2.04773  0.258542  0.227796  161  0.074587  0.073110  0.01
 2.04773  0.258542  0.227796  199 -0.029931  0.075668  0.02
 2.04773  0.258542  0.227796  235 -0.181600  0.069434  0.01
 2.04773  0.258542  0.227796  270 -0.214760  0.052811  0.01
 2.04773  0.258542  0.227796  307 -0.153852  0.051592  0.02
 2.04773  0.258542  0.227796  340  0.004220  0.052477  0.01
 1.94335  0.257897  0.457348   26 -0.174196  0.182600  0.01
 1.94335  0.257897  0.457348   56  0.145570  0.075164  0.02
 1.94335  0.257897  0.457348   90  0.289251  0.066356  0.04
 1.94335  0.257897  0.457348  127  0.143510  0.077507  0.02
 1.94335  0.257897  0.457348  163  0.120870  0.054769  0.01
 1.94335  0.257897  0.457348  197 -0.126013  0.064797  0.03
 1.94335  0.257897  0.457348  233 -0.121629  0.088081  0.04
 1.94335  0.257897  0.457348  271 -0.165467  0.058715  0.02
 1.94335  0.257897  0.457348  303 -0.092056  0.074944  0.01
 1.94335  0.257897  0.457348  334 -0.035784  0.136759  0.02
 1.90114  0.257321  1.194570   17 -0.076038  0.054209  0.01
 1.90114  0.257321  1.194570   54  0.138301  0.070646  0.02
 1.90114  0.257321  1.194570   87  0.204182  0.084267  0.04
 1.90114  0.257321  1.194570  128  0.458594  0.115089  0.06
