id = 84
editor = KK



### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2014
reference =  private communication
reference2 = from Silvia Niccolai


### Scattering Process

frame = Trento

in1particle = em
in1energy = 5.932
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p
in2polarizationvector = L
in2polarization = +1

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LL}


y1name = BTSA
y1namelong = Double Spin Asymmetry
y1unit = 1
y1value = column5
y1error = column6 
# only statistical error is given to us



### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2014 BTSA (DSA)
#
# Q2        xB       -t       phi    BTSA      stat_err_BTSA
###########################################################
 1.9011   0.2573   1.1946   19.2325   0.4850   0.0612
 1.9011   0.2573   1.1946   52.1529   0.3356   0.0823
 1.9011   0.2573   1.1946   89.1628   0.3326   0.0937
 1.9011   0.2573   1.1946   125.9660   0.2588   0.1307
 1.9011   0.2573   1.1946   161.8830   0.3994   0.0645
 1.9011   0.2573   1.1946   198.8630   0.3434   0.0906
 1.9011   0.2573   1.1946   235.8380   0.3444   0.1160
 1.9011   0.2573   1.1946   269.8610   0.2071   0.0749
 1.9011   0.2573   1.1946   308.0970   0.5581   0.0887
 1.9011   0.2573   1.1946   340.6940   0.3556   0.0576
 3.3173   0.4614   1.1590   19.2325   0.5139   0.0416
 3.3173   0.4614   1.1590   52.1529   0.6008   0.0711
 3.3173   0.4614   1.1590   89.1628   0.5536   0.0955
 3.3173   0.4614   1.1590   125.9660   0.5554   0.0761
 3.3173   0.4614   1.1590   161.8830   0.4294   0.1502
 3.3173   0.4614   1.1590   198.8630   0.7806   0.1582
 3.3173   0.4614   1.1590   235.8380   0.4649   0.0899
 3.3173   0.4614   1.1590   269.8610   0.5596   0.0776
 3.3173   0.4614   1.1590   308.0970   0.7674   0.0821
 3.3173   0.4614   1.1590   340.6940   0.5102   0.0369
 2.5289   0.3187   0.1578   19.2325   0.7281   0.0726
 2.5289   0.3187   0.1578   52.1529   0.5977   0.0972
 2.5289   0.3187   0.1578   89.1628   0.7360   0.1902
 2.5289   0.3187   0.1578   235.8380   0.5477   0.2865
 2.5289   0.3187   0.1578   269.8610   0.9269   0.1854
 2.5289   0.3187   0.1578   308.0970   0.7674   0.0873
 2.5289   0.3187   0.1578   340.6940   0.7049   0.0789
 1.5642   0.1823   0.2302   89.1628  -0.0530   0.2615
 1.5642   0.1823   0.2302   125.9660   0.5443   0.1365
 1.5642   0.1823   0.2302   161.8830   0.6435   0.1025
 1.5642   0.1823   0.2302   198.8630   0.6034   0.0982
 1.5642   0.1823   0.2302   235.8380   0.3836   0.1296
 1.5642   0.1823   0.2302   269.8610   0.7550   0.2100
 2.6655   0.3496   0.4558   19.2325   0.5916   0.0354
 2.6655   0.3496   0.4558   52.1529   0.6577   0.0382
 2.6655   0.3496   0.4558   89.1628   0.6798   0.0633
 2.6655   0.3496   0.4558   125.9660   0.5300   0.0623
 2.6655   0.3496   0.4558   161.8830   0.6755   0.0761
 2.6655   0.3496   0.4558   198.8630   0.5376   0.0752
 2.6655   0.3496   0.4558   235.8380   0.3859   0.0851
 2.6655   0.3496   0.4558   269.8610   0.6226   0.0642
 2.6655   0.3496   0.4558   308.0970   0.6406   0.0405
 2.6655   0.3496   0.4558   340.6940   0.5908   0.0331
 3.3141   0.4423   0.5068   19.2325   0.8193   0.0451
 3.3141   0.4423   0.5068   52.1529   0.7710   0.0619
 3.3141   0.4423   0.5068   89.1628   0.7667   0.0991
 3.3141   0.4423   0.5068   125.9660   0.6414   0.1151
 3.3141   0.4423   0.5068   161.8830   0.4367   0.3054
 3.3141   0.4423   0.5068   198.8630   0.5036   0.3119
 3.3141   0.4423   0.5068   235.8380   0.7534   0.1374
 3.3141   0.4423   0.5068   269.8610   0.8211   0.1079
 3.3141   0.4423   0.5068   308.0970   0.6819   0.0650
