id = 93
editor = KK


### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1501.07052
inspiretex = Pisano:2015iqa
reference2 = bin averages from Silvia Niccolai


### Scattering Process

frame = Trento

in1particle = em
in1energy = 5.932
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p
in2polarizationvector = L
in2polarization = +1

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LL}


y1name = BTSA
y1namelong = Double Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7 


### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
table=
#
#  CLAS 2015 BTSA (DSA)
#                                                 error
#   Q2       xB         -t    phi    BTSA      stat    syst
###########################################################
 1.55354  0.181084  0.128694   25  0.581593  0.325814  0.04
 1.55354  0.181084  0.128694   60  0.345108  0.161311  0.13
 1.55354  0.181084  0.128694   92  0.576595  0.082662  0.02
 1.55354  0.181084  0.128694  128  0.558258  0.071553  0.02
 1.55354  0.181084  0.128694  161  0.457626  0.070122  0.02
 1.55354  0.181084  0.128694  198  0.506793  0.066959  0.01
 1.55354  0.181084  0.128694  235  0.513575  0.075322  0.02
 1.55354  0.181084  0.128694  266  0.436244  0.088293  0.02
 1.55354  0.181084  0.128694  305  0.462772  0.135548  0.04
 1.56422  0.182261  0.230179   97 -0.052988  0.261532  0.10
 1.56422  0.182261  0.230179  128  0.544283  0.136481  0.05
 1.56422  0.182261  0.230179  161  0.643469  0.102474  0.06
 1.56422  0.182261  0.230179  199  0.603422  0.098167  0.03
 1.56422  0.182261  0.230179  233  0.383634  0.129591  0.11
 1.56422  0.182261  0.230179  263  0.754994  0.210048  0.08
 1.47020  0.176380  0.475638   96  0.808303  0.323155  0.14
 1.47020  0.176380  0.475638  127  0.336566  0.159103  0.04
 1.47020  0.176380  0.475638  162  0.501594  0.094237  0.05
 1.47020  0.176380  0.475638  196  0.540575  0.109887  0.03
 1.47020  0.176380  0.475638  234  0.356055  0.163829  0.09
 1.47020  0.176380  0.475638  261 -0.019573  0.289307  0.12
 1.46031  0.175596  1.081570   20  0.364839  0.225954  0.07
 1.46031  0.175596  1.081570   56  0.498806  0.199287  0.06
 1.46031  0.175596  1.081570   92  0.079526  0.214676  0.18
 1.46031  0.175596  1.081570  128  0.444071  0.271194  0.06
 1.46031  0.175596  1.081570  164  0.115247  0.106738  0.05
 1.46031  0.175596  1.081570  192  0.406334  0.191567  0.06
 1.46031  0.175596  1.081570  239  0.239928  0.229355  0.06
 1.46031  0.175596  1.081570  266  0.296984  0.140667  0.08
 1.46031  0.175596  1.081570  306  0.511240  0.200166  0.07
 1.46031  0.175596  1.081570  340  0.363008  0.241743  0.17
 1.97907  0.247267  0.135801   19  0.601153  0.035121  0.03
 1.97907  0.247267  0.135801   52  0.604761  0.039616  0.03
 1.97907  0.247267  0.135801   89  0.566495  0.046082  0.02
 1.97907  0.247267  0.135801  124  0.631140  0.067583  0.02
 1.97907  0.247267  0.135801  160  0.648475  0.078091  0.03
 1.97907  0.247267  0.135801  199  0.585393  0.081499  0.02
 1.97907  0.247267  0.135801  238  0.503509  0.066382  0.02
 1.97907  0.247267  0.135801  270  0.633068  0.049080  0.02
 1.97907  0.247267  0.135801  308  0.564496  0.037911  0.03
 1.97907  0.247267  0.135801  340  0.546362  0.039853  0.03
 2.04773  0.258542  0.227796   21  0.579979  0.062212  0.02
 2.04773  0.258542  0.227796   53  0.559631  0.057448  0.03
 2.04773  0.258542  0.227796   91  0.487337  0.061839  0.01
