,dataset,id,editor,collaboration,process,exptype,year,reference2,frame,in1particle,in1energyunit,in2particle,out1particle,out2particle,out3particle,y1name,y1namelong,y1unit,y1value,y1errorstatistic,x1name,x1unit,x1value,x2name,x2unit,x2value,x3name,x3unit,x3value,x4name,x4unit,x4value,x5name,x5unit,x5value,xnames,xaxes,yaxis,filename,units,newunits,in1charge,in1energy,xB,Q2,t,phi,val,errplus,errminus,errstat,errsyst,errnorm,err,W,xi,tm,in1polarization,origval,origerr,origerrminus,origerrplus,origerrstat,origerrsyst,origerrnorm,newframe,s,y,eps,eps2,J,K2,K,tK2,tK,r,chi0,chi,intP1P2,P1P2
0,DataSet with 1080 points,141,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSS,Beam Helicity Independent Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSS,BSS-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSS': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,3.0106929596902186,0.04685,0.0015,0.0015,0.0015,0.0,0.0,0.0015,2.5383334571180907,0.2217470983506414,0.0442,0,0.04685,0.0015,0.0015,0.0015,0.0015,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
1,DataSet with 1080 points,141,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSS,Beam Helicity Independent Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSS,BSS-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSS': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,2.748893571891069,0.043,0.0015,0.0015,0.0015,0.0,0.0,0.0015,2.5383334571180907,0.2217470983506414,0.0442,0,0.043,0.0015,0.0015,0.0015,0.0015,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
2,DataSet with 1080 points,141,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSS,Beam Helicity Independent Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSS,BSS-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSS': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,2.4870941840919194,0.0412,0.0014,0.0014,0.0014,0.0,0.0,0.0014,2.5383334571180907,0.2217470983506414,0.0442,0,0.0412,0.0014,0.0014,0.0014,0.0014,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
3,DataSet with 1080 points,141,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSS,Beam Helicity Independent Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSS,BSS-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSS': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,2.2252947962927703,0.03692,0.0013,0.0013,0.0013,0.0,0.0,0.0013,2.5383334571180907,0.2217470983506414,0.0442,0,0.03692,0.0013,0.0013,0.0013,0.0013,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
4,DataSet with 1080 points,141,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSS,Beam Helicity Independent Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSS,BSS-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSS': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,1.9634954084936207,0.03529,0.0012,0.0012,0.0012,0.0,0.0,0.0012,2.5383334571180907,0.2217470983506414,0.0442,0,0.03529,0.0012,0.0012,0.0012,0.0012,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
5,DataSet with 1080 points,141,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSS,Beam Helicity Independent Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSS,BSS-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSS': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,1.7016960206944713,0.02995,0.0012,0.0012,0.0012,0.0,0.0,0.0012,2.5383334571180907,0.2217470983506414,0.0442,0,0.02995,0.0012,0.0012,0.0012,0.0012,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
6,DataSet with 1080 points,141,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSS,Beam Helicity Independent Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSS,BSS-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSS': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,1.439896632895322,0.02703,0.0011,0.0011,0.0011,0.0,0.0,0.0011,2.5383334571180907,0.2217470983506414,0.0442,0,0.02703,0.0011,0.0011,0.0011,0.0011,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
7,DataSet with 1080 points,141,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSS,Beam Helicity Independent Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSS,BSS-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSS': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,1.1780972450961724,0.02304,0.00097,0.00097,0.00097,0.0,0.0,0.00097,2.5383334571180907,0.2217470983506414,0.0442,0,0.02304,0.00097,0.00097,0.00097,0.00097,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
8,DataSet with 1080 points,141,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSS,Beam Helicity Independent Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSS,BSS-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSS': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,0.9162978572970228,0.02258,0.00096,0.00096,0.00096,0.0,0.0,0.00096,2.5383334571180907,0.2217470983506414,0.0442,0,0.02258,0.00096,0.00096,0.00096,0.00096,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
9,DataSet with 1080 points,141,MC,HALLA,en2engamma,fixed target,2020,Table 1.1,Trento,e-,GeV,n,e-,n,gamma,BSS,Beam Helicity Independent Cross Section,nb/GeV^4,column6,column7,in1energy,GeV,column1,xB,1,column2,Q2,GeV^2,column3,t,GeV^2,column4,phi,deg,column5,"['x1name', 'x2name', 'x3name', 'x4name', 'x5name']","['in1energy', 'xB', 'Q2', 't', 'phi']",BSS,BSS-HALLA-18.dat,"{'in1energy': 'GeV', 'xB': '1', 'Q2': 'GeV^2', 't': 'GeV^2', 'phi': 'deg', 'BSS': 'nb/GeV^4'}",{'phi': 'rad'},-1,7.383,0.363,3.17,-0.21084551728138823,0.6544984694978733,0.02119,0.00094,0.00094,0.00094,0.0,0.0,0.00094,2.5383334571180907,0.2217470983506414,0.0442,0,0.02119,0.00094,0.00094,0.00094,0.00094,0.0,0.0,BMK,14.734878914337072,0.6303198887438111,0.38259188299591457,0.14637654893435958,0.3312020502722686,-0.00949785795344962,,-0.08477815131199759,,,,-0.04919717353401298,-3.9312476294025585,
