id = 213
editor = KK

### Experiment

collaboration = H1ZEUS
process = dis
exptype = collider
year = 2015
reference = arXiv:1506.06042
reference2 = Table10
#  Data is downloaded from
#  https://www.hepdata.net/record/ins416819
#  as CSV and processed with Python Pandas.
#  Some checking should still be done, this was done
#  fast because of referee requirement, only for
#  plotting, not for numerics.

### Scattering Process

in1particle = e+
in1energy = 27.5
in1energyunit = GeV

in2particle = p
in2energy = 920
in2energyunit = GeV

### Observable 

y1name = DISF2
y1namelong = "positron reduced DIS cross-section ~ F2 for low y"
y1unit = 1
y1value = column3
y1error = column4


### x-axes
x1name = Q2
x1unit = GeV^2
x1value = column1

x2name = xB
x2unit = 1
x2value = column2


### Data
#  Error is absolute, obtained
#  by adding all stat and syst errors in quadrature
#  (agrees with last column of table 10).
# Q2       xB        F2     err
######################################
0.15   0.0000050   0.185   0.0104
0.2   0.0000067   0.227   0.0061
0.2   0.0000085   0.223   0.0068
0.2   0.0000110   0.208   0.0091
0.2   0.0000398   0.211   0.0436
0.2   0.0002510   0.18   0.0276
0.25   0.0000084   0.265   0.0077
0.25   0.0000106   0.26   0.0070
0.25   0.0000138   0.249   0.0068
0.25   0.0000230   0.243   0.0096
0.25   0.0000398   0.236   0.0112
0.25   0.0001100   0.199   0.0100
0.25   0.0002510   0.196   0.0102
0.25   0.0003940   0.194   0.0116
0.25   0.0015800   0.198   0.0250
0.35   0.0000051   0.436   0.1120
0.35   0.0000100   0.345   0.0099
0.35   0.0000127   0.324   0.0091
0.35   0.0000165   0.313   0.0086
0.35   0.0000320   0.296   0.0122
0.35   0.0000662   0.282   0.0105
0.35   0.0001300   0.257   0.0090
0.35   0.0002200   0.24   0.0093
0.35   0.0005000   0.24   0.0091
0.35   0.0025100   0.201   0.0224
0.4   0.0000133   0.355   0.0121
0.4   0.0000170   0.354   0.0105
0.4   0.0000220   0.334   0.0097
0.4   0.0000368   0.33   0.0138
0.4   0.0000883   0.32   0.0118
0.4   0.0001760   0.287   0.0107
0.4   0.0002940   0.277   0.0105
0.4   0.0006310   0.26   0.0105
0.5   0.0000073   0.428   0.0430
0.5   0.0000158   0.426   0.0202
0.5   0.0000212   0.39   0.0127
0.5   0.0000276   0.377   0.0119
0.5   0.0000398   0.364   0.0160
0.5   0.0001000   0.348   0.0104
0.5   0.0002510   0.308   0.0089
0.5   0.0003680   0.3   0.0096
0.5   0.0008000   0.287   0.0089
0.5   0.0032000   0.182   0.0239
0.65   0.0000095   0.464   0.0290
0.65   0.0000158   0.462   0.0300
0.65   0.0000398   0.472   0.0187
0.65   0.0000598   0.416   0.0213
0.65   0.0001000   0.409   0.0156
0.65   0.0002510   0.361   0.0123
0.65   0.0004780   0.332   0.0121
0.65   0.0008000   0.318   0.0101
0.65   0.0032000   0.224   0.0153
0.85   0.0000124   0.552   0.0263
0.85   0.0000200   0.611   0.0365
0.85   0.0000398   0.558   0.0196
0.85   0.0000500   0.541   0.0321
0.85   0.0001000   0.503   0.0309
0.85   0.0002510   0.397   0.0287
0.85   0.0008000   0.349   0.0197
0.85   0.0032000   0.308   0.0170
1.2   0.0000176   0.592   0.0269
1.2   0.0000200   0.667   0.0265
1.2   0.0000320   0.685   0.0241
1.2   0.0000631   0.649   0.0171
1.2   0.0000800   0.595   0.0191
1.2   0.0001300   0.543   0.0315
1.2   0.0001580   0.533   0.0151
1.2   0.0003980   0.493   0.0215
