id = 32
editor = KK

### Experiment

collaboration = HERMES
process = ep2epgamma
exptype = fixed target
year = 2009
reference =  arXiv:0909.3587
inspiretex = Airapetian:2009aa
reference2 = Table 4
reference3 = 2002-2005 run


### Scattering Process

frame = Trento

in1particle = ep
in1energy = 27.6
in1energyunit = GeV

in2particle = p

out1particle = ep
out2particle = p
out3particle = gamma


### Observable 
# AC A^{cos 0*phi}_{C} for FTn=0,  A^{cos 1*phi}_{C} for FTn=1

y1namelong = Beam Charge Azimuthal Asymmetry
y1name = AC 
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7


### x-axes

x1name = t
x1unit = GeV^2
x1value = column1

x2name = xB
x2unit = 1
x2value = column2

x3name = Q2
x3unit = GeV^2
x3value = column3

x4name = FTn
x4unit = 1
x4value = column4



### Data

#  t   x_B    Q^2  Ftn  asym   stat.   syst.   frac  
###########################################################
#-0.12  0.10  2.46  0  -0.020  0.006  0.020  0.123 # overall
-0.02  0.07  1.71  0  -0.027  0.014  0.012  0.037
-0.04  0.09  2.22  0   0.001  0.014  0.014  0.072
-0.08  0.10  2.44  0   0.003  0.015  0.016  0.109
-0.14  0.11  2.72  0  -0.018  0.013  0.023  0.161
-0.26  0.12  3.13  0  -0.034  0.018  0.023  0.238
-0.46  0.12  3.63  0  -0.056  0.029  0.028  0.359
-0.10  0.05  1.34  0  -0.043  0.014  0.015  0.108
-0.09  0.07  1.78  0  -0.014  0.013  0.013  0.110
-0.11  0.09  2.30  0  -0.048  0.016  0.019  0.118
-0.12  0.11  2.92  0   0.010  0.017  0.018  0.134
-0.16  0.16  4.04  0  -0.012  0.018  0.018  0.154
-0.23  0.24  6.11  0   0.040  0.032  0.039  0.172
-0.08  0.05  1.20  0  -0.041  0.013  0.022  0.095
-0.10  0.07  1.59  0  -0.033  0.015  0.023  0.113
-0.11  0.08  2.08  0  -0.012  0.015  0.023  0.119
-0.13  0.10  2.77  0  -0.025  0.016  0.017  0.135
-0.15  0.13  3.76  0   0.021  0.018  0.018  0.143
-0.22  0.20  5.75  0  -0.001  0.021  0.021  0.176


#-0.12   0.10   2.46  1  0.055   0.009   0.014   0.123 # overall
-0.02   0.07   1.71  1  0.018   0.020   0.006   0.037
-0.04   0.09   2.22  1 -0.007   0.020   0.013   0.072
-0.08   0.10   2.44  1  0.022   0.022   0.009   0.109
-0.14   0.11   2.72  1  0.067   0.018   0.018   0.161
-0.26   0.12   3.13  1  0.160   0.025   0.016   0.238
-0.46   0.12   3.63  1  0.235   0.043   0.038   0.359
-0.10   0.05   1.34  1  0.035   0.021   0.008   0.108
-0.09   0.07   1.78  1  0.043   0.019   0.012   0.110
-0.11   0.09   2.30  1  0.064   0.022   0.017   0.118
-0.12   0.11   2.92  1  0.018   0.024   0.010   0.134
-0.16   0.16   4.04  1  0.088   0.025   0.027   0.154
-0.23   0.24   6.11  1  0.041   0.045   0.034   0.172
-0.08   0.05   1.20  1  0.048   0.018   0.022   0.095
-0.10   0.07   1.59  1  0.063   0.021   0.014   0.113
-0.11   0.08   2.08  1  0.049   0.020   0.012   0.119
-0.13   0.10   2.77  1  0.050   0.023   0.010   0.135
-0.15   0.13   3.76  1  0.050   0.025   0.009   0.143
-0.22   0.20   5.75  1  0.053   0.030   0.034   0.176

