id = 67
editor = KK

### Experiment

collaboration = HERMES
process = ep2epgamma
exptype = fixed target
year = 2012
reference =  arXiv:1203.6287 [hep-ex]
inspiretex = Airapetian:2012mq
reference2 = Table 6
reference3 = combined 1996-2007 data


### Scattering Process

frame = Trento

in1particle = ep
in1energy = 27.6
in1energyunit = GeV

in2particle = p

out1particle = ep
out2particle = p
out3particle = gamma


### Observable 
# AC A^{cos FTn*phi}_{C} 

y1namelong = Beam Charge Azimuthal Asymmetry
y1name = AC 
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7


### x-axes

x1name = tm
x1unit = GeV^2
x1value = column1

x2name = xB
x2unit = 1
x2value = column2

x3name = Q2
x3unit = GeV^2
x3value = column3

x4name = FTn
x4unit = 1
x4value = column4



### Data
#  t     x_B     Q2   FTn   asym      stat.     syst. 
#####################################################

#overall              
#0.118    0.097   2.51  0   -0.021     0.003      0.010
#-t bins
0.019    0.069   1.72  0   -0.017     0.007      0.007
0.044    0.088   2.25  0   -0.005     0.007      0.006    		      
0.079    0.099   2.49  0   -0.012     0.008      0.006    			      
0.143    0.109   2.76  0   -0.016     0.007      0.009                         
0.261    0.119   3.23  0   -0.040     0.009      0.002                          
0.463    0.122   3.73  0   -0.072     0.014      0.004                         
#x_B bins:
0.099    0.049   1.34  0   -0.045     0.007      0.014 
0.093    0.070   1.79  0   -0.035     0.007      0.013	   
0.106    0.089   2.30  0   -0.017     0.008      0.017 	   
0.122    0.114   2.94  0   -0.007     0.008      0.015	   
0.160    0.157   4.06  0   -0.006     0.009      0.007 	   
0.233    0.244   6.13  0    0.019     0.016      0.027       
#Q bins:
0.078    0.055   1.20  0   -0.048     0.007      0.024
0.092    0.069   1.59  0   -0.022     0.008      0.022      
0.106    0.085   2.08  0   -0.028     0.007      0.022   
0.127    0.105   2.77  0   -0.017     0.008      0.019     
0.152    0.134   3.77  0    0.011     0.009      0.013   	  
0.220    0.199   5.79  0    0.006     0.011      0.013  

#overall            
#0.118    0.097   2.51  1    0.041     0.005      0.002
#-t bins
0.019    0.069   1.72  1    0.005     0.010      0.003
0.044    0.088   2.25  1    0.007     0.010      0.014   		      
0.079    0.099   2.49  1    0.028     0.011      0.013   			      
0.143    0.109   2.76  1    0.052     0.009      0.015                        
0.261    0.119   3.23  1    0.108     0.013      0.030                           
0.463    0.122   3.73  1    0.134     0.021      0.062                         
#x_B bins1
0.099    0.049   1.34  1    0.016     0.011      0.014 
0.093    0.070   1.79  1    0.028     0.009      0.015 
0.106    0.089   2.30  1    0.044     0.011      0.019 	   
0.122    0.114   2.94  1    0.030     0.012      0.002  
0.160    0.157   4.06  1    0.049     0.013      0.030 	   
0.233    0.244   6.13  1    0.050     0.022      0.018    
#Q bins:
0.078    0.055   1.20  1    0.029     0.010      0.030
0.092    0.069   1.59  1    0.041     0.011      0.021   
0.106    0.085   2.08  1    0.031     0.010      0.018
0.127    0.105   2.77  1    0.059     0.012      0.019  
0.152    0.134   3.77  1    0.037     0.013      0.002 	  
0.220    0.199   5.79  1    0.038     0.015      0.038 

#overall            
#0.118    0.097   2.51  2   -0.003     0.005      0.014
#-t bins                            
0.018    0.068   1.71  2   -0.023     0.010      0.001    
0.043    0.088   2.26  2   -0.003     0.010      0.007    
0.078    0.099   2.51  2    0.013     0.011      0.013      
0.142    0.110   2.79  2   -0.008     0.009      0.025    
0.260    0.121   3.27  2    0.003     0.013      0.040      
0.460    0.125   3.82  2    0.049     0.019      0.040      
#x_B bins:                             
0.095    0.049   1.34  2   -0.017     0.010      0.013      
0.091    0.069   1.80  2   -0.019     0.009      0.009     
0.104    0.089   2.30  2    0.005     0.011      0.016     
0.121    0.113   2.93  2   -0.001     0.012      0.006     
0.159    0.157   4.06  2   -0.001     0.012      0.016   
0.231    0.244   6.14  2    0.051     0.022      0.022    
#Q bins:
0.076    0.054   1.20  2   -0.008     0.009      0.011	 
0.089    0.069   1.59  2   -0.020     0.011      0.012	
0.104    0.085   2.08  2   -0.012     0.010      0.013	
0.126    0.105   2.77  2    0.014     0.011      0.013 	
0.151    0.134   3.76  2   -0.008     0.013      0.015 	
0.218    0.200   5.82  2    0.036     0.015      0.002       

               
#overall            
#0.118    0.097   2.51  3   -0.002   0.005   0.003
#-t bins 
0.018    0.068   1.71  3   -0.013      0.010     0.004	       
0.043    0.088   2.26  3    0.005      0.010     0.004	       
0.078    0.099   2.51  3   -0.023      0.011     0.003 	       
0.142    0.110   2.79  3    0.006      0.009     0.001 	       
0.260    0.121   3.27  3    0.012      0.013     0.001           
0.460    0.125   3.82  3    0.030      0.019     0.017             
#x_B bins:                                 
0.095    0.049   1.34  3    0.004      0.009     0.003	  
0.091    0.069   1.80  3   -0.012      0.009     0.005	  
0.104    0.089   2.30  3   -0.009      0.011     0.002	  
0.121    0.113   2.93  3   -0.009      0.011     0.009	    
0.159    0.157   4.06  3    0.002      0.012     0.005	   
0.231    0.244   6.14  3    0.006      0.021     0.008      
#Q bins:
0.076    0.054   1.20  3    0.005      0.009     0.004  
0.089    0.069   1.59  3   -0.004      0.011     0.002
0.104    0.085   2.08  3   -0.000      0.010     0.004
0.126    0.105   2.77  3   -0.010      0.011     0.009   
0.151    0.134   3.76  3   -0.012      0.012     0.001 
0.218    0.200   5.82  3    0.005      0.015     0.004
 
