id = 6
editor = KK
editor1 = DM
# Feb. 2010
# modified naming scheme


### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2007
reference =  arXiv:0711.4805
inspiretex = Girod:2007aa
reference2 = private table


### Scattering Process

frame = Trento

in1particle = em
in1energy = 5.77
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column5
y1error = column6 
# only statistical error is knonw, 
# according to private communication (DM) the systematic one can be neglected



### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2007 ALU
#
# xB     Q2     -t     phi     ALU     stat
############################################
0.1342 1.1661 0.1337 20.0258 -0.0429 0.1578
0.1342 1.1661 0.1337 50.4962 0.1739 0.0424
0.1342 1.1661 0.1337 76.6291 0.1724 0.0225
0.1342 1.1661 0.1337 102.9137 0.2083 0.0246
0.1342 1.1661 0.1337 135.7442 0.1274 0.0271
0.1342 1.1661 0.1337 163.2772 0.0684 0.0294
0.1342 1.1661 0.1337 196.4509 -0.0414 0.0281
0.1342 1.1661 0.1337 223.9969 -0.1489 0.0283
0.1342 1.1661 0.1337 255.9132 -0.1987 0.0228
0.1342 1.1661 0.1337 283.7285 -0.2020 0.0241
0.1342 1.1661 0.1337 310.1235 -0.2089 0.0419
0.1342 1.1661 0.1337 337.9827 0.1025 0.1997
0.1763 1.3651 0.1346 17.3932 0.1082 0.0227
0.1763 1.3651 0.1346 43.4416 0.1601 0.0195
0.1763 1.3651 0.1346 75.3442 0.2806 0.0259
0.1763 1.3651 0.1346 103.1776 0.2495 0.0302
0.1763 1.3651 0.1346 136.2464 0.1064 0.0421
0.1763 1.3651 0.1346 162.9244 0.0681 0.0428
0.1763 1.3651 0.1346 197.4400 -0.0966 0.0429
0.1763 1.3651 0.1346 223.8131 -0.1754 0.0406
0.1763 1.3651 0.1346 257.0253 -0.2777 0.0293
0.1763 1.3651 0.1346 285.3543 -0.2455 0.0257
0.1763 1.3651 0.1346 315.8994 -0.1556 0.0185
0.1763 1.3651 0.1346 341.6751 -0.0770 0.0257
0.1767 1.5557 0.1376 19.6015 0.1643 0.0582
0.1767 1.5557 0.1376 48.3572 0.1782 0.0233
0.1767 1.5557 0.1376 75.0192 0.1890 0.0194
0.1767 1.5557 0.1376 102.6721 0.1346 0.0240
0.1767 1.5557 0.1376 135.6295 0.1834 0.0307
0.1767 1.5557 0.1376 163.5866 0.0389 0.0327
0.1767 1.5557 0.1376 197.0813 -0.0045 0.0328
0.1767 1.5557 0.1376 224.4260 -0.1473 0.0312
0.1767 1.5557 0.1376 256.8322 -0.2061 0.0228
0.1767 1.5557 0.1376 285.7622 -0.1975 0.0195
0.1767 1.5557 0.1376 311.4636 -0.0978 0.0234
0.1767 1.5557 0.1376 339.8300 -0.1831 0.0670
0.2350 1.6453 0.1465 15.2696 0.1031 0.0191
0.2350 1.6453 0.1465 43.0756 0.1770 0.0207
0.2350 1.6453 0.1465 73.7730 0.2587 0.0335
0.2350 1.6453 0.1465 104.0795 0.3058 0.0384
0.2350 1.6453 0.1465 134.1899 0.1901 0.0663
0.2350 1.6453 0.1465 163.3319 0.1428 0.0764
0.2350 1.6453 0.1465 199.0154 -0.1045 0.0786
0.2350 1.6453 0.1465 224.9377 -0.1913 0.0635
0.2350 1.6453 0.1465 256.7675 -0.2635 0.0380
0.2350 1.6453 0.1465 285.7491 -0.2177 0.0339
0.2350 1.6453 0.1465 317.2088 -0.1972 0.0206
0.2350 1.6453 0.1465 343.2076 -0.0943 0.0192
0.2377 1.8895 0.1448 15.8719 0.0931 0.0168
0.2377 1.8895 0.1448 42.8535 0.1563 0.0171
0.2377 1.8895 0.1448 74.0183 0.2270 0.0268
0.2377 1.8895 0.1448 103.3555 0.2526 0.0302
0.2377 1.8895 0.1448 133.9889 0.1930 0.0486
0.2377 1.8895 0.1448 163.9040 0.0741 0.0532
0.2377 1.8895 0.1448 197.8452 -0.1163 0.0487
0.2377 1.8895 0.1448 225.0255 -0.0927 0.0431
0.2377 1.8895 0.1448 256.8898 -0.2057 0.0308
0.2377 1.8895 0.1448 285.6360 -0.2451 0.0253
0.2377 1.8895 0.1448 317.0461 -0.1432 0.0172
0.2377 1.8895 0.1448 343.4685 -0.0699 0.0174
