id = 7
editor = KK
editor1 = DM
# Feb. 2010
# modified naming scheme

# this data for the amplitude of harmonic are obtained from a fit 
# of the phi measurement by CLAS (ALU-CLAS-07)

### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2007
reference =  arXiv:0711.4805
inspiretex = Girod:2007aa
reference2 = private table


### Scattering Process

in1particle = em
in1energy = 5.77
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}(90 degrees) = a

y1name = ALU
y1namelong = Beam Spin Azimuthal Asymmetry at 90 degrees
y1unit = 1
y1value = column4
y1error = column5

frame = Trento

### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = 90

### Data
#
#  CLAS 2007 ALU
#
# xB     Q2     -t       a     err
############################################
0.134   1.17   0.13   0.197   0.010
0.134   1.17   0.28   0.163   0.014
0.133   1.16   0.49   0.077   0.022
0.133   1.16   0.78   0.119   0.027
0.134   1.15   1.28   -0.024   0.036
0.176   1.37   0.13   0.252   0.012
0.176   1.37   0.28   0.268   0.015
0.175   1.36   0.49   0.168   0.034
0.174   1.35   0.79   0.089   0.034
0.176   1.35   1.28   0.019   0.036
0.177   1.56   0.14   0.190   0.009
0.177   1.57   0.28   0.190   0.012
0.177   1.56   0.49   0.166   0.025
0.175   1.55   0.77   0.130   0.029
0.177   1.56   1.27   0.013   0.026
0.235   1.65   0.15   0.269   0.016
0.247   1.69   0.28   0.295   0.019
0.252   1.70   0.49   0.200   0.032
0.249   1.68   0.77   0.129   0.035
0.249   1.68   1.33   0.003   0.031
0.238   1.89   0.14   0.243   0.013
0.249   1.95   0.28   0.275   0.014
0.249   1.95   0.49   0.200   0.026
0.248   1.94   0.77   0.172   0.035
0.248   1.94   1.31   0.024   0.028
0.246   2.16   0.14   0.203   0.011
0.252   2.21   0.28   0.223   0.011
0.250   2.20   0.49   0.201   0.020
0.249   2.20   0.77   0.117   0.027
0.251   2.20   1.29   0.053   0.048
0.320   1.94   0.17   0.091   0.057
0.340   1.99   0.31   0.175   0.036
0.344   2.01   0.50   0.178   0.051
0.352   2.02   0.78   0.118   0.033
0.352   2.02   1.37   0.019   0.012
0.322   2.22   0.17   0.244   0.077
0.343   2.31   0.30   0.261   0.032
0.350   2.33   0.49   0.208   0.039
0.360   2.36   0.77   0.195   0.041
0.359   2.35   1.35   0.094   0.036
0.321   2.51   0.17   0.223   0.040
0.345   2.64   0.30   0.269   0.019
0.355   2.69   0.49   0.272   0.036
0.361   2.71   0.76   0.232   0.043
0.358   2.69   1.34   0.033   0.042
0.321   2.79   0.18   0.204   0.037
0.348   2.97   0.29   0.197   0.019
0.360   3.05   0.49   0.245   0.026
0.358   3.04   0.76   0.234   0.028
0.356   3.02   1.34   0.123   0.050
0.437   2.70   0.35   0.178   0.259
0.446   2.75   0.50   0.234   0.061
0.446   2.75   0.80   0.108   0.051
0.447   2.75   1.32   0.080   0.052
0.443   3.20   0.35   0.330   0.069
0.461   3.29   0.50   0.173   0.063
0.471   3.34   0.78   0.262   0.052
0.476   3.35   1.32   0.122   0.041
0.441   3.60   0.35   0.356   0.065
0.463   3.72   0.50   0.287   0.045
0.485   3.84   0.77   0.233   0.050
0.496   3.90   1.31   0.309   0.048
