id = 82
editor = KK



### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2014
reference =  private communication
reference2 = from Silvia Niccolai


### Scattering Process

frame = Trento

in1particle = em
in1energy = 5.932
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column5
y1error = column6 
# only statistical error is given to us



### x-axes

x1name = Q2
x1unit = GeV^2
x1value = column1

x2name = xB
x2unit = 1
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2014 ALU
#
# Q2        xB       -t       phi    ALU      stat_err_ALU
###########################################################
 1.9011   0.2573   1.1946   19.2325  -0.0381   0.0450
 1.9011   0.2573   1.1946   52.1529   0.0979   0.0588
 1.9011   0.2573   1.1946   89.1628   0.0518   0.0668
 1.9011   0.2573   1.1946   125.9660   0.1400   0.0917
 1.9011   0.2573   1.1946   161.8830   0.0343   0.0467
 1.9011   0.2573   1.1946   198.8630  -0.0307   0.0664
 1.9011   0.2573   1.1946   235.8380  -0.0485   0.0841
 1.9011   0.2573   1.1946   269.8610  -0.0223   0.0538
 1.9011   0.2573   1.1946   308.0970  -0.0634   0.0652
 1.9011   0.2573   1.1946   340.6940   0.0070   0.0416
 3.3173   0.4614   1.1590   19.2325   0.0630   0.0310
 3.3173   0.4614   1.1590   52.1529   0.2134   0.0532
 3.3173   0.4614   1.1590   89.1628   0.0025   0.0696
 3.3173   0.4614   1.1590   125.9660   0.1132   0.0565
 3.3173   0.4614   1.1590   161.8830   0.0758   0.1120
 3.3173   0.4614   1.1590   198.8630  -0.0914   0.1254
 3.3173   0.4614   1.1590   235.8380  -0.0585   0.0668
 3.3173   0.4614   1.1590   269.8610  -0.0116   0.0576
 3.3173   0.4614   1.1590   308.0970  -0.3025   0.0615
 3.3173   0.4614   1.1590   340.6940  -0.0706   0.0274
 2.5289   0.3187   0.1578   19.2325   0.1372   0.0549
 2.5289   0.3187   0.1578   52.1529   0.2512   0.0704
 2.5289   0.3187   0.1578   89.1628   0.3835   0.1429
 2.5289   0.3187   0.1578   235.8380  -0.1245   0.2178
 2.5289   0.3187   0.1578   269.8610  -0.1085   0.1523
 2.5289   0.3187   0.1578   308.0970  -0.2087   0.0666
 2.5289   0.3187   0.1578   340.6940  -0.1171   0.0595
 1.5642   0.1823   0.2302   89.1628   0.1943   0.1852
 1.5642   0.1823   0.2302   125.9660   0.1708   0.1020
 1.5642   0.1823   0.2302   161.8830   0.0970   0.0763
