id = 91
editor = KK

### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1501.07052
inspiretex = Pisano:2015iqa
reference2 = bin averages from Silvia Niccolai


### Scattering Process

frame = Trento

in1particle = em
in1energy = 5.932
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7 


### x-axes

x1name = Q2
x1unit = GeV^2
x1value = column1

x2name = xB
x2unit = 1
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
table=
#
#  CLAS 2015 ALU
#                                                  error
#   Q2       xB        -t     phi    ALU       stat    syst
###########################################################
 1.55354  0.181084  0.128694   25  0.373974  0.231147  0.01
 1.55354  0.181084  0.128694   60  0.338614  0.113942  0.03
 1.55354  0.181084  0.128694   92  0.227411  0.061383  0.01
 1.55354  0.181084  0.128694  128  0.134975  0.053042  0.01
 1.55354  0.181084  0.128694  161  0.053240  0.051642  0.01
 1.55354  0.181084  0.128694  198 -0.052122  0.049707  0.00
 1.55354  0.181084  0.128694  235 -0.212170  0.055398  0.01
 1.55354  0.181084  0.128694  266 -0.275886  0.064616  0.01
 1.55354  0.181084  0.128694  305 -0.147675  0.101170  0.02
 1.56422  0.182261  0.230179   97  0.194267  0.185175  0.06
 1.56422  0.182261  0.230179  128  0.170780  0.102021  0.03
 1.56422  0.182261  0.230179  161  0.097039  0.076308  0.02
 1.56422  0.182261  0.230179  199 -0.118221  0.073964  0.02
 1.56422  0.182261  0.230179  233 -0.177948  0.094242  0.03
 1.56422  0.182261  0.230179  263 -0.116485  0.167119  0.05
 1.47020  0.176380  0.475638   96  0.395408  0.238619  0.09
 1.47020  0.176380  0.475638  127  0.185326  0.111916  0.05
 1.47020  0.176380  0.475638  162  0.210632  0.069155  0.02
 1.47020  0.176380  0.475638  196 -0.066616  0.082262  0.02
 1.47020  0.176380  0.475638  234 -0.215855  0.115830  0.02
 1.47020  0.176380  0.475638  261 -0.044833  0.209258  0.12
 1.46031  0.175596  1.081570   20  0.135703  0.157433  0.07
 1.46031  0.175596  1.081570   56  0.010058  0.141339  0.05
 1.46031  0.175596  1.081570   92  0.125514  0.153458  0.14
 1.46031  0.175596  1.081570  128  0.204365  0.193538  0.05
 1.46031  0.175596  1.081570  164 -0.091499  0.075483  0.01
 1.46031  0.175596  1.081570  192  0.063387  0.140299  0.11
 1.46031  0.175596  1.081570  239 -0.216305  0.165549  0.07
 1.46031  0.175596  1.081570  266  0.037834  0.101674  0.05
 1.46031  0.175596  1.081570  306  0.010860  0.144182  0.09
 1.46031  0.175596  1.081570  340 -0.104698  0.177649  0.12
 1.97907  0.247267  0.135801   19  0.037401  0.026475  0.01
 1.97907  0.247267  0.135801   52  0.173896  0.029453  0.01
 1.97907  0.247267  0.135801   89  0.208313  0.033546  0.01
 1.97907  0.247267  0.135801  124  0.164990  0.050159  0.01
