id = 99
editor = DM
# data restricted to DVCS kinematics Q2> 1.5 GeV^2 and -t/Q2 < 0.25
# only data are taken where 18 bins and more are filled

### Experiment E145M2

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.02009
inspiretex = Jo:2015ema
reference2 = CLAS data base E145M2, restricted kinematics

### Scattering Process

frame = Trento

in1energy = 5.75
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XLU


y1name = XLU
y1namelong = Beam Helicity Independent Cross Section
y1unit = nb/GeV^4
y1value = column5
y1errorstatistic = column6
y1errorsystematic = column7



### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi 
x4unit = deg
x4value = column4

### Data
#
# CLAS 2015 XLU
#
#xB      Q2    -t  phi     XLU  stat      syst
###########################################################
table =
0.185   1.62    0.11    9.53    0   0   0
0.185   1.62    0.11    24.88   0   0   0
0.185   1.62    0.11    39.26   0   0   0
0.185   1.62    0.11    53.14   0.6332  0.2464  0.1383
0.185   1.62    0.11    67.5    0.2964  0.1762  0.0821
0.185   1.62    0.11    82.13   0.491   0.1287  0.0898
0.185   1.62    0.11    97.18   0.2597  0.1032  0.0279
0.185   1.62    0.11    112.23  0.2698  0.1159  0.0764
0.185   1.62    0.11    127.28  0.1745  0.1037  0.0345
0.185   1.62    0.11    142.34  0.1909  0.082   0.0476
0.185   1.62    0.11    157.4   0.1576  0.0715  0.0222
0.185   1.62    0.11    172.47  -0.1183 0.0892  0.0417
0.185   1.62    0.11    187.53  -0.054  0.0808  0.0139
0.185   1.62    0.11    202.6   -0.0406 0.0724  0.0124
0.185   1.62    0.11    217.66  -0.0806 0.081   0.0266
0.185   1.62    0.11    232.72  -0.1125 0.1001  0.0293
0.185   1.62    0.11    247.77  -0.1816 0.0884  0.0193
0.185   1.62    0.11    262.82  -0.2942 0.1022  0.0515
0.185   1.62    0.11    277.87  -0.2777 0.1338  0.0828
0.185   1.62    0.11    292.5   -0.4845 0.1754  0.0442
0.185   1.62    0.11    306.86  -0.2356 0.2057  0.0653
0.185   1.62    0.11    320.74  0   0   0
0.185   1.62    0.11    335.12  0   0   0
0.185   1.62    0.11    350.47  0   0   0
0.185   1.63    0.15    7.5 0   0   0
0.185   1.63    0.15    29.3    0   0   0
0.185   1.63    0.15    41.34   0   0   0
0.185   1.63    0.15    53.57   0.3407  0.1531  0.1183
0.185   1.63    0.15    67.33   0.1929  0.1054  0.0339
0.185   1.63    0.15    82.07   0.2772  0.0848  0.0427
0.185   1.63    0.15    97.14   0.1812  0.0739  0.0158
0.185   1.63    0.15    112.21  0.2837  0.0695  0.0457
0.185   1.63    0.15    127.27  0.0873  0.0688  0.0221
0.185   1.63    0.15    142.33  0.0945  0.049   0.0197
0.185   1.63    0.15    157.4   0.0714  0.0483  0.0171
0.185   1.63    0.15    172.47  0.0617  0.0567  0.0194
0.185   1.63    0.15    187.53  0.0003  0.0564  0.0181
0.185   1.63    0.15    202.6   -0.0347 0.0489  0.0209
0.185   1.63    0.15    217.67  -0.1087 0.0561  0.0404
0.185   1.63    0.15    232.73  -0.0994 0.0635  0.0263
0.185   1.63    0.15    247.79  -0.1766 0.0758  0.0306
0.185   1.63    0.15    262.86  -0.1037 0.0645  0.0224
0.185   1.63    0.15    277.93  -0.1502 0.0767  0.0463
0.185   1.63    0.15    292.67  -0.3623 0.1124  0.0604
0.185   1.63    0.15    306.43  -0.4212 0.1467  0.0728
0.185   1.63    0.15    318.66  0   0   0
0.185   1.63    0.15    330.7   0   0   0
0.185   1.63    0.15    352.5   0   0   0
0.185   1.63    0.2 7.5 0   0   0
0.185   1.63    0.2 22.5    0   0   0
0.185   1.63    0.2 42.9    0   0   0
0.185   1.63    0.2 54.03   0.4572  0.1311  0.0555
0.185   1.63    0.2 67.05   0.2306  0.0805  0.0424
0.185   1.63    0.2 82.04   0.1525  0.0654  0.0272
0.185   1.63    0.2 97.12   0.136   0.0524  0.0271
0.185   1.63    0.2 112.19  0.1083  0.0465  0.0255
0.185   1.63    0.2 127.26  -0.0134 0.0485  0.0184
0.185   1.63    0.2 142.33  -0.0083 0.0412  0.0155
0.185   1.63    0.2 157.4   0.0008  0.0314  0.0055
0.185   1.63    0.2 172.47  0.0531  0.0365  0.0074
0.185   1.63    0.2 187.53  0.0374  0.0424  0.0286
0.185   1.63    0.2 202.6   -0.0173 0.0373  0.014
0.185   1.63    0.2 217.67  -0.0095 0.04    0.0192
0.185   1.63    0.2 232.74  -0.0076 0.0519  0.0261
0.185   1.63    0.2 247.81  -0.1507 0.0581  0.0218
0.185   1.63    0.2 262.88  -0.0735 0.0518  0.0331
0.185   1.63    0.2 277.96  -0.1693 0.0629  0.0172
0.185   1.63    0.2 292.95  -0.1302 0.0896  0.0641
0.185   1.63    0.2 305.97  -0.344  0.1189  0.037
0.185   1.63    0.2 317.1   0   0   0
0.185   1.63    0.2 337.5   0   0   0
0.185   1.63    0.2 352.5   0   0   0
0.185   1.63    0.26    7.5 0   0   0
0.185   1.63    0.26    22.5    0   0   0
0.185   1.63    0.26    43.19   0   0   0
0.185   1.63    0.26    53.76   0.3045  0.0846  0.041
0.185   1.63    0.26    66.9    0.1466  0.0606  0.0277
0.185   1.63    0.26    82.01   0.0936  0.0442  0.0147
0.185   1.63    0.26    97.1    0.1679  0.0332  0.0134
0.185   1.63    0.26    112.18  0.0516  0.0308  0.0281
0.185   1.63    0.26    127.25  0.0409  0.0349  0.0143
0.185   1.63    0.26    142.32  -0.0055 0.0283  0.0172
0.185   1.63    0.26    157.4   0.0245  0.0267  0.0068
