id = 33
editor = KK
editor2 = DM
# Feb. 2010
# modified naming scheme
# combining data files 
# sofar they have not been confronted with the original ones
editor3 = DM
# 03/30/2012 adding systematic error


### Experiment

collaboration = HALLA
process = ep2epgamma
exptype = fixed target
year = 2006
reference =  nucl-ex/0607029
inspiretex = Camacho:2006qlkIN
reference2 = private tables


### Scattering Process

frame = Trento

in1particle = e-
in1energy = 5.75
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = e-
out2particle = p
out3particle = gamma


### Observable 

y1name = XLU
y1namelong = Beam Helicity Dependent Cross Section
# or Beam Spin Difference 
y1unit = nbarn/GeV^4
y1value = column5
y1errorstatistic = column6
# systematic error is taken from publication
# 5.6% normalization and 2% polarization uncertainties are added in quadrature
# resulting in 
y1errornormalization = 0.059464275
# and than column7 is not used:
# y1errorsystematic = column7


### x-axes

x1name = xB
x1unit = 1 
x1value = column1

x2name = t
x2unit = GeV^2
x2value = column2

x3name = Q2
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = degree
x4value = column4


### Data
table = 
#xB    t   Q2  phi     XLU        sta      sys
##########################################################
0.36 -0.17 1.5 7.5 0.00493019 0.00488779 0.0002931701739093689
0.36 -0.17 1.5 22.5 0.00439635 0.00443334 0.00026142576534909484
0.36 -0.17 1.5 37.5 0.00977322 0.0038385 0.0005811574416106727
0.36 -0.17 1.5 52.5 0.0183865 0.0033922 0.0010933398920902869
0.36 -0.17 1.5 67.5 0.0201037 0.00334072 0.001195451945101868
0.36 -0.17 1.5 82.5 0.0139813 0.00344236 0.0008313878679075369
0.36 -0.17 1.5 97.5 0.0196348 0.00355353 0.0011675691465593977
0.36 -0.17 1.5 112.5 0.0146806 0.00354847 0.0008729712354075362
0.36 -0.17 1.5 127.5 0.0100086 0.00334755 0.0005951541426576479
0.36 -0.17 1.5 142.5 0.00817481 0.0032704 0.00048610914982506715
0.36 -0.17 1.5 157.5 0.00361121 0.00312791 0.00021473798448401626
0.36 -0.17 1.5 172.5 -0.00049468 0.003086 -0.000029415787551694068
0.36 -0.17 1.5 187.5 -0.00413046 0.00308547 -0.0002456148092721968
0.36 -0.17 1.5 202.5 0.00132686 0.00313276 0.00007890076791226812
0.36 -0.17 1.5 217.5 -0.00749177 0.00324031 -0.00044549267143639343
0.36 -0.17 1.5 232.5 -0.0107345 0.00334669 -0.000638319259872362
0.36 -0.17 1.5 247.5 -0.0144896 0.00343946 -0.0008616135588845849
0.36 -0.17 1.5 262.5 -0.0169687 0.00343007 -0.001009031443010494
0.36 -0.17 1.5 277.5 -0.0215012 0.00344889 -0.0012785532693993787
0.36 -0.17 1.5 292.5 -0.021559 0.00324345 -0.0012819903044937585
0.36 -0.17 1.5 307.5 -0.0158971 0.00340222 -0.0009453095259319881
0.36 -0.17 1.5 322.5 -0.0135176 0.00394634 -0.0008038142835950105
0.36 -0.17 1.5 337.5 -0.0089653 0.00434292 -0.0005331150645613384
0.36 -0.17 1.5 352.5 -0.0049938 0.00481695 -0.0002969526964414366
0.36 -0.23 1.5 7.5 0.00814934 0.0105293 0.00048459459474109034
0.36 -0.23 1.5 22.5 0.00265094 0.00921015 0.00015763622514006607
0.36 -0.23 1.5 37.5 0.0171229 0.00713072 0.00101820083421384
0.36 -0.23 1.5 52.5 0.0221044 0.00568851 0.0013144221200729086
0.36 -0.23 1.5 67.5 0.0168694 0.00523811 0.001003126640504059
0.36 -0.23 1.5 82.5 0.0151867 0.00532884 0.0009030661049796077
0.36 -0.23 1.5 97.5 0.0180258 0.00518194 0.0010718911281016557
0.36 -0.23 1.5 112.5 0.0204064 0.00491846 0.0012134517811411216
0.36 -0.23 1.5 127.5 0.00707492 0.00449156 0.00042070498840711455
0.36 -0.23 1.5 142.5 0.00221311 0.00392032 0.0001316009816215122
0.36 -0.23 1.5 157.5 -0.0020891 0.00365869 -0.00012422681688009236
0.36 -0.23 1.5 172.5 -0.00341412 0.00358823 -0.00020301817052638022
0.36 -0.23 1.5 187.5 -0.00108688 0.00354913 -0.00006463053120034215
0.36 -0.23 1.5 202.5 0.00312849 0.0036571 0.00018603338966119388
0.36 -0.23 1.5 217.5 -0.00241308 0.00391029 -0.00014349205269111737
0.36 -0.23 1.5 232.5 -0.00893834 0.00426725 -0.0005315119077076275
0.36 -0.23 1.5 247.5 -0.0132076 0.00478775 -0.0007853803583483355
0.36 -0.23 1.5 262.5 -0.012501 0.00504425 -0.0007433629016409145
0.36 -0.23 1.5 277.5 -0.0181368 0.00517883 -0.0010784916626254651
0.36 -0.23 1.5 292.5 -0.0233004 0.00513179 -0.0013855413929600804
0.36 -0.23 1.5 307.5 -0.0187278 0.00556131 -0.001113635049144126
0.36 -0.23 1.5 322.5 -0.0207128 0.00702897 -0.0012316716349978349
0.36 -0.23 1.5 337.5 -0.00961628 0.00904343 -0.0005718251182938559
0.36 -0.23 1.5 352.5 0.00151376 0.0106132 0.00009001464090776345
0.36 -0.28 1.5 7.5 0.00643223 0.0135546 0.000382487893514258
0.36 -0.28 1.5 22.5 -0.0012107 0.0112659 -0.00007199339772951406
0.36 -0.28 1.5 37.5 0.0215413 0.0083426 0.0012809377868264484
0.36 -0.28 1.5 52.5 0.0242814 0.00635163 0.0014438758467245584
0.36 -0.28 1.5 67.5 0.0134016 0.00604271 0.0007969164276962547
0.36 -0.28 1.5 82.5 0.0256606 0.00616364 0.001525888974789765
0.36 -0.28 1.5 97.5 0.00727629 0.00604827 0.0004326793094617047
0.36 -0.28 1.5 112.5 0.0081479 0.00544226 0.00048450896618510575
0.36 -0.28 1.5 127.5 0.00602004 0.00479916 0.0003579773140064292
0.36 -0.28 1.5 142.5 0.00864334 0.00450975 0.0005139699465857917
0.36 -0.28 1.5 157.5 0.00573103 0.00437636 0.00034079154389177906
0.36 -0.28 1.5 172.5 -0.00549701 0.00437995 -0.0003268757142587892
0.36 -0.28 1.5 187.5 -0.00293664 0.0044029 -0.00017462516850450167
0.36 -0.28 1.5 202.5 -0.000639951 0.00436333 -0.0000380542222436609
0.36 -0.28 1.5 217.5 -0.00325669 0.00445416 -0.00019365670971481882
0.36 -0.28 1.5 232.5 -0.0165905 0.00487688 -0.0009865420542095507
0.36 -0.28 1.5 247.5 -0.0167917 0.0052981 -0.0009985062663373926
0.36 -0.28 1.5 262.5 -0.0189348 0.00565675 -0.0011259441540669058
0.36 -0.28 1.5 277.5 -0.0160862 0.00575397 -0.0009565542203324597
0.36 -0.28 1.5 292.5 -0.0194856 0.00565868 -0.0011586970767309978
0.36 -0.28 1.5 307.5 -0.0176214 0.00614813 -0.0010478437752959931
0.36 -0.28 1.5 322.5 -0.0326671 0.00798623 -0.0019425254175021132
0.36 -0.28 1.5 337.5 -0.0103485 0.0115053 -0.0006153660497265022
0.36 -0.28 1.5 352.5 0.0088522 0.0133517 0.0005263896550600515
0.36 -0.33 1.5 7.5 0.00489485 0.0181097 0.00029106870643124793
0.36 -0.33 1.5 22.5 0.0106712 0.0148405 0.000634555171265541
0.36 -0.33 1.5 37.5 0.0201499 0.00953873 0.0011981991946063725
0.36 -0.33 1.5 52.5 0.0292786 0.00712509 0.0017410307217009583
0.36 -0.33 1.5 67.5 0.0191755 0.00655019 0.0011402572050568242
0.36 -0.33 1.5 82.5 0.0179799 0.00675601 0.001069161717879648
0.36 -0.33 1.5 97.5 0.000898717 0.00637714 0.00005344155482553538
0.36 -0.33 1.5 112.5 0.0166982 0.00550553 0.0009929463566258955
0.36 -0.33 1.5 127.5 0.0074749 0.00494624 0.00044448950911732437
0.36 -0.33 1.5 142.5 0.00359012 0.00465836 0.00021348388292449246
0.36 -0.33 1.5 157.5 0.00310371 0.00515451 0.00018455986492695966
0.36 -0.33 1.5 172.5 0.0122853 0.00519067 0.0007305364575257282
0.36 -0.33 1.5 187.5 -0.00941195 0.00530755 -0.0005596747829852976
0.36 -0.33 1.5 202.5 -0.00334413 0.00492873 -0.00019885626591988092
0.36 -0.33 1.5 217.5 -0.00331686 0.00476934 -0.00019723467514092344
0.36 -0.33 1.5 232.5 -0.0093369 0.00482123 -0.0005552119891473527
0.36 -0.33 1.5 247.5 -0.0125141 0.00548134 -0.000744141883643274
0.36 -0.33 1.5 262.5 -0.0176343 0.0061798 -0.0010486108644433547
0.36 -0.33 1.5 277.5 -0.0257705 0.0063581 -0.001532424098611086
0.36 -0.33 1.5 292.5 -0.0132747 0.00624329 -0.0007893704112001159
0.36 -0.33 1.5 307.5 -0.0150096 0.00680864 -0.0008925349818790073
0.36 -0.33 1.5 322.5 -0.0152803 0.00948116 -0.0009086319611186039
0.36 -0.33 1.5 337.5 -0.0294125 0.0148131 -0.0017489929881220221
0.36 -0.33 1.5 352.5 0.0188574 0.0186047 0.001121341619182736
0.36 -0.17 1.9 7.5 -0.00166911 0.00273643 -0.00009925241602734715
0.36 -0.17 1.9 22.5 0.00609142 0.00270165 0.0003622218739551636
0.36 -0.17 1.9 37.5 0.00662925 0.00254166 0.0003942035449726448
0.36 -0.17 1.9 52.5 0.00989928 0.00244061 0.0005886535081158205
0.36 -0.17 1.9 67.5 0.0138155 0.00244281 0.0008215286911143153
0.36 -0.17 1.9 82.5 0.0175168 0.0023977 0.001041623812132115
0.36 -0.17 1.9 97.5 0.0135058 0.00235923 0.0008031126051501371
0.36 -0.17 1.9 112.5 0.00844817 0.00232972 0.0005023643040361351
0.36 -0.17 1.9 127.5 0.00975996 0.00222745 0.0005803689453243149
0.36 -0.17 1.9 142.5 0.0050582 0.00210065 0.00030078219575074583
0.36 -0.17 1.9 157.5 0.00643094 0.00206647 0.00038241118459952185
0.36 -0.17 1.9 172.5 0.00329134 0.00204548 0.00019571714684319714
0.36 -0.17 1.9 187.5 -0.00181187 0.0020556 -0.00010774153592481592
0.36 -0.17 1.9 202.5 -0.00271749 0.00209449 -0.00016159357264060225
0.36 -0.17 1.9 217.5 -0.00561817 0.00213552 -0.0003340804058164896
0.36 -0.17 1.9 232.5 -0.00722537 0.00218905 -0.00042965138857925083
0.36 -0.17 1.9 247.5 -0.010472 0.00229357 -0.0006227098876876775
0.36 -0.17 1.9 262.5 -0.0148035 0.00234856 -0.000880279394803718
0.36 -0.17 1.9 277.5 -0.0125296 0.00241503 -0.0007450635799056078
0.36 -0.17 1.9 292.5 -0.0127034 0.00238608 -0.0007553984708987436
0.36 -0.17 1.9 307.5 -0.0121674 0.00251514 -0.0007235256195044928
0.36 -0.17 1.9 322.5 -0.0107444 0.00252441 -0.0006389079561947557
0.36 -0.17 1.9 337.5 -0.0030596 0.00262002 -0.00018193689575718278
0.36 -0.17 1.9 352.5 0.000272836 0.00277689 0.000016223994930973566
0.36 -0.23 1.9 7.5 0.0102991 0.00573603 0.0006124285145420321
0.36 -0.23 1.9 22.5 0.00734838 0.00514089 0.0004369660890456814
0.36 -0.23 1.9 37.5 0.0162255 0.00424997 0.0009648375938384657
0.36 -0.23 1.9 52.5 0.0229899 0.00373493 0.001367077735575911
0.36 -0.23 1.9 67.5 0.0186817 0.00352505 0.0011108937460671204
0.36 -0.23 1.9 82.5 0.0178506 0.00333832 0.001061472987123535
0.36 -0.23 1.9 97.5 0.0137642 0.00307951 0.0008184781738073655
0.36 -0.23 1.9 112.5 0.0109615 0.00290547 0.0006518176502949272
0.36 -0.23 1.9 127.5 0.00851883 0.00259923 0.0005065660497068772
0.36 -0.23 1.9 142.5 0.00808987 0.00238138 0.00048105825430747826
0.36 -0.23 1.9 157.5 0.00457769 0.00234157 0.00027220901697564976
0.36 -0.23 1.9 172.5 -0.00126059 0.00223395 -0.00007496007040872894
0.36 -0.23 1.9 187.5 0.000863918 0.00220479 0.00005137225752018363
0.36 -0.23 1.9 202.5 0.00278203 0.00230637 0.00016543139694841
0.36 -0.23 1.9 217.5 -0.00593165 0.00237685 -0.00035272126674012723
0.36 -0.23 1.9 232.5 -0.00630978 0.0025746 -0.00037520649304182145
0.36 -0.23 1.9 247.5 -0.0118671 0.00287575 -0.0007056684977252137
0.36 -0.23 1.9 262.5 -0.0152961 0.00313024 -0.0009095714966634343
0.36 -0.23 1.9 277.5 -0.0188265 0.00325109 -0.0011195041730855673
0.36 -0.23 1.9 292.5 -0.0229743 0.00347349 -0.0013661500928860782
0.36 -0.23 1.9 307.5 -0.0187466 0.00367548 -0.0011147529775139243
0.36 -0.23 1.9 322.5 -0.0208474 0.00431845 -0.0012396755264113912
0.36 -0.23 1.9 337.5 -0.0156484 0.0051827 -0.0009305207607421556
0.36 -0.23 1.9 352.5 -0.00227054 0.00578542 -0.00013501601493414624
0.36 -0.28 1.9 7.5 0.000155965 0.00602421 9.274345648702122e-6
0.36 -0.28 1.9 22.5 0.0151864 0.00503678 0.000903048265697111
0.36 -0.28 1.9 37.5 0.0112474 0.0041947 0.0006688184865143605
0.36 -0.28 1.9 52.5 0.0151904 0.00358189 0.0009032861227970681
