id = 114
editor = DM

### Experiment E110

collaboration = HALLA
experiment = E110
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.05453
inspiretex = Defurne:2015kxq
reference2 = KinX2, Table XIV

### Scattering Process

frame = Trento

in1energy = 5.7572
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XUU


y1name = XLU
y1namelong = Beam Spin Dependent Cross Section
y1unit = pb/GeV^4
y1value = column5
y1errorstatistic = column6
# unsymmetric systematic errors 
#sysm (sysp) gives the negative (positive) value 
y1errorsystematicminus = column7
y1errorsystematicplus = column8
y1errornormalization = 0.034



### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi 
x4unit = deg
x4value = column4

### Data
#
# CLAS 2015 XLU
#
#xB       Q2     -t     phi     XUU   stat systm systp
###########################################################
table =
0.378   2.012   0.192   7.5     -2.8    9.1 2.5 4.3
0.378   2.012   0.192   22.5    2.7     8.8 5.6 0.7
0.378   2.012   0.192   37.5    -6.     7.9 0.  3.6
0.378   2.012   0.192   52.5    7.2     8.1 2.5 2.6
0.378   2.012   0.192   67.5    -5.9    7.7 0.7 2.2
0.378   2.012   0.192   82.5    18.2    7.2 1.9 0.7
0.378   2.012   0.192   97.5    -0.8    7.3 0.6 4.8
0.378   2.012   0.192   112.5   14.     6.7 0.  2.8
0.378   2.012   0.192   127.5   -0.3    6.7 0.7 2.9
0.378   2.012   0.192   142.5   1.6     6.  4.  0.
0.378   2.012   0.192   157.5   -9.     5.9 2.4 2.5
0.378   2.012   0.192   172.5   -4.9    5.9 3.1 0.
0.378   2.012   0.192   187.5   -2.7    6.  3.3 1.4
0.378   2.012   0.192   202.5   6.7     6.3 4.1 0.9
0.378   2.012   0.192   217.5   -0.8    6.6 10. 0.5
0.378   2.012   0.192   232.5   -8.7    6.3 0.  2.6
0.378   2.012   0.192   247.5   -12.9   6.2 4.  0.5
0.378   2.012   0.192   262.5   -4.     6.5 3.8 0.3
0.378   2.012   0.192   277.5   -1.2    6.9 2.9 0.6
0.378   2.012   0.192   292.5   -6.     7.4 1.6 0.6
0.378   2.012   0.192   307.5   0.6     8.3 5.6 1.7
0.378   2.012   0.192   322.5   -2.6    8.3 8.  0.
0.378   2.012   0.192   337.5   -14.3   8.6 1.6 3.4
0.378   2.012   0.192   352.5   4.7     8.7 0.  7.7
0.392   2.054   0.233   7.5     -2.4    5.1 3.5 0.
0.392   2.054   0.233   22.5    -0.6    4.8 2.4 0.5
0.392   2.054   0.233   37.5    4.1     4.4 1.1 1.6
