id = 115
editor = DM

### Experiment E110

collaboration = HALLA
experiment = E110
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.05453
inspiretex = Defurne:2015kxq
reference2 = KinX3, Table XV

### Scattering Process

frame = Trento

in1energy = 5.7572
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XUU


y1name = XLU
y1namelong = Beam Spin Dependent Cross Section
y1unit = pb/GeV^4
y1value = column5
y1errorstatistic = column6
# unsymmetric systematic errors 
#sysm (sysp) gives the negative (positive) value 
y1errorsystematicminus = column7
y1errorsystematicplus = column8
y1errornormalization = 0.034



### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi 
x4unit = deg
x4value = column4

### Data
#
# CLAS 2015 XLU
#
#xB       Q2     -t     phi     XUU   stat systm systp
###########################################################
table =
0.336   2.161   0.171   7.5     7.3     6.5 8.  0.
0.336   2.161   0.171   22.5    1.7     6.7 1.8 2.8
0.336   2.161   0.171   37.5    7.6     6.1 0.4 2.8
0.336   2.161   0.171   52.5    22.5    5.6 0.  9.3
0.336   2.161   0.171   67.5    25.8    5.3 0.  5.7
0.336   2.161   0.171   82.5    14.9    5.1 0.4 3.2
0.336   2.161   0.171   97.5    14.2    4.5 0.  3.3
0.336   2.161   0.171   112.5   23.3    4.2 2.6 0.
0.336   2.161   0.171   127.5   11.3    4.2 3.8 0.8
0.336   2.161   0.171   142.5   7.      3.9 0.2 1.2
0.336   2.161   0.171   157.5   -3.1    3.7 0.  1.2
0.336   2.161   0.171   172.5   4.5     3.7 0.3 4.
0.336   2.161   0.171   187.5   -1.7    3.5 2.5 0.1
0.336   2.161   0.171   202.5   -2.1    3.6 1.3 1.8
0.336   2.161   0.171   217.5   -9.2    3.9 0.7 0.6
0.336   2.161   0.171   232.5   -13.5   4.1 0.  2.6
0.336   2.161   0.171   247.5   -6.8    4.1 0.  2.4
0.336   2.161   0.171   262.5   -22.7   4.5 0.8 2.2
0.336   2.161   0.171   277.5   -19.9   4.8 1.4 0.4
0.336   2.161   0.171   292.5   -17.6   5.4 0.5 2.3
0.336   2.161   0.171   307.5   -23.2   5.5 4.8 0.
0.336   2.161   0.171   322.5   -19.2   5.9 0.  3.5
0.336   2.161   0.171   337.5   -4.7    6.2 0.9 0.4
0.336   2.161   0.171   352.5   -4.1    6.5 3.4 1.8
0.342   2.190   0.231   7.5     14.4    10.1    6.4 0.3
0.342   2.190   0.231   22.5    32.4    8.9 3.2 0.3
0.342   2.190   0.231   37.5    16.2    7.9 0.  8.5
0.342   2.190   0.231   52.5    17.7    6.4 2.7 3.3
0.342   2.190   0.231   67.5    20.2    5.8 1.6 2.9
0.342   2.190   0.231   82.5    8.7     5.  3.4 0.7
0.342   2.190   0.231   97.5    21.1    4.8 0.8 0.4
0.342   2.190   0.231   112.5   18.6    4.  0.6 1.4
0.342   2.190   0.231   127.5   11.5    3.6 4.6 0.1
0.342   2.190   0.231   142.5   10.7    3.5 0.7 1.6
0.342   2.190   0.231   157.5   6.4     3.5 0.9 0.2
0.342   2.190   0.231   172.5   1.4     3.4 0.  3.6
0.342   2.190   0.231   187.5   -1.2    3.4 0.5 2.2
0.342   2.190   0.231   202.5   1.4     3.6 1.1 0.5
0.342   2.190   0.231   217.5   -9.5    3.7 2.2 0.
0.342   2.190   0.231   232.5   -3.8    3.8 2.1 0.
0.342   2.190   0.231   247.5   -8.4    4.  1.8 0.
0.342   2.190   0.231   262.5   -11.2   4.5 0.7 0.9
0.342   2.190   0.231   277.5   -22.1   4.8 0.8 2.2
0.342   2.190   0.231   292.5   -21.5   5.4 1.6 0.8
0.342   2.190   0.231   307.5   -27.4   6.3 0.  7.9
