id = 109
editor = DM

### Experiment E110

collaboration = HALLA
experiment = E110
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.05453
inspiretex = Defurne:2015kxq
reference2 = Kin1, Table IX

### Scattering Process

frame = Trento

in1energy = 5.7572
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XUU


y1name = XLU
y1namelong = Beam Spin Dependent Cross Section
y1unit = pb/GeV^4
y1value = column5
y1errorstatistic = column6
# unsymmetric systematic errors 
#sysm (sysp) gives the negative (positive) value 
y1errorsystematicminus = column7
y1errorsystematicplus = column8
y1errornormalization = 0.034


### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi 
x4unit = deg
x4value = column4

### Data
#
# CLAS 2015 XLU
#
#xB       Q2     -t     phi     XUU   stat systm systp
###########################################################
table =
0.345   1.453   0.170   7.5     0.8 7.9 3.  1.
0.345   1.453   0.170   22.5    5.2     7.1 9.4 0.
0.345   1.453   0.170   37.5    16.5    6.3 10.7    0.
0.345   1.453   0.170   52.5    18.8    5.2 1.1 1.1
0.345   1.453   0.170   67.5    19.9    4.5 0.  2.6
0.345   1.453   0.170   82.5    14. 4.  0.  1.6
0.345   1.453   0.170   97.5    15.8    3.8 2.8 0.
0.345   1.453   0.170   112.5   15.9    3.6 0.2 1.9
0.345   1.453   0.170   127.5   12.7    3.3 0.3 1.5
0.345   1.453   0.170   142.5   10.     3.1 3.  0.
0.345   1.453   0.170   157.5   6.8     2.9 0.  3.
0.345   1.453   0.170   172.5   -3.5    2.8 1.6 0.4
0.345   1.453   0.170   187.5   -1.9    2.8 0.3 1.1
0.345   1.453   0.170   202.5   -5.3    2.9 0.3 1.1
0.345   1.453   0.170   217.5   -4.4    3.  0.8 2.
0.345   1.453   0.170   232.5   -8.     3.2 0.4 1.1
0.345   1.453   0.170   247.5   -11.8   3.4 5.7 0.
0.345   1.453   0.170   262.5   -11.3   3.6 3.4 0.
0.345   1.453   0.170   277.5   -24.    3.9 0.2 2.4
0.345   1.453   0.170   292.5   -26.5   4.4 0.  2.4
0.345   1.453   0.170   307.5   -16.6   5.  1.5 5.2
0.345   1.453   0.170   322.5   -18.7   6.  0.  4.7
0.345   1.453   0.170   337.5   -5.7    6.9 2.3 2.7
0.345   1.453   0.170   352.5   -1.4    7.6 1.9 1.6
0.374   1.552   0.232   7.5     5.7 7.9 3.8 0.
0.374   1.552   0.232   22.5    -2.2    7.1 0.  8.4
0.374   1.552   0.232   37.5    4.3     6.1 3.4 1.9
0.374   1.552   0.232   52.5    13.4    5.1 1.2 3.2
0.374   1.552   0.232   67.5    12.4    4.6 4.  0.
0.374   1.552   0.232   82.5    12.2    3.8 0.  1.
0.374   1.552   0.232   97.5    8.3     3.5 1.1 1.6
0.374   1.552   0.232   112.5   13.6    3.3 1.7 0.7
0.374   1.552   0.232   127.5   6.7     3.1 4.9 0.
0.374   1.552   0.232   142.5   7.7     2.8 3.4 0.
0.374   1.552   0.232   157.5   3.      2.7 0.  1.1
0.374   1.552   0.232   172.5   -1.6    2.7 0.3 1.5
0.374   1.552   0.232   187.5   1.      2.6 0.4 1.
0.374   1.552   0.232   202.5   -1.8    2.8 0.  4.
0.374   1.552   0.232   217.5   -4.9    2.9 0.9 1.2
0.374   1.552   0.232   232.5   -8.7    2.9 1.2 1.1
0.374   1.552   0.232   247.5   -10.4   3.2 0.  2.4
0.374   1.552   0.232   262.5   -7.9    3.5 1.  2.4
0.374   1.552   0.232   277.5   -11.    3.6 3.3 0.
0.374   1.552   0.232   292.5   -16.4   4.2 1.5 0.9
0.374   1.552   0.232   307.5   -10.    4.7 0.  3.1
0.374   1.552   0.232   322.5   -11.8   6.  5.5 0.
0.374   1.552   0.232   337.5   -6.8    7.  0.  4.3
0.374   1.552   0.232   352.5   -4.3    7.8 0.  15.1
0.385   1.589   0.278   7.5     -7.2    10.8    13.5    0.
0.385   1.589   0.278   22.5    3.1     8.9 1.8 9.9
0.385   1.589   0.278   37.5    20.3    6.9 5.1 0.
0.385   1.589   0.278   52.5    18.3    5.7 4.2 0.
0.385   1.589   0.278   67.5    5.4     4.8 0.  2.4
0.385   1.589   0.278   82.5    9.      4.1 0.  6.1
0.385   1.589   0.278   97.5    8.6     3.9 2.9 1.8
0.385   1.589   0.278   112.5   -2.2    3.5 0.  5.1
0.385   1.589   0.278   127.5   4.      3.2 0.  4.7
0.385   1.589   0.278   142.5   4.2     3.3 0.  1.8
0.385   1.589   0.278   157.5   8.      3.7 1.8 0.9
0.385   1.589   0.278   172.5   -2.     3.6 0.  5.
0.385   1.589   0.278   187.5   0.2     3.6 0.8 1.2
0.385   1.589   0.278   202.5   0.9     3.4 3.4 0.
0.385   1.589   0.278   217.5   -1.5    3.4 1.9 1.1
0.385   1.589   0.278   232.5   -5.2    3.2 0.  1.9
0.385   1.589   0.278   247.5   -11.5   3.5 0.2 0.7
0.385   1.589   0.278   262.5   -6.2    3.7 1.5 0.8
0.385   1.589   0.278   277.5   -9.3    3.9 0.  1.
0.385   1.589   0.278   292.5   -7.5    4.5 1.7 0.9
0.385   1.589   0.278   307.5   -2.5    5.3 4.9 0.
0.385   1.589   0.278   322.5   -17.4   6.9 0.  7.5
0.385   1.589   0.278   337.5   -3.     9.4 12.4    0.
0.385   1.589   0.278   352.5   0.5     11.2    3.8 2.6
0.391   1.608   0.323   7.5     4.2     13.8    3.2 4.5
0.391   1.608   0.323   22.5    10.8    13.1    11.6    0.
0.391   1.608   0.323   37.5    18.     8.7 0.  3.8
0.391   1.608   0.323   52.5    18.     6.6 0.  7.8
0.391   1.608   0.323   67.5    13.9    5.4 4.6 0.4
0.391   1.608   0.323   82.5    5.7     4.6 0.  3.6
0.391   1.608   0.323   97.5    0.6     4.2 0.  4.5
0.391   1.608   0.323   112.5   6.3     3.9 1.4 1.3
0.391   1.608   0.323   127.5   2.  3.9 2.1 0.1
0.391   1.608   0.323   142.5   1.2     4.5 3.  0.6
0.391   1.608   0.323   157.5   5.9     5.6 0.7 4.
0.391   1.608   0.323   172.5   -1.8    6.6 0.  2.3
0.391   1.608   0.323   187.5   -13.9   6.1 4.2 0.
0.391   1.608   0.323   202.5   1.8     5.5 2.1 2.
0.391   1.608   0.323   217.5   -9.8    4.8 3.2 1.2
0.391   1.608   0.323   232.5   1.8     3.9 0.  1.8
0.391   1.608   0.323   247.5   -11.7   4.1 0.  2.4
0.391   1.608   0.323   262.5   -15.    4.3 1.5 0.4
0.391   1.608   0.323   277.5   -12.1   4.6 2.1 1.6
0.391   1.608   0.323   292.5   -4.2    5.2 7.3 0.
0.391   1.608   0.323   307.5   1.8     6.7 4.2 0.
0.391   1.608   0.323   322.5   -15.    9.4 0.  7.9
0.391   1.608   0.323   337.5   -8.7    12.8    0.  9.5
0.391   1.608   0.323   352.5   -10.2   15.5    7.2 0.
0.399   1.633   0.370   7.5     12.7    20.7    16.2    0.
0.399   1.633   0.370   22.5    25.7    16.3    1.3 2.6
0.399   1.633   0.370   37.5    25.2    11.2    12.1    0.
0.399   1.633   0.370   52.5    16.3    8.3 1.8 2.6
0.399   1.633   0.370   67.5    11.7    6.2 6.8 0.
0.399   1.633   0.370   82.5    6.9     4.9 2.2 0.6
0.399   1.633   0.370   97.5    18.9    4.7 2.3 1.4
0.399   1.633   0.370   112.5   2.2     4.7 0.8 4.8
0.399   1.633   0.370   127.5   7.1     5.8 7.2 0.3
0.399   1.633   0.370   142.5   -1.5    7.1 2.8 4.4
0.399   1.633   0.370   157.5   9.1     10.9    4.  3.5
0.399   1.633   0.370   172.5   -18.3   23.5    34.1    0.
0.399   1.633   0.370   187.5   -28.1   15.5    7.  5.6
0.399   1.633   0.370   202.5   0.6 9.  8.1 0.
0.399   1.633   0.370   217.5   0.1     7.4 0.8 2.3
0.399   1.633   0.370   232.5   -1.9    5.6 0.2 2.3
0.399   1.633   0.370   247.5   -10.9   5.1 1.3 0.8
0.399   1.633   0.370   262.5   -5.5    4.6 5.1 0.3
0.399   1.633   0.370   277.5   -5.8    4.9 0.5 0.9
0.399   1.633   0.370   292.5   -11.7   6.1 0.  9.2
0.399   1.633   0.370   307.5   -11.7   7.8 0.9 2.6
0.399   1.633   0.370   322.5   -14.9   11.7    0.5 6.7
0.399   1.633   0.370   337.5   -28.7   20.1    0.6 16.1
0.399   1.633   0.370   352.5   -43.5   23.1    0.  8.2


