id = 110
editor = DM

### Experiment E110

collaboration = HALLA
experiment = E110
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.05453
inspiretex = Defurne:2015kxq
reference2 = Kin2, Table X

### Scattering Process

frame = Trento

in1energy = 5.7572
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XUU


y1name = XLU
y1namelong = Beam Spin Dependent Cross Section
y1unit = pb/GeV^4
y1value = column5
y1errorstatistic = column6
# unsymmetric systematic errors 
#sysm (sysp) gives the negative (positive) value 
y1errorsystematicminus = column7
y1errorsystematicplus = column8
y1errornormalization = 0.034



### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi 
x4unit = deg
x4value = column4

### Data
#
# CLAS 2015 XLU
#
#xB       Q2     -t     phi     XUU   stat systm systp
###########################################################
table =
0.343   1.820   0.172   7.5     -1. 6.  1.1 1.
0.343   1.820   0.172   22.5    12.2    5.7 0.  2.3
0.343   1.820   0.172   37.5    16.8    4.9 0.5 2.6
0.343   1.820   0.172   52.5    15.3    4.5 0.9 1.9
0.343   1.820   0.172   67.5    15.8    4.3 1.2 0.5
0.343   1.820   0.172   82.5    20.5    3.9 0.  2.
0.343   1.820   0.172   97.5    15.1    3.6 0.  3.8
0.343   1.820   0.172   112.5   6.7     3.4 1.7 0.
0.343   1.820   0.172   127.5   14.9    3.2 1.1 0.
0.343   1.820   0.172   142.5   6.9     3.  0.  2.4
0.343   1.820   0.172   157.5   5.7     3.  0.9 1.5
0.343   1.820   0.172   172.5   0.7     2.9 1.  2.
0.343   1.820   0.172   187.5   -0.3    2.9 0.  1.4
0.343   1.820   0.172   202.5   -6.5    3.  0.7 1.6
0.343   1.820   0.172   217.5   -8.1    3.1 1.9 0.
0.343   1.820   0.172   232.5   -9.2    3.1 1.5 0.4
0.343   1.820   0.172   247.5   -11.8   3.2 0.  3.2
0.343   1.820   0.172   262.5   -17.5   3.4 0.  3.
0.343   1.820   0.172   277.5   -16.    3.8 1.4 0.5
0.343   1.820   0.172   292.5   -17.2   4.  0.4 2.6
0.343   1.820   0.172   307.5   -16.3   4.5 0.6 1.7
0.343   1.820   0.172   322.5   -11.6   4.9 1.3 0.7
0.343   1.820   0.172   337.5   -1.9    5.5 1.  2.7
0.343   1.820   0.172   352.5   -3.6    5.9 2.2 0.
0.368   1.933   0.232   7.5     3.1     6.1 4.8 0.
0.368   1.933   0.232   22.5    -1.9    5.4 1.4 1.9
0.368   1.933   0.232   37.5    12.     4.5 2.  1.6
0.368   1.933   0.232   52.5    19.3    4.2 0.9 0.1
0.368   1.933   0.232   67.5    14.4    3.7 3.  0.1
0.368   1.933   0.232   82.5    10.8    3.2 3.1 0.2
0.368   1.933   0.232   97.5    8.6     2.8 0.5 2.6
0.368   1.933   0.232   112.5   4.3     2.7 0.7 1.6
0.368   1.933   0.232   127.5   7.2     2.4 1.  0.4
0.368   1.933   0.232   142.5   7.      2.3 0.5 0.
0.368   1.933   0.232   157.5   6.2     2.3 0.7 1.3
0.368   1.933   0.232   172.5   0.4     2.2 1.5 0.
0.368   1.933   0.232   187.5   -0.7    2.2 0.  1.4
0.368   1.933   0.232   202.5   -1.4    2.3 2.1 0.
0.368   1.933   0.232   217.5   -2.6    2.3 2.2 0.
0.368   1.933   0.232   232.5   -6.7    2.4 2.1 0.
0.368   1.933   0.232   247.5   -10.6   2.6 1.1 0.
0.368   1.933   0.232   262.5   -9.2    2.8 0.  1.9
0.368   1.933   0.232   277.5   -15.5   3.  3.5 0.
0.368   1.933   0.232   292.5   -16.    3.5 0.  0.9
0.368   1.933   0.232   307.5   -10.3   3.9 0.  3.3
0.368   1.933   0.232   322.5   -16.5   4.5 0.  2.3
0.368   1.933   0.232   337.5   -7.2    5.5 2.3 0.2
0.368   1.933   0.232   352.5   -0.7    6.1 1.1 0.5
0.375   1.964   0.278   7.5 1.7 7.7     2.5 0.9
0.375   1.964   0.278   22.5    4.1     6.2 7.5 0.
0.375   1.964   0.278   37.5    16.1    5.2 0.  4.2
0.375   1.964   0.278   52.5    15.     4.3 0.  3.2
0.375   1.964   0.278   67.5    1.8     3.6 1.1 1.2
0.375   1.964   0.278   82.5    10.9    3.2 0.  2.
0.375   1.964   0.278   97.5    4.8     2.9 1.7 0.4
0.375   1.964   0.278   112.5   8.6     2.7 1.3 0.2
0.375   1.964   0.278   127.5   6.4     2.3 0.  2.2
0.375   1.964   0.278   142.5   6.9     2.2 0.  0.8
0.375   1.964   0.278   157.5   5.4     2.2 1.1 0.
0.375   1.964   0.278   172.5   -1.5    2.2 1.4 0.4
0.375   1.964   0.278   187.5   -1.4    2.1 0.5 1.8
0.375   1.964   0.278   202.5   -0.5    2.1 1.3 0.
0.375   1.964   0.278   217.5   -4.6    2.2 0.  2.4
0.375   1.964   0.278   232.5   -5.     2.3 2.4 0.
0.375   1.964   0.278   247.5   -7.     2.8 0.8 0.4
0.375   1.964   0.278   262.5   -11.    3.  1.  1.1
0.375   1.964   0.278   277.5   -11.9   3.2 0.  1.8
0.375   1.964   0.278   292.5   -9.9    3.5 1.3 0.
0.375   1.964   0.278   307.5   -6.     4.1 3.9 0.
0.375   1.964   0.278   322.5   -9.6    4.8 0.  2.4
0.375   1.964   0.278   337.5   -17.2   6.2 8.  0.
0.375   1.964   0.278   352.5   1.8     7.4 1.3 6.3
0.379   1.986   0.323   7.5     7.3     11.1    0.  10.3
0.379   1.986   0.323   22.5    -0.1    9.  3.7 0.
0.379   1.986   0.323   37.5    7.9     6.1 3.4 3.2
