id = 111
editor = DM

### Experiment E110

collaboration = HALLA
experiment = E110
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.05453
inspiretex = Defurne:2015kxq
reference2 = Kin3, Table XI

### Scattering Process

frame = Trento

in1energy = 5.7572
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XUU


y1name = XLU
y1namelong = Beam Spin Dependent Cross Section
y1unit = pb/GeV^4
y1value = column5
y1errorstatistic = column6
# unsymmetric systematic errors 
#sysm (sysp) gives the negative (positive) value 
y1errorsystematicminus = column7
y1errorsystematicplus = column8
y1errornormalization = 0.034



### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi 
x4unit = deg
x4value = column4

### Data
#
# CLAS 2015 XLU
#
#xB       Q2     -t     phi     XUU   stat systm systp
###########################################################
table =
0.345   2.218   0.176   7.5     5.2     5.1 5.4 0.
0.345   2.218   0.176   22.5    1.8     5.1 0.  3.6
0.345   2.218   0.176   37.5    8.      4.7 0.7 1.5
0.345   2.218   0.176   52.5    16.7    4.5 0.1 5.7
0.345   2.218   0.176   67.5    21.1    4.1 0.  6.
0.345   2.218   0.176   82.5    16.     4.  0.1 2.1
0.345   2.218   0.176   97.5    10.1    3.5 0.1 1.9
0.345   2.218   0.176   112.5   20.7    3.4 1.8 0.1
0.345   2.218   0.176   127.5   9.3     3.2 1.9 0.9
0.345   2.218   0.176   142.5   4.8     3.1 0.1 1.
0.345   2.218   0.176   157.5   -0.4    3.  0.  1.4
0.345   2.218   0.176   172.5   3.3 3.  0.2 2.9
0.345   2.218   0.176   187.5   -0.6    2.8 1.4 0.6
0.345   2.218   0.176   202.5   -2.6    2.9 2.  0.9
0.345   2.218   0.176   217.5   -7.5    3.  0.  1.1
0.345   2.218   0.176   232.5   -13.1   3.2 0.  3.3
0.345   2.218   0.176   247.5   -6.9    3.3 0.  1.7
0.345   2.218   0.176   262.5   -17.5   3.6 0.  2.1
0.345   2.218   0.176   277.5   -13.    3.8 0.7 1.4
0.345   2.218   0.176   292.5   -13.2   4.2 0.6 2.9
0.345   2.218   0.176   307.5   -16.6   4.3 2.1 0.4
0.345   2.218   0.176   322.5   -15.2   4.6 0.  2.8
0.345   2.218   0.176   337.5   -3.1    4.8 0.4 0.5
0.345   2.218   0.176   352.5   -1.2    4.9 1.5 1.1
0.363   2.318   0.232   7.5     7.4     4.9 1.8 0.2
0.363   2.318   0.232   22.5    15.4    4.6 1.3 0.9
0.363   2.318   0.232   37.5    8.3     4.1 0.  1.8
0.363   2.318   0.232   52.5    11.5    3.6 1.5 1.5
0.363   2.318   0.232   67.5    17.1    3.2 0.  3.7
0.363   2.318   0.232   82.5    6.6     2.9 0.  1.6
0.363   2.318   0.232   97.5    12.3    2.7 0.7 0.
0.363   2.318   0.232   112.5   11.6    2.4 1.3 0.1
0.363   2.318   0.232   127.5   6.4     2.3 1.4 0.7
0.363   2.318   0.232   142.5   5.5     2.1 0.2 0.6
0.363   2.318   0.232   157.5   2.7     2.2 0.1 0.9
0.363   2.318   0.232   172.5   0.      2.  0.  1.5
0.363   2.318   0.232   187.5   0.2     2.1 0.2 1.2
0.363   2.318   0.232   202.5   -0.7    2.1 0.7 0.4
0.363   2.318   0.232   217.5   -5.4    2.2 0.5 0.2
0.363   2.318   0.232   232.5   -4.2    2.3 1.2 0.5
0.363   2.318   0.232   247.5   -9.5    2.4 0.7 0.4
0.363   2.318   0.232   262.5   -9.     2.7 1.4 0.1
