id = 127
editor = DM

### Experiment

collaboration = HALLA
experiment = 
process = ep2epgamma
exptype = fixed target
year = 2017
reference = arXiv:1703.09442

### Scattering Process

frame = Trento

in1energy = 4.455
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XLU


y1name = XLU
y1namelong = Beam Spin Difference Cross Section
y1unit = pb/GeV^4
y1value = column5
y1errorstatistic = column6
y1errornormalization = 0.042
# normalization  errors are added in quadrature from publication
y1errornormalizationlinear = 0.1
# normalization errors from different sources are added linearly


### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = t
x3unit = GeV^2
x3value = column3

x4name = phi 
x4unit = deg
x4value = column4

### Data
#
# HALL A 2017 XLU
#
#xB       Q2     t     phi     XLU   stat
###########################################################
table =
0.357 1.74 -0.181 7.5 -11.9 9.6
0.357 1.74 -0.181 22.5 12.9 9.4
0.357 1.74 -0.181 37.5 7.79 9.1
0.357 1.74 -0.181 52.5 18.6 8.5
0.357 1.74 -0.181 67.5 5.56 8.1
0.357 1.74 -0.181 82.5 12.4 7.5
0.357 1.74 -0.181 97.5 8.27 7.1
0.357 1.74 -0.181 112.5 7.51 6.6
0.357 1.74 -0.181 127.5 9.89 6.2
0.357 1.74 -0.181 142.5 7.27 6.0
0.357 1.74 -0.181 157.5 4.26 5.9
0.357 1.74 -0.181 172.5 7.68 5.8
0.357 1.74 -0.181 187.5 5.12 5.8
0.357 1.74 -0.181 202.5 1.99 6.0
0.357 1.74 -0.181 217.5 -15.5 6.1
0.357 1.74 -0.181 232.5 -6.43 6.2
0.357 1.74 -0.181 247.5 -3.1 6.6
0.357 1.74 -0.181 262.5 -26.2 7.1
0.357 1.74 -0.181 277.5 -2.75 7.5
0.357 1.74 -0.181 292.5 -13.2 8.0
0.357 1.74 -0.181 307.5 -20.2 8.4
0.357 1.74 -0.181 322.5 -4.46 8.8
0.357 1.74 -0.181 337.5 -5.25 9.4
0.357 1.74 -0.181 352.5 -10.4 9.6
0.357 1.74 -0.24 7.5 5.38 10.0
0.357 1.74 -0.24 22.5 15.1 9.7
0.357 1.74 -0.24 37.5 15.3 8.9
0.357 1.74 -0.24 52.5 14.2 8.0
0.357 1.74 -0.24 67.5 13.1 7.1
0.357 1.74 -0.24 82.5 17.6 6.5
0.357 1.74 -0.24 97.5 15.6 5.8
0.357 1.74 -0.24 112.5 6.24 5.4
0.357 1.74 -0.24 127.5 12.1 5.0
0.357 1.74 -0.24 142.5 3.59 4.8
0.357 1.74 -0.24 157.5 -0.899 4.8
0.357 1.74 -0.24 172.5 -1.88 4.8
0.357 1.74 -0.24 187.5 5.79 4.8
0.357 1.74 -0.24 202.5 -3.68 4.9
0.357 1.74 -0.24 217.5 3.24 4.9
0.357 1.74 -0.24 232.5 -8.48 5.1
0.357 1.74 -0.24 247.5 -9.31 5.4
0.357 1.74 -0.24 262.5 -6.64 5.9
0.357 1.74 -0.24 277.5 -3.85 6.5
0.357 1.74 -0.24 292.5 -4.64 7.2
0.357 1.74 -0.24 307.5 -20.5 7.9
0.357 1.74 -0.24 322.5 -24.7 8.8
0.357 1.74 -0.24 337.5 -17 9.6
0.357 1.74 -0.24 352.5 -2.39 10.0
0.358 1.74 -0.301 7.5 -13.6 10.0
0.358 1.74 -0.301 22.5 24 9.7
0.358 1.74 -0.301 37.5 10 8.5
0.358 1.74 -0.301 52.5 20.5 7.3
0.358 1.74 -0.301 67.5 20.2 6.4
 0.358 1.74 -0.301 82.5 11.3 5.8
0.358 1.74 -0.301 97.5 10.4 5.4
0.358 1.74 -0.301 112.5 9.72 5.0
0.358 1.74 -0.301 127.5 6 4.7
0.358 1.74 -0.301 142.5 -4.48 4.6
0.358 1.74 -0.301 157.5 1.54 4.7
0.358 1.74 -0.301 172.5 3.03 4.8
 0.358 1.74 -0.301 187.5 -5.36 4.8
0.358 1.74 -0.301 202.5 -2.61 4.8
0.358 1.74 -0.301 217.5 -4.25 4.8
0.358 1.74 -0.301 232.5 -9.55 4.7
0.358 1.74 -0.301 247.5 -8.62 5.0
0.358 1.74 -0.301 262.5 -4.85 5.3
0.358 1.74 -0.301 277.5 -8.44 5.8
0.358 1.74 -0.301 292.5 -3.2 6.6
0.358 1.74 -0.301 307.5 -19.4 7.4
0.358 1.74 -0.301 322.5 -9.51 8.5
0.358 1.74 -0.301 337.5 -9.32 9.6
0.358 1.74 -0.301 352.5 -10.7 10.0
0.361 1.76 -0.363 7.5 13.2 13.0
0.361 1.76 -0.363 22.5 14.8 10.0
0.361 1.76 -0.363 37.5 21.7 7.8
0.361 1.76 -0.363 52.5 18.1 6.5
0.361 1.76 -0.363 67.5 10.9 5.8
