id = 106
editor = KK

# these data are derived from the phi measurement
# of CLAS experiment, with kinematic restrictions by DM


### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.02009
inspiretex = Jo:2015ema
reference2 = FT analysis with MC error propagation by KK


### Scattering Process

frame = BMK

in1particle = em
in1energy = 5.75
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = e
out2particle = p
out3particle = gamma


### Observable 

y1name = ALU
y1long = Beam spin assymmetry
y1unit = 1
y1value = column4
y1errorstatistic = column5
y1errorsystematic = column6


### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = FTn
x4unit = 1
x4value = -1


### Data
table=
#                             error
#  Q2     xB    tm   ALU   stat  avgsyst
##############################################
 1.62  0.185  0.11  0.213  0.029   0.041
 1.63  0.185  0.15  0.226  0.030   0.046
 1.63  0.185  0.20  0.184  0.035   0.052
 1.63  0.185  0.26  0.198  0.036   0.053
 1.63  0.185  0.34  0.228  0.040   0.055
 1.64  0.214  0.11  0.275  0.038   0.049
 1.64  0.214  0.15  0.256  0.038   0.052
 1.64  0.214  0.20  0.181  0.042   0.058
 1.64  0.214  0.26  0.289  0.045   0.065
 1.64  0.214  0.34  0.337  0.057   0.092
 1.88  0.215  0.11  0.209  0.032   0.047
 1.88  0.215  0.15  0.205  0.032   0.044
 1.88  0.215  0.20  0.204  0.039   0.052
 1.88  0.215  0.26  0.214  0.040   0.052
 1.88  0.215  0.34  0.180  0.044   0.059
 1.88  0.215  0.45  0.233  0.052   0.079
 1.79  0.244  0.11  0.268  0.069   0.104
 1.79  0.244  0.15  0.307  0.054   0.090
 1.79  0.244  0.20  0.298  0.056   0.075
 1.79  0.244  0.26  0.294  0.060   0.087
 1.80  0.244  0.34  0.270  0.081   0.139
 2.12  0.244  0.11  0.228  0.044   0.072
 2.12  0.245  0.15  0.115  0.033   0.048
 2.12  0.245  0.20  0.255  0.040   0.061
 2.12  0.245  0.26  0.260  0.041   0.071
 2.12  0.245  0.34  0.214  0.042   0.052
 2.12  0.245  0.45  0.260  0.054   0.086
 1.94  0.274  0.20  0.266  0.078   0.128
 1.94  0.274  0.26  0.310  0.101   0.125
 1.94  0.275  0.34  0.280  0.116   0.125
 2.35  0.275  0.20  0.268  0.045   0.069
 2.35  0.275  0.26  0.272  0.042   0.067
 2.35  0.275  0.34  0.228  0.047   0.076
 2.35  0.275  0.45  0.254  0.056   0.099
 2.10  0.304  0.20  0.264  0.105   0.169
 2.58  0.304  0.20  0.217  0.053   0.065
 2.58  0.305  0.26  0.167  0.050   0.067
 2.58  0.305  0.34  0.252  0.061   0.094
 2.58  0.305  0.45  0.198  0.066   0.109
 2.78  0.335  0.20  0.224  0.067   0.109
 2.78  0.335  0.26  0.233  0.058   0.077
 2.78  0.335  0.34  0.256  0.062   0.100
 2.78  0.335  0.45  0.372  0.077   0.127
 2.97  0.365  0.26  0.317  0.071   0.107
 2.97  0.365  0.34  0.138  0.077   0.127
 2.97  0.365  0.45  0.191  0.081   0.137
 3.18  0.400  0.34  0.193  0.077   0.109
 3.18  0.400  0.45  0.307  0.075   0.115
