id = 104
editor = DM
# data restricted to DVCS kinematics Q2> 1.5 GeV^2 and -t/Q2 < 0.25
# only data are taken where 18 bins and more are filled
# ALU is calculated from XLU/XUU errors are separately added in quadrature

### Experiment E145M2

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.02009
inspiretex = Jo:2015ema
reference2 = CLAS data base E145M1, E145M2

### Scattering Process

frame = Trento

in1energy = 5.75
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XLU


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6
y1errorsystematic = column7



### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi 
x4unit = deg
x4value = column4

### Data
#
# CLAS 2015 XLU/XUU
#
#xB      Q2    -t  phi            ALU        stat      syst
###########################################################
table =
0.185   1.62    0.11    9.53    0   0   0
0.185   1.62    0.11    24.88   0   0   0
0.185   1.62    0.11    39.26   0   0   0
0.185   1.62    0.11    53.14   0.167922    0.0659648   0.0446442
0.185   1.62    0.11    67.5    0.124774    0.0745617   0.0360291
0.185   1.62    0.11    82.13   0.266515    0.071503    0.0511029
0.185   1.62    0.11    97.18   0.20207     0.0813879   0.0258194
0.185   1.62    0.11    112.23  0.218621    0.0954199   0.0632655
0.185   1.62    0.11    127.28  0.198408    0.119453    0.0419176
0.185   1.62    0.11    142.34  0.24964     0.109446    0.0775728
0.185   1.62    0.11    157.4   0.234419    0.108303    0.0411663
0.185   1.62    0.11    172.47  -0.169996   0.129414    0.0611545
0.185   1.62    0.11    187.53  -0.0884521  0.132697    0.0237155
0.185   1.62    0.11    202.6   -0.0587384  0.104867    0.0184245
0.185   1.62    0.11    217.66  -0.115971   0.117071    0.0422614
0.185   1.62    0.11    232.72  -0.135526   0.121327    0.0375129
0.185   1.62    0.11    247.77  -0.213949   0.105725    0.0294898
0.185   1.62    0.11    262.82  -0.228718   0.0808313   0.0461601
0.185   1.62    0.11    277.87  -0.162798   0.0791339   0.0498621
0.185   1.62    0.11    292.5   -0.202153   0.0741836   0.0235481
0.185   1.62    0.11    306.86  -0.0692717  0.0605782   0.0201313
0.185   1.62    0.11    320.74  0   0   0
0.185   1.62    0.11    335.12  0   0   0
0.185   1.62    0.11    350.47  0   0   0
0.185   1.63    0.15    7.5 0   0   0
0.185   1.63    0.15    29.3    0   0   0
0.185   1.63    0.15    41.34   0   0   0
0.185   1.63    0.15    53.57   0.143944    0.0651325   0.0517001
0.185   1.63    0.15    67.33   0.127503    0.070047    0.02532
0.185   1.63    0.15    82.07   0.230769    0.0718476   0.0444607
0.185   1.63    0.15    97.14   0.175684    0.0723923   0.0191845
0.185   1.63    0.15    112.21  0.397395    0.102358    0.0866839
0.185   1.63    0.15    127.27  0.147317    0.116951    0.0423586
0.185   1.63    0.15    142.33  0.21875     0.115238    0.047939
0.185   1.63    0.15    157.4   0.16092     0.109796    0.0452156
0.185   1.63    0.15    172.47  0.133869    0.123763    0.0457137
0.185   1.63    0.15    187.53  0.00073278  0.137763    0.0442111
0.185   1.63    0.15    202.6   -0.0811696  0.114638    0.0494522
0.185   1.63    0.15    217.67  -0.213934   0.11209     0.0838066
0.185   1.63    0.15    232.73  -0.195323   0.126359    0.0534266
0.185   1.63    0.15    247.79  -0.220172   0.096027    0.0463505
0.185   1.63    0.15    262.86  -0.131432   0.0822208   0.0304569
0.185   1.63    0.15    277.93  -0.150411   0.0773878   0.047499
0.185   1.63    0.15    292.67  -0.210799   0.0663688   0.0396048
0.185   1.63    0.15    306.43  -0.177265   0.0623866   0.0330495
0.185   1.63    0.15    318.66  0   0   0
0.185   1.63    0.15    330.7   0   0   0
0.185   1.63    0.15    352.5   0   0   0
0.185   1.63    0.2 7.5 0   0   0
0.185   1.63    0.2 22.5    0   0   0
0.185   1.63    0.2 42.9    0   0   0
0.185   1.63    0.2 54.03   0.245029    0.0716703   0.0347077
0.185   1.63    0.2 67.05   0.223623    0.0793617   0.0438599
0.185   1.63    0.2 82.04   0.198439    0.0862231   0.0392271
0.185   1.63    0.2 97.12   0.232757    0.0912937   0.0584029
0.185   1.63    0.2 112.19  0.264727    0.116307    0.0665429
0.185   1.63    0.2 127.26  -0.0402161  0.145637    0.0555214
0.185   1.63    0.2 142.33  -0.0288796  0.143394    0.0540067
0.185   1.63    0.2 157.4   0.00361011  0.141697    0.0248219
0.185   1.63    0.2 172.47  0.245947    0.172412    0.0456739
0.185   1.63    0.2 187.53  0.143515    0.163826    0.110983
0.185   1.63    0.2 202.6   -0.066847   0.144343    0.0543444
0.185   1.63    0.2 217.67  -0.0298273  0.125626    0.0603552
0.185   1.63    0.2 232.74  -0.0199737  0.136418    0.0686078
0.185   1.63    0.2 247.81  -0.309891   0.123264    0.0493544
0.185   1.63    0.2 262.88  -0.131744   0.093389    0.0602905
