id = 103
editor = DM
# 04/29/2015
# ALU is calculated from XLU/XUU of id = 33 and id = 34  files 
# errors are separately added in quadrature
# 05/01/2015
# bug fixed in error propagation 
# sys, sta were interchanged, sys was incorrect



### Experiment

collaboration = HALLA
process = ep2epgamma
exptype = fixed target
year = 2006
reference =  nucl-ex/0607029
inspiretex = Camacho:2006qlkIN
reference2 = private table


### Scattering Process

frame = Trento

in1particle = em
in1energy = 5.75
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 

y1name = ALU 
y1namelong = Beam Spin Asymmetry 
# or Beam Spin Difference over Beam Spin Sum
y1unit = 1
y1value = column3
y1errorstatistic = column4
y1errorsystematic = column5
# systematic error according to publication
# were added to XLU and XUU


### x-axes

x1name = xB
x1unit = 1
x1value = 0.36

x2name = tm
x2unit = GeV^2
x2value = column1

x3name = Q2
x3unit = GeV^2
x3value = 2.3

x4name = phi
x4unit = degree
x4value = column2


### Data 
table = 
#t   phi      XLUovALU      sta         sys
###########################################################
0.17    7.5     0.0520376   0.0291277   0.00425055
0.17    22.5    0.00840203  0.0296311   0.000686297
0.17    37.5    0.0688594   0.0308414   0.0056246
0.17    52.5    0.111454    0.0332384   0.00910383
0.17    67.5    0.195091    0.0365147   0.0159355
0.17    82.5    0.135047    0.0385803   0.011031
0.17    97.5    0.106415    0.0423763   0.00869222
0.17    112.5   0.226978    0.0428659   0.0185401
0.17    127.5   0.120469    0.0451313   0.00984018
0.17    142.5   0.0835199   0.0453043   0.0068221
0.17    157.5   -0.00470362 0.0472639   0.000384202
0.17    172.5   0.0216276   0.0466732   0.00176659
0.17    187.5   -0.0130532  0.0482314   0.00106621
0.17    202.5   -0.0499967  0.0471299   0.00408384
0.17    217.5   -0.100313   0.0438074   0.00819383
0.17    232.5   -0.171708   0.0437387   0.0140255
0.17    247.5   -0.118981   0.0426974   0.00971866
0.17    262.5   -0.186957   0.0399018   0.0152711
0.17    277.5   -0.13772    0.0378358   0.0112493
0.17    292.5   -0.112556   0.0352908   0.00919386
0.17    307.5   -0.130712   0.033503    0.0106768
0.17    322.5   -0.115498   0.0308618   0.00943411
0.17    337.5   -0.0205236  0.030778    0.00167642
0.17    352.5   0.013413    0.0300959   0.0010956
0.23    7.5     0.0960377   0.0472153   0.00784458
0.23    22.5    0.174865    0.0459878   0.0142834
0.23    37.5    0.154743    0.0501174   0.0126398
0.23    52.5    0.195104    0.051776    0.0159365
0.23    67.5    0.297674    0.0586347   0.0243147
0.23    82.5    0.169827    0.0604614   0.0138718
0.23    97.5    0.28842     0.0644086   0.0235588
0.23    112.5   0.310934    0.070625    0.0253979
0.23    127.5   0.214689    0.0689033   0.0175363
0.23    142.5   0.215891    0.0758056   0.0176344
0.23    157.5   0.0944615   0.0722689   0.00771584
0.23    172.5   -0.0140579  0.0754443   0.00114828
0.23    187.5   -0.0136584  0.0744001   0.00111565
0.23    202.5   -0.0100381  0.0707048   0.000819937
0.23    217.5   -0.188726   0.0724422   0.0154156
0.23    232.5   -0.125194   0.0697589   0.0102261
0.23    247.5   -0.262699   0.0700022   0.0214579
0.23    262.5   -0.194078   0.0632199   0.0158528
0.23    277.5   -0.364567   0.0627073   0.0297786
0.23    292.5   -0.242992   0.0552404   0.0198482
0.23    307.5   -0.24222    0.05055 0.0197851
0.23    322.5   -0.250727   0.0486923   0.02048
0.23    337.5   -0.0367612  0.0472382   0.00300274
0.23    352.5   -0.0293459  0.0487199   0.00239704
0.28    7.5     0.123388    0.0624487   0.0100786
0.28    22.5    0.118704    0.0569121   0.00969598
0.28    37.5    0.273662    0.0626893   0.0223533
0.28    52.5    0.277354    0.067669    0.0226549
0.28    67.5    0.421754    0.0677827   0.0344499
0.28    82.5    0.28565     0.065602    0.0233326
0.28    97.5    0.31934     0.0773959   0.0260844
0.28    112.5   0.303326    0.0786374   0.0247764
0.28    127.5   0.175366    0.081565    0.0143243
0.28    142.5   0.184987    0.0810393   0.0151101
0.28    157.5   0.161631    0.0793275   0.0132024
0.28    172.5   0.00289514  0.0768949   0.000236482
0.28    187.5   0.0109138   0.0890359   0.000891463
0.28    202.5   -0.130918   0.091801    0.0106937
0.28    217.5   -0.218517   0.0853776   0.017849
0.28    232.5   -0.158636   0.0743997   0.0129577
0.28    247.5   -0.192068   0.0797669   0.0156885
0.28    262.5   -0.353741   0.0737217   0.0288944
0.28    277.5   -0.305042   0.070665    0.0249166
0.28    292.5   -0.274504   0.0652189   0.0224221
0.28    307.5   -0.296029   0.0610585   0.0241803
0.28    322.5   -0.196131   0.0603007   0.0160205
0.28    337.5   -0.160312   0.0656266   0.0130947
0.28    352.5   -0.0483378  0.0673269   0.00394834
0.33    7.5     0.0528538   0.045183    0.00431722
0.33    22.5    0.0769057   0.0472329   0.00628184
0.33    37.5    0.0929149   0.0579625   0.0075895
0.33    52.5    0.216436    0.0636481   0.017679
0.33    67.5    0.272238    0.0692638   0.022237
0.33    82.5    0.338653    0.0871442   0.027662
0.33    97.5    0.404069    0.092426    0.0330053
0.33    112.5   0.206285    0.0935545   0.0168499
0.33    127.5   0.320311    0.0939193   0.0261638
0.33    142.5   0.231635    0.0969597   0.0189205
0.33    157.5   0.286955    0.0989823   0.0234392
0.33    172.5   0.0849694   0.0925676   0.0069405
0.33    187.5   -0.0660999  0.0994614   0.00539919
0.33    202.5   -0.198163   0.0923287   0.0161864
0.33    217.5   -0.30242    0.103629    0.0247024
0.33    232.5   -0.250519   0.0926073   0.020463
0.33    247.5   -0.0408703  0.0949245   0.00333838
0.33    262.5   -0.324576   0.0926252   0.0265121
0.33    277.5   -0.476076   0.0808785   0.038887
0.33    292.5   -0.245233   0.0669079   0.0200312
