id = 105
editor = KK

# the y1 data are derived from the phi measurement
# of HALL A data from the experiment 

### Experiment

collaboration = HALLA
process = ep2epgamma
exptype = fixed target
year = 2006
reference =  nucl-ex/0607029
inspiretex = Camacho:2006qlkIN
reference2 = FT analysis with MC error propagation by KK


### Scattering Process

frame = BMK

in1particle = em
in1energy = 5.75
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = e
out2particle = p
out3particle = gamma


### Observable 
y1long = Beam spin assymetry
y1name = ALU
y1unit = 1
y1value = column3
y1errorstatistic = column4
y1errorsystematic = column5


### x-axes

x1name = xB
x1unit = 1
x1value = 0.36

x2name = Q2
x2unit = GeV^2
x2value = 2.3


x3name = tm
x3unit = GeV^2
x3value = column1

x4name = FTn
x4unit = 1
x4value = column2


### Data
table=
#  tm  FTn    ALU     stat  avgsyst
#####################################
 0.17    0  -0.0012  0.0079  0.0078
 0.17    1  -0.0077  0.0110  0.0078
 0.17    2  -0.0026  0.0112  0.0078
 0.17    3  -0.0039  0.0112  0.0078
 0.17    4   0.0087  0.0115  0.0078
 0.17    5  -0.0064  0.0116  0.0078
 0.17    6   0.0240  0.0116  0.0078
 0.17    7   0.0013  0.0113  0.0078
 0.17    8  -0.0165  0.0114  0.0078
 0.17    9  -0.0019  0.0112  0.0078
 0.17   10   0.0191  0.0115  0.0078
 0.17   11   0.0125  0.0113  0.0078
 0.17   -1   0.1543  0.0115  0.0078
 0.17   -2   0.0073  0.0115  0.0078
 0.17   -3  -0.0110  0.0115  0.0078
 0.17   -4  -0.0048  0.0113  0.0078
 0.17   -5  -0.0223  0.0115  0.0078
 0.17   -6   0.0010  0.0113  0.0078
 0.17   -7   0.0042  0.0114  0.0078
 0.17   -8   0.0016  0.0111  0.0078
 0.17   -9   0.0006  0.0111  0.0078
 0.17  -10  -0.0006  0.0113  0.0078
 0.17  -11   0.0124  0.0113  0.0078
 0.17  -12  -0.0022  0.0080  0.0078
 0.23    0   0.0099  0.0127  0.0143
 0.23    1   0.0061  0.0180  0.0143
 0.23    2   0.0162  0.0180  0.0143
 0.23    3  -0.0319  0.0180  0.0143
 0.23    4  -0.0026  0.0182  0.0143
 0.23    5  -0.0025  0.0184  0.0143
 0.23    6   0.0083  0.0178  0.0143
 0.23    7  -0.0090  0.0178  0.0143
 0.23    8  -0.0303  0.0179  0.0143
 0.23    9   0.0288  0.0178  0.0143
 0.23   10  -0.0125  0.0177  0.0143
 0.23   11  -0.0263  0.0179  0.0143
 0.23   -1   0.2730  0.0182  0.0143
 0.23   -2  -0.0158  0.0179  0.0143
 0.23   -3   0.0014  0.0179  0.0143
 0.23   -4  -0.0104  0.0177  0.0143
 0.23   -5  -0.0112  0.0177  0.0143
 0.23   -6  -0.0092  0.0180  0.0143
 0.23   -7  -0.0058  0.0182  0.0143
 0.23   -8  -0.0126  0.0181  0.0143
 0.23   -9  -0.0203  0.0178  0.0143
 0.23  -10  -0.0127  0.0178  0.0143
 0.23  -11   0.0243  0.0180  0.0143
 0.23  -12   0.0066  0.0126  0.0143
 0.28    0   0.0131  0.0149  0.0170
 0.28    1  -0.0063  0.0214  0.0170
 0.28    2  -0.0042  0.0215  0.0170
 0.28    3   0.0009  0.0210  0.0170
 0.28    4  -0.0012  0.0213  0.0170
 0.28    5  -0.0009  0.0211  0.0170
 0.28    6   0.0222  0.0211  0.0170
 0.28    7  -0.0024  0.0209  0.0170
 0.28    8  -0.0171  0.0209  0.0170
 0.28    9  -0.0169  0.0215  0.0170
 0.28   10   0.0229  0.0214  0.0170
 0.28   11  -0.0128  0.0204  0.0170
 0.28   -1   0.3201  0.0208  0.0170
 0.28   -2  -0.0379  0.0208  0.0170
 0.28   -3   0.0100  0.0212  0.0170
 0.28   -4   0.0144  0.0213  0.0170
 0.28   -5   0.0136  0.0214  0.0170
 0.28   -6   0.0017  0.0211  0.0170
 0.28   -7  -0.0064  0.0209  0.0170
 0.28   -8  -0.0310  0.0209  0.0170
 0.28   -9  -0.0149  0.0206  0.0170
 0.28  -10  -0.0037  0.0215  0.0170
 0.28  -11   0.0053  0.0211  0.0170
 0.28  -12  -0.0123  0.0149  0.0170
 0.33    0   0.0062  0.0160  0.0170
 0.33    1   0.0182  0.0222  0.0170
 0.33    2  -0.0004  0.0232  0.0170
 0.33    3  -0.0248  0.0225  0.0170
 0.33    4   0.0080  0.0233  0.0170
 0.33    5   0.0156  0.0234  0.0170
 0.33    6   0.0230  0.0235  0.0170
 0.33    7  -0.0172  0.0231  0.0170
 0.33    8  -0.0280  0.0232  0.0170
 0.33    9   0.0009  0.0231  0.0170
 0.33   10  -0.0052  0.0229  0.0170
 0.33   11  -0.0175  0.0239  0.0170
 0.33   -1   0.3190  0.0238  0.0170
 0.33   -2   0.0337  0.0223  0.0170
 0.33   -3   0.0076  0.0234  0.0170
 0.33   -4   0.0638  0.0230  0.0170
 0.33   -5   0.0430  0.0231  0.0170
 0.33   -6  -0.0182  0.0230  0.0170
 0.33   -7  -0.0388  0.0228  0.0170
 0.33   -8  -0.0006  0.0235  0.0170
 0.33   -9   0.0418  0.0237  0.0170
 0.33  -10   0.0039  0.0229  0.0170
 0.33  -11  -0.0249  0.0221  0.0170
 0.33  -12  -0.0110  0.0166  0.0170
