id = 101
editor = KK

# these data are derived from the phi measurement
# of CLAS experiment, with kinematic restrictions by DM


### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.02009
inspiretex = Jo:2015ema
reference2 = FT analysis with MC error propagation by KK


### Scattering Process

frame = BMK

in1particle = em
in1energy = 5.75
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = e
out2particle = p
out3particle = gamma


### Observable 

y1name = XLUw
y1long = Weighted beam spin difference
y1unit = nb/GeV^4
y1value = column4
y1errorstatistic = column5
y1errorsystematic = column6


### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = FTn
x4unit = 1
x4value = -1


### Data
table=
#                              error
#  Q2     xB    tm  XLUw   stat   avgsyst
##############################################################
 1.62  0.185  0.11  0.298  0.036   0.051
 1.63  0.185  0.15  0.206  0.024   0.037
 1.63  0.185  0.20  0.108  0.018   0.028
 1.63  0.185  0.26  0.073  0.012   0.018
 1.63  0.185  0.34  0.048  0.007   0.010
 1.64  0.214  0.11  0.162  0.020   0.026
 1.64  0.214  0.15  0.103  0.013   0.019
 1.64  0.214  0.20  0.048  0.010   0.015
 1.64  0.214  0.26  0.050  0.007   0.010
 1.64  0.214  0.34  0.038  0.006   0.011
 1.88  0.215  0.11  0.174  0.023   0.035
 1.88  0.215  0.15  0.117  0.016   0.023
 1.88  0.215  0.20  0.076  0.013   0.017
 1.88  0.215  0.26  0.052  0.009   0.011
 1.88  0.215  0.34  0.024  0.005   0.007
 1.88  0.215  0.45  0.018  0.003   0.005
 1.79  0.244  0.11  0.089  0.016   0.024
 1.79  0.244  0.15  0.077  0.011   0.020
 1.79  0.244  0.20  0.049  0.008   0.011
 1.79  0.244  0.26  0.034  0.006   0.010
 1.80  0.244  0.34  0.021  0.006   0.013
 2.12  0.244  0.11  0.106  0.017   0.027
 2.12  0.245  0.15  0.042  0.011   0.016
 2.12  0.245  0.20  0.060  0.008   0.012
 2.12  0.245  0.26  0.042  0.006   0.010
 2.12  0.245  0.34  0.022  0.004   0.004
 2.12  0.245  0.45  0.013  0.002   0.004
 1.94  0.274  0.20  0.029  0.007   0.014
 1.94  0.274  0.26  0.020  0.006   0.008
 1.94  0.275  0.34  0.012  0.005   0.005
 2.35  0.275  0.20  0.044  0.006   0.010
 2.35  0.275  0.26  0.031  0.004   0.007
 2.35  0.275  0.34  0.016  0.003   0.005
 2.35  0.275  0.45  0.010  0.002   0.004
 2.10  0.304  0.20  0.020  0.006   0.012
 2.58  0.304  0.20  0.026  0.005   0.006
 2.58  0.305  0.26  0.013  0.003   0.005
 2.58  0.305  0.34  0.012  0.002   0.004
 2.58  0.305  0.45  0.006  0.002   0.003
 2.78  0.335  0.20  0.018  0.005   0.009
 2.78  0.335  0.26  0.013  0.003   0.004
 2.78  0.335  0.34  0.010  0.002   0.003
 2.78  0.335  0.45  0.008  0.001   0.002
 2.97  0.365  0.26  0.014  0.003   0.004
 2.97  0.365  0.34  0.004  0.002   0.003
 2.97  0.365  0.45  0.003  0.001   0.002
 3.18  0.400  0.34  0.004  0.001   0.002
 3.18  0.400  0.45  0.004  0.001   0.001
