id = 55
editor = DM
# Sept. 2010
# XLUw obtained by fit to the first three sin harmonics
# from HALLA data XLU-HALLA-06_DM



### Experiment

collaboration = HALLA
process = ep2epgamma
exptype = fixed target
year = 2006
reference =  nucl-ex/0607029
inspiretex = Camacho:2006qlkIN
reference2 = private tables


### Scattering Process

frame = BMK

in1particle = e-
in1energy = 5.75
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = e-
out2particle = p
out3particle = gamma


### Observable 

y1name = XLUw
y1namelong = weigthed Beam Helicity Dependent Cross Section
# or Beam Spin Difference 
y1unit = nbarn/GeV^4
y1value = column5
y1errorstatistic = column6
# only statistical error was given
# systematic one is cosindered as small


### x-axes

x1name = xB
x1unit = 1 
x1value = column1

x2name = t
x2unit = GeV^2
x2value = column2

x3name = Q2
x3unit = GeV^2
x3value = column3

x4name = FTn
x4unit = 1
x4value = column4


### Data
table = 
#xB     t     Q2  FTn             XLU                   sta
############################################################################
0.36  -0.17  1.5  -1      0.016651152915132843    0.0009465845864092874
0.36  -0.17  1.5  -2     -0.00006776597188144045  0.0009655777601058924
0.36  -0.17  1.5  -3     -0.0014964594766223246   0.0009411611284841125 
0.36  -0.23  1.5  -1      0.01390138244675385     0.0012491883654077761
0.36  -0.23  1.5  -2     -0.0006198779981754724   0.001265834680070792
0.36  -0.23  1.5  -3     -0.001964756217808306    0.0011832252886029425
0.36  -0.28  1.5  -1      0.014495106493070677    0.0016119469368109734
0.36  -0.28  1.5  -2      0.0020907831121584185   0.0016629727050452505
0.36  -0.28  1.5  -3     -0.00026606049829213643  0.0014370070231130732
0.36  -0.33  1.5  -1      0.013214159824299519    0.0016712723529512697
0.36  -0.33  1.5  -2      0.0024454987111129298   0.0017484780099849325
0.36  -0.33  1.5  -3     -0.000773635412696427    0.001460122247444515
0.36  -0.17  1.9  -1      0.012475597636188265    0.0007312849802263005
0.36  -0.17  1.9  -2      0.0005678705870431903   0.0007292797417743042
0.36  -0.17  1.9  -3     -0.001093817342423756    0.0007178564036310762
0.36  -0.23  1.9  -1      0.014670483640271157    0.0009801861226894088
0.36  -0.23  1.9  -2     -0.0010310587067576915   0.000978433314454024
0.36  -0.23  1.9  -3     -0.0008427938137068118   0.0009466336802491488
0.36  -0.28  1.9  -1      0.01321950075163292     0.0009898776093034672
0.36  -0.28  1.9  -2      0.0034115638413494552   0.0010011435504427377
0.36  -0.28  1.9  -3      0.0018090812281409926   0.0008794389841815473
0.36  -0.33  1.9  -1      0.010471428233856148    0.0008592295342671798
0.36  -0.33  1.9  -2      0.00020807614507692553  0.000840291468271205
0.36  -0.33  1.9  -3     -0.0002889975618700374   0.0008029433971053792
0.36  -0.17  2.3  -1      0.010161444752522506    0.0007571503082173045
0.36  -0.17  2.3  -2      0.0002871312372186227   0.0007541030035936499
0.36  -0.17  2.3  -3     -0.0004829794368855145   0.0007375721984858741
0.36  -0.23  2.3  -1      0.013710103953521935    0.0009863299499340108
0.36  -0.23  2.3  -2      0.00005688786744028534  0.0009957227716117375
0.36  -0.23  2.3  -3      0.0008025590061289264   0.0009317430744570507
0.36  -0.28  2.3  -1      0.01275669836304472     0.0006858623405043915
0.36  -0.28  2.3  -2      0.00030074740910014615  0.0006985248252861345
0.36  -0.28  2.3  -3     -0.000016347466902669147 0.000613162228445117
0.36  -0.33  2.3  -1      0.010326821309763945    0.0010967987415724972
0.36  -0.33  2.3  -2      0.0036445642213004522   0.0011501056568519316
0.36  -0.33  2.3  -3      0.0005792733492026572   0.0008993456259131306
