id = 144
editor = MC



### Experiment

collaboration = HALLA
process = ep2epgamma
exptype = fixed target
year = 2018
#reference = 
inspiretex = Georges:2018kyi
reference2 = FT analysis with MC error propagation by MC


### Scattering Process


frame = BMK

in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = e
out2particle = p
out3particle = gamma



### Observable 

y1name = XLUw
y1long = Weighted beam spin difference
y1unit = nb/GeV^4
y1value = column5
y1errorstatistic = column6
#y1errorsystematic = column6


### x-axes

x1name = in1energy
x1unit = GeV
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = xB
x3unit = 1
x3value = column3

x4name = t
x4unit = GeV^2
x4value = column4

x5name = FTn
x5unit = 1
x5value = -1

###Data

#     E    Q2     xB       t     FTval     FTerr
################################################
  7.383  3.17  0.363 -0.2108  0.006544  0.000397
  7.383  3.17  0.363 -0.2966 -0.015511  0.172408
  7.383  3.18  0.365 -0.3849  0.003731  0.000272
  7.383  3.18  0.365 -0.4709  0.002817  0.000266
  7.383  3.18  0.364 -0.5858  0.001876  0.000226
  8.521  3.65  0.367 -0.2046  0.038243  0.036657
  8.521  3.65  0.367 -0.2658  0.003787  0.000209
  8.521  3.67  0.369 -0.3303 -0.408537  0.280791
  8.521  3.68  0.370 -0.3925 -0.456812  0.281226
  8.521  3.68  0.370 -0.4805  0.001840  0.000128
 10.591  4.53  0.369 -0.2094 -0.316366  0.203662
 10.591  4.55  0.370 -0.2719  0.002232  0.000152
 10.591  4.57  0.372 -0.3356  0.001505  0.000127
 10.591  4.58  0.373 -0.3988  0.756575  0.513144
 10.591  4.57  0.371 -0.4834  0.314155  0.288113
  4.487  2.71  0.483 -0.3481 -0.245205  0.476140
  4.487  2.71  0.483 -0.3906 -0.697240  0.452639
  4.487  2.71  0.484 -0.4350  0.036618  0.092739
  4.487  2.71  0.485 -0.4797  0.096977  0.055355
  4.487  2.72  0.485 -0.5399  0.003080  0.000802
  8.851  4.50  0.497 -0.4098 -0.287771  0.486294
  8.851  4.53  0.501 -0.4796  0.681369  0.446340
  8.851  4.56  0.504 -0.5475  0.904025  0.439254
  8.851  4.57  0.506 -0.6138  0.175792  0.541168
  8.851  4.59  0.508 -0.7073 -0.116368  0.122275
  8.847  5.33  0.482 -0.3854  0.130761  0.344194
  8.847  5.34  0.483 -0.4456 -0.023735  0.490477
  8.847  5.36  0.485 -0.5085  0.875781  0.673788
  8.847  5.37  0.486 -0.5696 -0.309143  0.444918
  8.847  5.38  0.486 -0.6547 -1.152155  0.919109
 10.992  7.04  0.494 -0.4325  1.069090  1.080716
 10.992  7.09  0.498 -0.5256  0.847393  2.246657
 10.992  7.12  0.499 -0.6129  0.872223  2.198525
 10.992  7.11  0.499 -0.6979 -0.920242  2.100777
 10.992  7.10  0.498 -0.8556  3.422411  1.532242
  8.521  5.60  0.610 -0.7645  4.265341  1.460710
  8.521  5.62  0.612 -0.9042  4.753566  1.392465
  8.521  5.64  0.615 -1.0482  4.804349  1.478132
  8.521  5.65  0.617 -1.1896  5.636187  1.517474
  8.521  5.66  0.616 -1.3732  4.901826  1.537364
 10.591  8.44  0.608 -0.7911  4.766698  1.468799
 10.591  8.45  0.609 -0.9120  5.339215  1.510452
 10.591  8.48  0.611 -1.0371  5.057827  1.518777
 10.591  8.50  0.613 -1.1631  4.648009  1.555312
 10.591  8.51  0.613 -1.3282  2.866532  1.568623
