id = 100
editor = DM
# data restricted to DVCS kinematics Q2> 1.5 GeV^2 and -t/Q2 < 0.25
# only data are taken where 18 bins and more are filled

### Experiment E145M1

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.02009
inspiretex = Jo:2015ema
reference2 = CLAS data base E145M1, restricted kinematics

### Scattering Process

frame = Trento

in1energy = 5.75
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XUU


y1name = XUU
y1namelong = Beam Helicity Independent Cross Section
y1unit = nb/GeV^4
y1value = column5
y1errorstatistic = column6
y1errorsystematic = column7



### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi 
x4unit = deg
x4value = column4

### Data
#
# CLAS 2015 XUU
#
#xB Q2 -t phi XUU stat syst
###########################################################
table =
0.185   1.62    0.11    9.53    0   0   0
0.185   1.62    0.11    24.88   0   0   0
0.185   1.62    0.11    39.26   0   0   0
0.185   1.62    0.11    53.14   3.7708  0.2027  0.5716
0.185   1.62    0.11    67.5    2.3755  0.1446  0.1938
0.185   1.62    0.11    82.13   1.8423  0.1054  0.1061
0.185   1.62    0.11    97.18   1.2852  0.0844  0.0889
0.185   1.62    0.11    112.23  1.2341  0.0953  0.0736
0.185   1.62    0.11    127.28  0.8795  0.0849  0.0655
0.185   1.62    0.11    142.34  0.7647  0.0671  0.1418
0.185   1.62    0.11    157.4   0.6723  0.0587  0.0705
0.185   1.62    0.11    172.47  0.6959  0.073   0.05
0.185   1.62    0.11    187.53  0.6105  0.0661  0.0458
0.185   1.62    0.11    202.6   0.6912  0.0593  0.0494
0.185   1.62    0.11    217.66  0.695   0.0663  0.1074
0.185   1.62    0.11    232.72  0.8301  0.0819  0.0778
0.185   1.62    0.11    247.77  0.8488  0.0722  0.0745
0.185   1.62    0.11    262.82  1.2863  0.0836  0.1292
0.185   1.62    0.11    277.87  1.7058  0.1097  0.1195
0.185   1.62    0.11    292.5   2.3967  0.1439  0.1736
0.185   1.62    0.11    306.86  3.4011  0.1689  0.2972
0.185   1.62    0.11    320.74  0   0   0
0.185   1.62    0.11    335.12  0   0   0
0.185   1.62    0.11    350.47  0   0   0
0.185   1.63    0.15    7.5 0   0   0
0.185   1.63    0.15    29.3    0   0   0
0.185   1.63    0.15    41.34   0   0   0
0.185   1.63    0.15    53.57   2.3669  0.1255  0.2174
0.185   1.63    0.15    67.33   1.5129  0.0864  0.1399
0.185   1.63    0.15    82.07   1.2012  0.0695  0.139
0.185   1.63    0.15    97.14   1.0314  0.0607  0.0678
0.185   1.63    0.15    112.21  0.7139  0.0568  0.105
0.185   1.63    0.15    127.27  0.5926  0.0567  0.0808
0.185   1.63    0.15    142.33  0.432   0.0402  0.0292
0.185   1.63    0.15    157.4   0.4437  0.0395  0.0652
0.185   1.63    0.15    172.47  0.4609  0.0466  0.0614
0.185   1.63    0.15    187.53  0.4094  0.0462  0.0348
0.185   1.63    0.15    202.6   0.4275  0.04    0.0392
0.185   1.63    0.15    217.67  0.5081  0.0459  0.0629
0.185   1.63    0.15    232.73  0.5089  0.0519  0.0353
0.185   1.63    0.15    247.79  0.8021  0.0621  0.0959
0.185   1.63    0.15    262.86  0.789   0.0528  0.0662
0.185   1.63    0.15    277.93  0.9986  0.0628  0.0685
0.185   1.63    0.15    292.67  1.7187  0.0922  0.1489
0.185   1.63    0.15    306.43  2.3761  0.1201  0.1661
0.185   1.63    0.15    318.66  0   0   0
0.185   1.63    0.15    330.7   0   0   0
0.185   1.63    0.15    352.5   0   0   0
0.185   1.63    0.2 7.5 0   0   0
0.185   1.63    0.2 22.5    0   0   0
0.185   1.63    0.2 42.9    0   0   0
0.185   1.63    0.2 54.03   1.8659  0.1077  0.1362
0.185   1.63    0.2 67.05   1.0312  0.0659  0.0704
0.185   1.63    0.2 82.04   0.7685  0.0537  0.0655
0.185   1.63    0.2 97.12   0.5843  0.0429  0.0891
0.185   1.63    0.2 112.19  0.4091  0.0381  0.036
0.185   1.63    0.2 127.26  0.3332  0.0397  0.0477
0.185   1.63    0.2 142.33  0.2874  0.0338  0.0283
0.185   1.63    0.2 157.4   0.2216  0.0258  0.0211
0.185   1.63    0.2 172.47  0.2159  0.0297  0.0265
0.185   1.63    0.2 187.53  0.2606  0.0348  0.03
0.185   1.63    0.2 202.6   0.2588  0.0306  0.0201
0.185   1.63    0.2 217.67  0.3185  0.0328  0.0316
0.185   1.63    0.2 232.74  0.3805  0.0426  0.0263
0.185   1.63    0.2 247.81  0.4863  0.0476  0.0324
0.185   1.63    0.2 262.88  0.5579  0.0425  0.0454
0.185   1.63    0.2 277.96  0.7526  0.0515  0.0563
0.185   1.63    0.2 292.95  1.1869  0.0735  0.1079
0.185   1.63    0.2 305.97  1.4957  0.0974  0.1252
0.185   1.63    0.2 317.1       0   0   0
0.185   1.63    0.2 337.5       0   0   0
0.185   1.63    0.2 352.5       0   0   0
0.185   1.63    0.26    7.5     0   0   0
0.185   1.63    0.26    22.5    0   0   0
0.185   1.63    0.26    43.19   0   0   0
0.185   1.63    0.26    53.76   1.2772  0.0697  0.0863
0.185   1.63    0.26    66.9    0.8127  0.0498  0.085
0.185   1.63    0.26    82.01   0.4741  0.0362  0.0598
0.185   1.63    0.26    97.1    0.3527  0.0272  0.0256
0.185   1.63    0.26    112.18  0.2737  0.0252  0.0228
0.185   1.63    0.26    127.25  0.2639  0.0287  0.0277
0.185   1.63    0.26    142.32  0.1949  0.0232  0.025
0.185   1.63    0.26    157.4   0.215   0.022   0.0215
0.185   1.63    0.26    172.47  0.183   0.0228  0.0197
