id = 34
editor = KK
editor2 = DM
# Feb. 2010
# modified naming scheme
editor3 = DM
# 03/24/2010
# systematic (normalization) errors added
editor4 = DM
# 05/01/2015
# bug in adding systematic (normalization) errors fixed
# now 5.6% relative error are added according to publication


### Experiment

collaboration = HALLA
process = ep2epgamma
exptype = fixed target
year = 2006
reference =  nucl-ex/0607029
inspiretex = Camacho:2006qlkIN
reference2 = private tables


### Scattering Process

frame = Trento

in1particle = e-
in1energy = 5.75
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = e-
out2particle = p
out3particle = gamma


### Observable 

y1name = XUU
y1namelong = Beam Helicity Independent Cross Section
# or Beam spin sum
y1unit = nb/GeV^4
y1value = column3
y1errorstatistic = column4
# only statistic error was given
# systematic error according to publication is 5.6%
y1errornormalization = 0.056
# and then column5 below is NOT used at all (kept for now in this file)
# y1errorsystematic = column5


### x-axes

x1name = xB
x1unit = 1 
x1value = 0.36

x2name = t
x2unit = GeV^2
x2value = column1

x3name = Q2
x3unit = GeV^2
x3value = 2.3

x4name = phi
x4unit = degree
x4value = column2


### Data 
table = 
# t      phi        XUU        sta         sys
###########################################################
-0.17   7.5     0.0907029   0.00274594  0.00507936
-0.17   22.5    0.0928639   0.00281678  0.00520038
-0.17   37.5    0.0888568   0.00277485  0.00497598
-0.17   52.5    0.0811857   0.00271066  0.0045464
-0.17   67.5    0.0722848   0.00260009  0.00404795
-0.17   82.5    0.0667501   0.00253746  0.00373801
-0.17   97.5    0.0593614   0.0024848   0.00332424
-0.17   112.5   0.0604322   0.00253641  0.0033842
-0.17   127.5   0.0545076   0.00247779  0.00305243
-0.17   142.5   0.0524601   0.00244324  0.00293777
-0.17   157.5   0.047975    0.00235452  0.0026866
-0.17   172.5   0.0503381   0.00243098  0.00281893
-0.17   187.5   0.0462495   0.00232313  0.00258997
-0.17   202.5   0.0493413   0.00240849  0.00276311
-0.17   217.5   0.0555113   0.00248763  0.00310863
-0.17   232.5   0.0574792   0.00251968  0.00321884
-0.17   247.5   0.0597006   0.00254152  0.00334323
-0.17   262.5   0.0668126   0.00260838  0.00374151
-0.17   277.5   0.0713679   0.00266548  0.0039966
-0.17   292.5   0.0763438   0.00268427  0.00427525
-0.17   307.5   0.0810639   0.00271088  0.00453958
-0.17   322.5   0.0888858   0.00278655  0.0049776
-0.17   337.5   0.0854426   0.00269929  0.00478479
-0.17   352.5   0.0864626   0.00270623  0.00484191
-0.23   7.5     0.0976179   0.00339291  0.0054666
-0.23   22.5    0.0984712   0.00332723  0.00551439
-0.23   37.5    0.0827376   0.00304711  0.00463331
-0.23   52.5    0.0751522   0.00283342  0.00420852
-0.23   67.5    0.0621405   0.00260604  0.00347987
-0.23   82.5    0.0561458   0.00246508  0.00314416
-0.23   97.5    0.0513424   0.00235577  0.00287517
-0.23   112.5   0.0430226   0.00216261  0.00240927
