id = 112
editor = DM

### Experiment E110

collaboration = HALLA
experiment = E110
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.05453
inspiretex = Defurne:2015kxq
reference2 = KinX2, Table XII

### Scattering Process

frame = Trento

in1energy = 5.7572
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XUU


y1name = XUU
y1namelong = Beam Helicity Independent Cross Section
y1unit = pb/GeV^4
y1value = column5
y1errorstatistic = column6
# unsymmetric systematic errors 
#sysm (sysp) gives the negative (positive) value 
y1errorsystematicminus = column7
y1errorsystematicplus = column8
y1errornormalization = 0.028



### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi 
x4unit = deg
x4value = column4

### Data
#
# CLAS 2015 XUU
#
#xB Q2 -t phi XUU stat systm systp
###########################################################
table =
0.378   2.012   0.192   7.5 64. 6.3 0.9 1.1
0.378   2.012   0.192   22.5    68.2    6.2 2.  1.8
0.378   2.012   0.192   37.5    52.8    5.6 4.6 0.
0.378   2.012   0.192   52.5    52.4    5.8 2.8 0.6
0.378   2.012   0.192   67.5    53. 5.4 0.5 1.3
0.378   2.012   0.192   82.5    47.3    5.1 0.  2.3
0.378   2.012   0.192   97.5    48.2    4.9 0.  3.3
0.378   2.012   0.192   112.5   46.9    4.7 1.3 4.8
0.378   2.012   0.192   127.5   45.8    4.6 1.5 0.
0.378   2.012   0.192   142.5   36.5    4.2 0.  1.
0.378   2.012   0.192   157.5   33.2    4.  1.3 0.7
0.378   2.012   0.192   172.5   36.3    4.1 3.1 0.
0.378   2.012   0.192   187.5   35.6    4.1 0.8 0.3
0.378   2.012   0.192   202.5   37.7    4.3 4.5 0.
0.378   2.012   0.192   217.5   43.6    4.5 1.  1.1
0.378   2.012   0.192   232.5   38.1    4.4 3.5 0.
0.378   2.012   0.192   247.5   37.7    4.3 1.8 0.9
0.378   2.012   0.192   262.5   43.4    4.6 8.3 0.
0.378   2.012   0.192   277.5   44.1    4.9 0.8 1.
0.378   2.012   0.192   292.5   50.5    5.3 0.  2.3
0.378   2.012   0.192   307.5   57.7    5.8 3.4 0.3
0.378   2.012   0.192   322.5   62.1    5.9 0.9 0.9
0.378   2.012   0.192   337.5   62.3    5.9 0.  1.5
0.378   2.012   0.192   352.5   65.4    6.  1.5 0.
0.392   2.054   0.233   7.5 57. 3.8 1.2 0.1
0.392   2.054   0.233   22.5    55.1    3.6 2.5 0.
0.392   2.054   0.233   37.5    48.2    3.3 1.3 0.5
0.392   2.054   0.233   52.5    51.4    3.3 0.1 3.3
0.392   2.054   0.233   67.5    42. 3.  3.  0.
0.392   2.054   0.233   82.5    41.4    2.9 3.  0.
0.392   2.054   0.233   97.5    32.8    2.7 2.6 0.3
0.392   2.054   0.233   112.5   33.9    2.6 2.9 0.
0.392   2.054   0.233   127.5   28. 2.3 2.3 0.
0.392   2.054   0.233   142.5   27.3    2.3 1.  0.
0.392   2.054   0.233   157.5   27.6    2.2 1.7 0.
0.392   2.054   0.233   172.5   26.7    2.2 0.3 1.6
0.392   2.054   0.233   187.5   26.6    2.2 1.  0.2
0.392   2.054   0.233   202.5   30.9    2.3 0.  1.3
0.392   2.054   0.233   217.5   28.3    2.3 0.  0.8
0.392   2.054   0.233   232.5   25.6    2.3 1.5 0.
0.392   2.054   0.233   247.5   30.5    2.5 0.  1.7
0.392   2.054   0.233   262.5   34.3    2.7 1.1 0.7
0.392   2.054   0.233   277.5   34.5    2.8 0.9 0.
0.392   2.054   0.233   292.5   41.8    3.  0.6 0.2
0.392   2.054   0.233   307.5   43.2    3.2 3.8 0.
0.392   2.054   0.233   322.5   53.2    3.5 2.5 0.
0.392   2.054   0.233   337.5   53.2    3.5 0.3 2.3
0.392   2.054   0.233   352.5   55.5    3.7 1.5 0.
0.398   2.074   0.279   7.5     56.3    4.4 1.7 1.4
0.398   2.074   0.279   22.5    45.2    3.8 0.9 0.1
0.398   2.074   0.279   37.5    44.9    3.5 0.5 1.4
0.398   2.074   0.279   52.5    41.2    3.4 4.4 0.
0.398   2.074   0.279   67.5    34.6    3.  1.5 0.
0.398   2.074   0.279   82.5    30.9    2.9 0.  3.3
0.398   2.074   0.279   97.5    30.5    2.7 2.  0.5
0.398   2.074   0.279   112.5   28.9    2.5 1.2 0.
0.398   2.074   0.279   127.5   23.1    2.2 3.4 0.
0.398   2.074   0.279   142.5   23.2    2.2 1.4 0.
0.398   2.074   0.279   157.5   25.4    2.3 2.8 0.
0.398   2.074   0.279   172.5   24.2    2.2 2.3 0.
0.398   2.074   0.279   187.5   22.4    2.1 0.9 0.
0.398   2.074   0.279   202.5   20.4    2.  1.1 0.
0.398   2.074   0.279   217.5   29.1    2.4 5.  0.
