id = 113
editor = DM

### Experiment E110

collaboration = HALLA
experiment = E110
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.05453
inspiretex = Defurne:2015kxq
reference2 = KinX3, Table XIII

### Scattering Process

frame = Trento

in1energy = 5.7572
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XUU


y1name = XUU
y1namelong = Beam Helicity Independent Cross Section
y1unit = pb/GeV^4
y1value = column5
y1errorstatistic = column6
# unsymmetric systematic errors 
#sysm (sysp) gives the negative (positive) value 
y1errorsystematicminus = column7
y1errorsystematicplus = column8
y1errornormalization = 0.028



### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi 
x4unit = deg
x4value = column4

### Data
#
# CLAS 2015 XUU
#
#xB       Q2     -t     phi     XUU   stat systm systp
###########################################################
table =
0.336   2.161   0.171   7.5 120.7   4.7 0.4 0.9
0.336   2.161   0.171   22.5    132.5   4.9 0.  3.7
0.336   2.161   0.171   37.5    118.7   4.5 0.  2.8
0.336   2.161   0.171   52.5    99.8    4.1 1.9 1.3
0.336   2.161   0.171   67.5    88.4    3.8 5.5 0.
0.336   2.161   0.171   82.5    81.4    3.6 0.7 0.5
0.336   2.161   0.171   97.5    62.7    3.1 0.8 1.5
0.336   2.161   0.171   112.5   61.3    3.  1.5 0.6
0.336   2.161   0.171   127.5   58.1    3.  1.9 0.5
0.336   2.161   0.171   142.5   52.9    2.7 0.  2.8
0.336   2.161   0.171   157.5   43.9    2.6 0.8 0.2
0.336   2.161   0.171   172.5   45.4    2.5 1.2 0.
0.336   2.161   0.171   187.5   41.     2.4 0.1 0.9
0.336   2.161   0.171   202.5   44.2    2.5 0.9 0.9
0.336   2.161   0.171   217.5   51.6    2.7 0.8 0.8
0.336   2.161   0.171   232.5   57.7    2.9 0.8 0.6
0.336   2.161   0.171   247.5   56.9    2.9 2.3 0.1
0.336   2.161   0.171   262.5   69.3    3.2 3.7 0.
