id = 107
editor = DM

### Experiment E110

collaboration = HALLA
experiment = E110
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.05453
inspiretex = Defurne:2015kxq
reference2 = Kin2, Table VII

### Scattering Process

frame = Trento

in1energy = 5.7572
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XUU


y1name = XUU
y1namelong = Beam Helicity Independent Cross Section
y1unit = pb/GeV^4
y1value = column5
y1errorstatistic = column6
# unsymmetric systematic errors 
#sysm (sysp) gives the negative (positive) value 
y1errorsystematicminus = column7
y1errorsystematicplus = column8
y1errornormalization = 0.028



### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi 
x4unit = deg
x4value = column4

### Data
#
# CLAS 2015 XUU
#
#xB Q2 -t phi XUU stat systm systp
###########################################################
table =
0.343   1.820   0.172   7.5     111.6   4.1 0.  2.3
0.343   1.820   0.172   22.5    117.6   3.9 0.3 0.7
0.343   1.820   0.172   37.5    99.8    3.5 0.5 0.3
0.343   1.820   0.172   52.5    94.1    3.3 3.4 0.
0.343   1.820   0.172   67.5    88.2    3.  2.1 0.
0.343   1.820   0.172   82.5    78.7    2.8 0.4 0.4
0.343   1.820   0.172   97.5    67.2    2.6 0.  3.6
0.343   1.820   0.172   112.5   60.8    2.4 1.3 0.5
0.343   1.820   0.172   127.5   57.5    2.3 2.3 0.
0.343   1.820   0.172   142.5   50.1    2.1 0.8 0.2
0.343   1.820   0.172   157.5   49.9    2.1 0.9 0.
0.343   1.820   0.172   172.5   48.1    2.  2.  0.
0.343   1.820   0.172   187.5   48.3    2.  1.5 0.
0.343   1.820   0.172   202.5   53.2    2.1 1.6 0.
0.343   1.820   0.172   217.5   52.7    2.2 0.7 0.
0.343   1.820   0.172   232.5   55.2    2.2 3.4 0.
0.343   1.820   0.172   247.5   58.5    2.3 0.9 0.2
0.343   1.820   0.172   262.5   63.1    2.4 2.8 0.
0.343   1.820   0.172   277.5   74.2    2.7 0.7 0.8
0.343   1.820   0.172   292.5   81.8    2.9 2.1 0.3
0.343   1.820   0.172   307.5   96.7    3.2 1.8 0.
0.343   1.820   0.172   322.5   105.6   3.5 1.2 0.
0.343   1.820   0.172   337.5   108.6   3.8 1.5 1.5
0.343   1.820   0.172   352.5   113.6   4.  0.  2.9
0.368   1.933   0.232   7.5     76.9    4.2 1.1 0.
0.368   1.933   0.232   22.5    68.6    3.7 2.8 0.
0.368   1.933   0.232   37.5    61.7    3.2 2.6 0.
0.368   1.933   0.232   52.5    66.9    3.  1.2 0.
0.368   1.933   0.232   67.5    55.5    2.7 2.  0.
0.368   1.933   0.232   82.5    46.1    2.4 0.9 0.1
0.368   1.933   0.232   97.5    40.1    2.1 1.4 0.1
0.368   1.933   0.232   112.5   37.7    2.  3.1 0.
0.368   1.933   0.232   127.5   34. 1.8 2.2 0.
0.368   1.933   0.232   142.5   33.9    1.7 0.9 0.
0.368   1.933   0.232   157.5   34.6    1.7 0.5 0.2
0.368   1.933   0.232   172.5   30.7    1.6 0.3 0.9
0.368   1.933   0.232   187.5   31.5    1.6 1.6 0.
0.368   1.933   0.232   202.5   35.7    1.7 0.  1.2
0.368   1.933   0.232   217.5   33.3    1.7 0.  0.6
0.368   1.933   0.232   232.5   33.7    1.8 1.1 0.2
0.368   1.933   0.232   247.5   37.7    2.  1.3 0.
0.368   1.933   0.232   262.5   40.4    2.1 1.7 0.
0.368   1.933   0.232   277.5   42.9    2.3 0.7 0.2
0.368   1.933   0.232   292.5   52.8    2.6 1.2 0.6
0.368   1.933   0.232   307.5   59.3    2.8 2.6 0.
0.368   1.933   0.232   322.5   62. 3.2 1.9 0.
0.368   1.933   0.232   337.5   73.3    3.8 0.  4.1
0.368   1.933   0.232   352.5   76.8    4.2 1.1 0.
0.375   1.964   0.278   7.5     75.2    5.6 1.7 2.2
0.375   1.964   0.278   22.5    59.7    4.5 0.6 1.4
0.375   1.964   0.278   37.5    57.9    3.8 1.5 0.9
0.375   1.964   0.278   52.5    50.4    3.2 4.2 0.
0.375   1.964   0.278   67.5    40. 2.8 1.1 0.2
0.375   1.964   0.278   82.5    36.1    2.5 0.  1.3
0.375   1.964   0.278   97.5    35.2    2.2 1.8 0.6
0.375   1.964   0.278   112.5   33. 2.1 1.4 0.
0.375   1.964   0.278   127.5   29.3    1.8 3.  0.1
0.375   1.964   0.278   142.5   28. 1.7 1.4 0.
0.375   1.964   0.278   157.5   26.3    1.7 2.8 0.
0.375   1.964   0.278   172.5   26.8    1.7 0.7 0.
0.375   1.964   0.278   187.5   26.6    1.7 0.6 0.2
0.375   1.964   0.278   202.5   24.7    1.6 1.5 0.
