id = 108
editor = DM

### Experiment E110

collaboration = HALLA
experiment = E110
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.05453
inspiretex = Defurne:2015kxq
reference2 = Kin3, Table VIII

### Scattering Process

frame = Trento

in1energy = 5.7572
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XUU


y1name = XUU
y1namelong = Beam Helicity Independent Cross Section
y1unit = pb/GeV^4
y1value = column5
y1errorstatistic = column6
# unsymmetric systematic errors 
#sysm (sysp) gives the negative (positive) value 
y1errorsystematicminus = column7
y1errorsystematicplus = column8
y1errornormalization = 0.028



### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi 
x4unit = deg
x4value = column4

### Data
#
# CLAS 2015 XUU
#
#xB       Q2     -t     phi     XUU   stat systm systp
###########################################################
table =
0.345   2.218   0.176   7.5     104.3   3.6 0.2 1.1
0.345   2.218   0.176   22.5    108.6   3.6 0.9 1.6
0.345   2.218   0.176   37.5    100.3   3.4 0.  2.6
0.345   2.218   0.176   52.5    91.2    3.2 1.  1.5
0.345   2.218   0.176   67.5    76.8    2.9 3.1 0.
0.345   2.218   0.176   82.5    73.     2.8 0.6 0.4
0.345   2.218   0.176   97.5    56.5    2.5 0.7 0.4
0.345   2.218   0.176   112.5   55.7    2.3 1.2 0.6
0.345   2.218   0.176   127.5   49.     2.2 1.1 0.4
0.345   2.218   0.176   142.5   47.     2.1 0.  1.4
0.345   2.218   0.176   157.5   41.1    2.  1.4 0.1
0.345   2.218   0.176   172.5   41.6    2.  0.9 0.
0.345   2.218   0.176   187.5   38.5    1.9 1.1 0.
0.345   2.218   0.176   202.5   41.1    1.9 1.1 0.4
0.345   2.218   0.176   217.5   45.3    2.1 0.6 0.3
0.345   2.218   0.176   232.5   51.3    2.2 0.9 0.
0.345   2.218   0.176   247.5   53.3    2.3 1.6 0.
0.345   2.218   0.176   262.5   62.2    2.5 3.2 0.
0.345   2.218   0.176   277.5   70.     2.7 1.  0.4
0.345   2.218   0.176   292.5   80.1    2.9 0.  2.3
0.345   2.218   0.176   307.5   87.4    3.1 0.  4.3
0.345   2.218   0.176   322.5   97.4    3.3 1.8 0.
0.345   2.218   0.176   337.5   99.2    3.5 0.  2.7
0.345   2.218   0.176   352.5   98.6    3.6 0.  1.7
0.363   2.318   0.232   7.5     80.3    3.5 1.1 0.
0.363   2.318   0.232   22.5    80.6    3.3 0.  3.6
0.363   2.318   0.232   37.5    70.5    3.  1.8 0.1
0.363   2.318   0.232   52.5    60.4    2.7 1.3 0.5
0.363   2.318   0.232   67.5    51.3    2.4 0.4 0.6
0.363   2.318   0.232   82.5    46.3    2.2 0.1 1.1
0.363   2.318   0.232   97.5    42.6    2.  0.7 0.5
0.363   2.318   0.232   112.5   35.3    1.8 0.3 0.8
0.363   2.318   0.232   127.5   34.8    1.7 1.5 0.
0.363   2.318   0.232   142.5   28.4    1.6 0.5 0.1
0.363   2.318   0.232   157.5   30.9    1.6 0.9 0.1
0.363   2.318   0.232   172.5   25.7    1.5 0.6 0.1
0.363   2.318   0.232   187.5   27.7    1.5 0.9 0.
0.363   2.318   0.232   202.5   29.7    1.6 0.6 0.1
0.363   2.318   0.232   217.5   31.4    1.6 0.6 0.1
0.363   2.318   0.232   232.5   34.4    1.7 0.6 0.3
0.363   2.318   0.232   247.5   35.8    1.8 0.3 0.5
0.363   2.318   0.232   262.5   42.4    2.  1.1 0.1
0.363   2.318   0.232   277.5   43.9    2.1 1.6 0.
0.363   2.318   0.232   292.5   54.6    2.3 0.6 1.
0.363   2.318   0.232   307.5   63.3    2.6 3.3 0.
0.363   2.318   0.232   322.5   66.8    2.9 3.3 0.
0.363   2.318   0.232   337.5   75.2    3.3 2.2 0.
0.363   2.318   0.232   352.5   77.3    3.5 4.7 0.
0.368   2.348   0.279   7.5     66.6    4.2 0.  3.1
0.368   2.348   0.279   22.5    71.9    4.  0.6 2.6
0.368   2.348   0.279   37.5    58.     3.2 5.8 0.
0.368   2.348   0.279   52.5    48.2    2.8 0.7 0.2
0.368   2.348   0.279   67.5    42.2    2.4 2.5 0.2
0.368   2.348   0.279   82.5    39.4    2.2 3.  0.
0.368   2.348   0.279   97.5    29.5    1.9 0.2 2.1
0.368   2.348   0.279   112.5   28.7    1.7 0.8 0.
0.368   2.348   0.279   127.5   23.8    1.5 0.9 0.
0.368   2.348   0.279   142.5   24.8    1.5 0.6 0.
0.368   2.348   0.279   157.5   25.7    1.6 1.4 0.
0.368   2.348   0.279   172.5   25.7    1.6 0.5 0.1
0.368   2.348   0.279   187.5   20.6    1.5 0.6 0.
0.368   2.348   0.279   202.5   20.7    1.5 0.4 0.1
0.368   2.348   0.279   217.5   24.2    1.5 1.5 0.
0.368   2.348   0.279   232.5   28.3    1.6 1.  0.
0.368   2.348   0.279   247.5   27.2    1.7 0.1 1.3
0.368   2.348   0.279   262.5   31.7    1.8 1.  0.1
0.368   2.348   0.279   277.5   35.1    2.  0.3 0.1
0.368   2.348   0.279   292.5   41.8    2.2 0.1 1.2
0.368   2.348   0.279   307.5   51.4    2.7 2.6 0.
0.368   2.348   0.279   322.5   51.4    2.9 4.9 0.
0.368   2.348   0.279   337.5   56.8    3.5 3.2 0.
0.368   2.348   0.279   352.5   60.     4.1 1.1 2.
0.371   2.360   0.325   7.5     64.8    5.8 1.9 0.5
0.371   2.360   0.325   22.5    60.2    4.9 3.9 0.
0.371   2.360   0.325   37.5    42.3    3.4 0.6 0.9
0.371   2.360   0.325   52.5    39.2    3.  0.  3.1
0.371   2.360   0.325   67.5    36.8    2.6 0.  3.
0.371   2.360   0.325   82.5    27.3    2.1 1.  0.
0.371   2.360   0.325   97.5    25.1    1.9 0.8 0.
