id = 131
editor = DM

### Experiment

collaboration = HALLA
experiment = 
process = ep2epgamma
exptype = fixed target
year = 2017
reference = arXiv:1703.09442

### Scattering Process

frame = Trento

in1energy =   5.55
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XUU


y1name = XUU
y1namelong = Beam Spin Sum Cross Section
y1unit = pb/GeV^4
y1value = column5
y1errorstatistic = column6
# unsymmetric systematic errors 
#sysm (sysp) gives the negative (positive) value 
y1errornormalization = 0.037
# normalization  errors are added in quadrature from publication
y1errornormalizationlinear = 0.085
# normalization errors from different sources are added linearly


### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = t
x3unit = GeV^2
x3value = column3

x4name = phi 
x4unit = deg
x4value = column4

### Data
#
# HALL A 2017 XUU
#
#xB       Q2     t     phi     XUU   stat
###########################################################
table = 
0.359 1.74 -0.183 7.5 96.2 3.3
0.359 1.74 -0.183 22.5 89.6 3.2
0.359 1.74 -0.183 37.5 90.2 3.2
0.359 1.74 -0.183 52.5 84.8 3.1
0.359 1.74 -0.183 67.5 73.7 2.9
0.359 1.74 -0.183 82.5 68.1 2.8
0.359 1.74 -0.183 97.5 63.2 2.6
0.359 1.74 -0.183 112.5 57 2.5
0.359 1.74 -0.183 127.5 53.6 2.4
0.359 1.74 -0.183 142.5 50.5 2.
0.359 1.74 -0.183 157.5 50.2 2.3
0.359 1.74 -0.183 172.5 50.8 2.4
0.359 1.74 -0.183 187.5 52.7 2.4
0.359 1.74 -0.183 202.5 51.2 2.4
0.359 1.74 -0.183 217.5 50.9 2.4
0.359 1.74 -0.183 232.5 57.1 2.5
0.359 1.74 -0.183 247.5 60 2.6
0.359 1.74 -0.183 262.5 66.2 2.7
0.359 1.74 -0.183 277.5 72.1 2.9
0.359 1.74 -0.183 292.5 77.3 3.0
0.359 1.74 -0.183 307.5 75.9 3.0
0.359 1.74 -0.183 322.5 88.6 3.1
0.359 1.74 -0.183 337.5 88 3.2
0.359 1.74 -0.183 352.5 94.8 3.3
0.359 1.74 -0.242 7.5 100.9 3.6
0.359 1.74 -0.242 22.5 87.5 3.5
0.359 1.74 -0.242 37.5 87.9 3.4
0.359 1.74 -0.242 52.5 80.2 3.2
0.359 1.74 -0.242 67.5 64.6 2.9
0.359 1.74 -0.242 82.5 58.8 2.8
0.359 1.74 -0.242 97.5 54.6 2.7
0.359 1.74 -0.242 112.5 51.2 2.7
0.359 1.74 -0.242 127.5 47.1 2.6
0.359 1.74 -0.242 142.5 41.2 2.5
0.359 1.74 -0.242 157.5 41.1 2.6
0.359 1.74 -0.242 172.5 43.5 2.7
0.359 1.74 -0.242 187.5 44.8 2.7
0.359 1.74 -0.242 202.5 43.3 2.7
0.359 1.74 -0.242 217.5 46.2 2.7
0.359 1.74 -0.242 232.5 50.1 2.7
0.359 1.74 -0.242 247.5 55.3 2.7
0.359 1.74 -0.242 262.5 56.3 2.8
0.359 1.74 -0.242 277.5 62.2 2.9
0.359 1.74 -0.242 292.5 69.1 3.1
0.359 1.74 -0.242 307.5 80.9 3.2
0.359 1.74 -0.242 322.5 88.2 3.3
0.359 1.74 -0.242 337.5 94.1 3.4
0.359 1.74 -0.242 352.5 97.1 3.5
0.359 1.74 -0.302 7.5 96.7 4.1
0.359 1.74 -0.302 22.5 93.9 3.9
0.359 1.74 -0.302 37.5 73.9 3.5
0.359 1.74 -0.302 52.5 65.1 3.2
0.359 1.74 -0.302 67.5 58.5 3.0
0.359 1.74 -0.302 82.5 58.8 3.0
