id = 132
editor = DM

### Experiment

collaboration = HALLA
experiment = 
process = ep2epgamma
exptype = fixed target
year = 2017
reference = arXiv:1703.09442

### Scattering Process

frame = Trento

in1energy =  4.455
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XUU


y1name = XUU
y1namelong = Beam Spin Sum Cross Section
y1unit = pb/GeV^4
y1value = column5
y1errorstatistic = column6
# unsymmetric systematic errors 
#sysm (sysp) gives the negative (positive) value 
y1errornormalization = 0.037
# normalization  errors are added in quadrature from publication
y1errornormalizationlinear = 0.085
# normalization errors from different sources are added linearly


### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = t
x3unit = GeV^2
x3value = column3

x4name = phi 
x4unit = deg
x4value = column4

### Data
#
# HALL A 2017 XUU
#
#xB       Q2     t     phi     XUU   stat
###########################################################
table = 
0.357 1.74 -0.181 7.5 179.2 7.2
0.357 1.74 -0.181 22.5 162.8 7.0
0.357 1.74 -0.181 37.5 162 6.8
0.357 1.74 -0.181 52.5 144.4 6.3
0.357 1.74 -0.181 67.5 131.5 6.0
0.357 1.74 -0.181 82.5 123.7 5.6
0.357 1.74 -0.181 97.5 96.4 5.1
0.357 1.74 -0.181 112.5 95.2 4.8
0.357 1.74 -0.181 127.5 87.6 4.5
0.357 1.74 -0.181 142.5 80.6 4.3
0.357 1.74 -0.181 157.5 72.6 4.1
0.357 1.74 -0.181 172.5 76 4.2
0.357 1.74 -0.181 187.5 70.8 4.1
0.357 1.74 -0.181 202.5 80.8 4.4
0.357 1.74 -0.181 217.5 83.7 4.5
 0.357 1.74 -0.181 232.5 77.3 4.4
0.357 1.74 -0.181 247.5 94.6 4.8
0.357 1.74 -0.181 262.5 98.4 5.2
0.357 1.74 -0.181 277.5 123.5 5.6
0.357 1.74 -0.181 292.5 129.1 5.9
0.357 1.74 -0.181 307.5 144.6 6.2
0.357 1.74 -0.181 322.5 167.9 6.7
0.357 1.74 -0.181 337.5 173 7.1
0.357 1.74 -0.181 352.5 172.4 7.1
0.357 1.74 -0.24 7.5 189 8.3
0.357 1.74 -0.24 22.5 178.9 8.1
0.357 1.74 -0.24 37.5 167 7.4
0.357 1.74 -0.24 52.5 147 6.7
0.357 1.74 -0.24 67.5 108.3 5.8
0.357 1.74 -0.24 82.5 99.7 5.4
0.357 1.74 -0.24 97.5 83.1 4.9
0.357 1.74 -0.24 112.5 71.6 4.6
0.357 1.74 -0.24 127.5 63.9 4.3
0.357 1.74 -0.24 142.5 52.2 4.0
0.357 1.74 -0.24 157.5 49.8 4.1
0.357 1.74 -0.24 172.5 45.6 4.0
0.357 1.74 -0.24 187.5 56.7 4.2
0.357 1.74 -0.24 202.5 59.4 4.4
0.357 1.74 -0.24 217.5 59.6 4.3
0.357 1.74 -0.24 232.5 59.9 4.4
0.357 1.74 -0.24 247.5 79.2 4.8
0.357 1.74 -0.24 262.5 81 4.9
0.357 1.74 -0.24 277.5 92.4 5.4
0.357 1.74 -0.24 292.5 103.5 5.7
0.357 1.74 -0.24 307.5 134.4 6.5
0.357 1.74 -0.24 322.5 168.3 7.3
0.357 1.74 -0.24 337.5 197.2 8.0
0.357 1.74 -0.24 352.5 204.1 8.4
0.358 1.74 -0.301 7.5 207.8 9.9
0.358 1.74 -0.301 22.5 179.3 9.2
0.358 1.74 -0.301 37.5 130.6 7.5
0.358 1.74 -0.301 52.5 119 6.5
0.358 1.74 -0.301 67.5 92.6 5.5
0.358 1.74 -0.301 82.5 79.3 5.1
0.358 1.74 -0.301 97.5 73.5 4.9
0.358 1.74 -0.301 112.5 50.4 4.4
0.358 1.74 -0.301 127.5 53 4.3
0.358 1.74 -0.301 142.5 43.6 4.1
0.358 1.74 -0.301 157.5 45.4 4.4
0.358 1.74 -0.301 172.5 48.6 4.6
0.358 1.74 -0.301 187.5 45.7 4.6
0.358 1.74 -0.301 202.5 50.3 4.6
0.358 1.74 -0.301 217.5 40.1 4.3
0.358 1.74 -0.301 232.5 45.1 4.2
0.358 1.74 -0.301 247.5 56.8 4.5
0.358 1.74 -0.301 262.5 65.6 4.7
0.358 1.74 -0.301 277.5 74.7 5.1
0.358 1.74 -0.301 292.5 90.6 5.8
0.358 1.74 -0.301 307.5 116.8 6.5
0.358 1.74 -0.301 322.5 143.8 7.6
0.358 1.74 -0.301 337.5 170.8 8.6
0.358 1.74 -0.301 352.5 193.9 9.8
0.361 1.76 -0.363 7.5 187.2 15
0.361 1.76 -0.363 22.5 129.7 11
0.361 1.76 -0.363 37.5 126.5 7.8
0.361 1.76 -0.363 52.5 88.8 5.9
0.361 1.76 -0.363 67.5 70.7 5.2
0.361 1.76 -0.363 82.5 69.1 5.0
0.361 1.76 -0.363 97.5 52.4 4.5
0.361 1.76 -0.363 112.5 42.5 4.1
0.361 1.76 -0.363 127.5 37.4 4
0.361 1.76 -0.363 142.5 36 4.1
0.361 1.76 -0.363 157.5 33.6 4.5
0.361 1.76 -0.363 172.5 43.5 5.2
0.361 1.76 -0.363 187.5 42.9 5.2
0.361 1.76 -0.363 202.5 37.8 4.8
0.361 1.76 -0.363 217.5 41.1 4.5
0.361 1.76 -0.363 232.5 43.9 4.2
0.361 1.76 -0.363 247.5 49.8 4.3
0.361 1.76 -0.363 262.5 57.3 4.7
0.361 1.76 -0.363 277.5 62.5 5.1
0.361 1.76 -0.363 292.5 77.5 5.4
0.361 1.76 -0.363 307.5 86.4 6.0
0.361 1.76 -0.363 322.5 125.3 7.5
0.361 1.76 -0.363 337.5 153.3 10.0
 0.361 1.76 -0.363 352.5 174.3 14




