id = 134
editor = DM

### Experiment

collaboration = HALLA
experiment = 
process = ep2epgamma
exptype = fixed target
year = 2017
reference = arXiv:1703.09442

### Scattering Process

frame = Trento

in1energy =   4.455
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XUU


y1name = XUU
y1namelong = Beam Spin Sum Cross Section
y1unit = pb/GeV^4
y1value = column5
y1errorstatistic = column6
# unsymmetric systematic errors 
#sysm (sysp) gives the negative (positive) value 
y1errornormalization = 0.037
# normalization  errors are added in quadrature from publication
y1errornormalizationlinear = 0.085
# normalization errors from different sources are added linearly


### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = t
x3unit = GeV^2
x3value = column3

x4name = phi 
x4unit = deg
x4value = column4

### Data
#
# HALL A 2017 XUU
#
#xB       Q2     t     phi     XUU   stat
###########################################################
table = 
0.356 1.98 -0.182 7.5 182.4 9.6
0.356 1.98 -0.182 22.5 183.3 9.6
0.356 1.98 -0.182 37.5 160.9 9.0
0.356 1.98 -0.182 52.5 152.8 8.5
0.356 1.98 -0.182 67.5 146.3 8.0
0.356 1.98 -0.182 82.5 120.3 7.2
0.356 1.98 -0.182 97.5 109 6.8
0.356 1.98 -0.182 112.5 83.4 5.9
0.356 1.98 -0.182 127.5 82.4 5.8
0.356 1.98 -0.182 142.5 85.3 5.7
0.356 1.98 -0.182 157.5 73.3 5.4
0.356 1.98 -0.182 172.5 74.8 5.3
0.356 1.98 -0.182 187.5 74.9 5.4
0.356 1.98 -0.182 202.5 73.8 5.3
0.356 1.98 -0.182 217.5 83.6 5.6
0.356 1.98 -0.182 232.5 86.8 5.7
0.356 1.98 -0.182 247.5 84.7 6.0
0.356 1.98 -0.182 262.5 101.6 6.4
0.356 1.98 -0.182 277.5 131.4 7.5
0.356 1.98 -0.182 292.5 147 8.2
0.356 1.98 -0.182 307.5 162.9 8.6
0.356 1.98 -0.182 322.5 169.9 9.1
0.356 1.98 -0.182 337.5 198.1 9.8
0.356 1.98 -0.182 352.5 196.8 9.6
0.357 1.99 -0.242 7.5 246.6 13.0
0.357 1.99 -0.242 22.5 194.8 12.0
0.357 1.99 -0.242 37.5 176.2 10.0
0.357 1.99 -0.242 52.5 135.9 8.5
0.357 1.99 -0.242 67.5 109.4 7.5
0.357 1.99 -0.242 82.5 97.4 7.0
0.357 1.99 -0.242 97.5 77.1 6.0
0.357 1.99 -0.242 112.5 67.5 5.7
0.357 1.99 -0.242 127.5 65.6 5.4
0.357 1.99 -0.242 142.5 47.3 4.8
0.357 1.99 -0.242 157.5 46.3 4.7
0.357 1.99 -0.242 172.5 52.1 4.8
0.357 1.99 -0.242 187.5 52.2 4.9
0.357 1.99 -0.242 202.5 39.5 4.5
0.357 1.99 -0.242 217.5 53.8 5.1
0.357 1.99 -0.242 232.5 71.7 5.9
0.357 1.99 -0.242 247.5 64.6 5.7
0.357 1.99 -0.242 262.5 82.4 6.2
0.357 1.99 -0.242 277.5 96.6 6.7
0.357 1.99 -0.242 292.5 107.3 7.4
0.357 1.99 -0.242 307.5 133.1 8.7
0.357 1.99 -0.242 322.5 184.4 10.0
0.357 1.99 -0.242 337.5 196.6 11.0
0.357 1.99 -0.242 352.5 273.1 13.0
0.36 2.0 -0.304 7.5 325.3 33.0
0.36 2.0 -0.304 37.5 139.5 11.0
0.36 2.0 -0.304 52.5 104.9 8.2
0.36 2.0 -0.304 67.5 86.3 7
0.36 2.0 -0.304 82.5 80 6.3
0.36 2.0 -0.304 97.5 52.2 5.3
0.36 2.0 -0.304 112.5 55 5.4
0.36 2.0 -0.304 127.5 43.4 4.8
0.36 2.0 -0.304 142.5 37.9 4.4
0.36 2.0 -0.304 157.5 44.8 4.6
0.36 2.0 -0.304 172.5 36.5 4.4
0.36 2.0 -0.304 187.5 37.9 4.4
0.36 2.0 -0.304 202.5 46.2 4.7
0.36 2.0 -0.304 217.5 36.1 4.4
0.36 2.0 -0.304 232.5 49 5.0
0.36 2.0 -0.304 247.5 60.8 5.5
0.36 2.0 -0.304 262.5 61.1 5.6
0.36 2.0 -0.304 277.5 62.6 6.0
0.36 2.0 -0.304 292.5 79.3 6.9
0.36 2.0 -0.304 307.5 135 9.0
0.36 2.0 -0.304 322.5 150.5 11
0.36 2.0 -0.304 337.5 166 18.0
0.36 2.0 -0.364 37.5 133.5 18.0
0.36 2.0 -0.364 52.5 81.1 8.6
0.36 2.0 -0.364 67.5 71.9 6.8
0.36 2.0 -0.364 82.5 54.9 5.6
0.36 2.0 -0.364 97.5 42.3 5.1
0.36 2.0 -0.364 112.5 37.9 5.1
0.36 2.0 -0.364 127.5 32.7 4.7
0.36 2.0 -0.364 142.5 30.3 4.3
0.36 2.0 -0.364 157.5 25.4 4.1
0.36 2.0 -0.364 172.5 23.9 4.2
0.36 2.0 -0.364 187.5 26.5 4.3
0.36 2.0 -0.364 202.5 32.3 4.4
0.36 2.0 -0.364 217.5 35.6 4.4
0.36 2.0 -0.364 232.5 39.1 4.7
0.36 2.0 -0.364 247.5 45.7 5.1
0.36 2.0 -0.364 262.5 47.1 5.4
0.36 2.0 -0.364 277.5 56.7 6.1
0.36 2.0 -0.364 292.5 63.8 6.4
0.36 2.0 -0.364 307.5 84.6 8.9
0.36 2.0 -0.364 322.5 129.9 19.0

