id = 102
editor = KK

# these data are derived from the phi measurement
# of CLAS experiment, with kinematic restrictions by DM


### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.02009
inspiretex = Jo:2015ema
reference2 = FT analysis with MC error propagation by KK


### Scattering Process

frame = BMK

in1particle = em
in1energy = 5.75
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = e
out2particle = p
out3particle = gamma


### Observable 

y1name = XUUw
y1long = Weighted beam spin sum
y1unit = nb/GeV^4
y1value = column5
y1errorstatistic = column6
y1errorsystematic = column7


### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = FTn
x4unit = 1
x4value = column4


### Data
table=
#                                   error
#  Q2     xB    tm  FTn  XUUw   stat  avgsyst
##############################################
 1.62  0.185  0.11    0  1.437  0.048   0.127
 1.63  0.185  0.15    0  0.911  0.027   0.091
 1.63  0.185  0.20    0  0.574  0.017   0.052
 1.63  0.185  0.26    0  0.364  0.012   0.041
 1.63  0.185  0.34    0  0.205  0.007   0.020
 1.64  0.214  0.11    0  0.587  0.017   0.056
 1.64  0.214  0.15    0  0.394  0.012   0.040
 1.64  0.214  0.20    0  0.270  0.009   0.031
 1.64  0.214  0.26    0  0.172  0.006   0.021
 1.64  0.214  0.34    0  0.112  0.007   0.021
 1.88  0.215  0.11    0  0.865  0.026   0.088
 1.88  0.215  0.15    0  0.580  0.018   0.055
 1.88  0.215  0.20    0  0.375  0.013   0.040
 1.88  0.215  0.26    0  0.241  0.008   0.033
 1.88  0.215  0.34    0  0.134  0.005   0.017
 1.88  0.215  0.45    0  0.075  0.003   0.012
 1.79  0.244  0.11    0  0.323  0.024   0.049
 1.79  0.244  0.15    0  0.258  0.012   0.034
 1.79  0.244  0.20    0  0.167  0.007   0.020
 1.79  0.244  0.26    0  0.119  0.006   0.016
 1.80  0.244  0.34    0  0.082  0.009   0.015
 2.12  0.244  0.11    0  0.473  0.016   0.052
 2.12  0.245  0.15    0  0.367  0.010   0.035
 2.12  0.245  0.20    0  0.239  0.008   0.024
 2.12  0.245  0.26    0  0.159  0.005   0.016
 2.12  0.245  0.34    0  0.098  0.003   0.012
 2.12  0.245  0.45    0  0.053  0.002   0.008
 1.94  0.274  0.20    0  0.114  0.010   0.021
 1.94  0.274  0.26    0  0.082  0.011   0.015
 1.94  0.275  0.34    0  0.049  0.007   0.008
 2.35  0.275  0.20    0  0.164  0.006   0.018
 2.35  0.275  0.26    0  0.114  0.004   0.013
 2.35  0.275  0.34    0  0.070  0.002   0.007
 2.35  0.275  0.45    0  0.040  0.002   0.008
 2.10  0.304  0.20    0  0.082  0.008   0.015
 2.58  0.304  0.20    0  0.113  0.004   0.014
 2.58  0.305  0.26    0  0.079  0.003   0.009
 2.58  0.305  0.34    0  0.049  0.002   0.007
 2.58  0.305  0.45    0  0.031  0.002   0.006
 2.78  0.335  0.20    0  0.084  0.006   0.016
 2.78  0.335  0.26    0  0.055  0.002   0.007
 2.78  0.335  0.34    0  0.037  0.002   0.006
 2.78  0.335  0.45    0  0.022  0.001   0.004
 2.97  0.365  0.26    0  0.044  0.003   0.007
 2.97  0.365  0.34    0  0.026  0.001   0.005
 2.97  0.365  0.45    0  0.016  0.001   0.002
 3.18  0.400  0.34    0  0.022  0.002   0.004
 3.18  0.400  0.45    0  0.013  0.001   0.002
 1.62  0.185  0.11    1  -0.218  0.080   0.127
 1.63  0.185  0.15    1  -0.031  0.048   0.091
 1.63  0.185  0.20    1  -0.040  0.031   0.052
 1.63  0.185  0.26    1   0.035  0.025   0.041
 1.63  0.185  0.34    1   0.022  0.014   0.020
 1.64  0.214  0.11    1  -0.053  0.024   0.056
 1.64  0.214  0.15    1  -0.021  0.017   0.040
 1.64  0.214  0.20    1  -0.000  0.014   0.031
 1.64  0.214  0.26    1   0.010  0.011   0.021
 1.64  0.214  0.34    1   0.034  0.019   0.021
 1.88  0.215  0.11    1  -0.157  0.040   0.088
 1.88  0.215  0.15    1  -0.077  0.030   0.055
 1.88  0.215  0.20    1  -0.015  0.024   0.040
 1.88  0.215  0.26    1   0.007  0.020   0.033
 1.88  0.215  0.34    1   0.002  0.010   0.017
 1.88  0.215  0.45    1   0.013  0.007   0.012
 1.79  0.244  0.11    1  -0.058  0.038   0.049
 1.79  0.244  0.15    1  -0.023  0.019   0.034
 1.79  0.244  0.20    1  -0.006  0.011   0.020
 1.79  0.244  0.26    1   0.015  0.010   0.016
 1.80  0.244  0.34    1   0.031  0.018   0.015
 2.12  0.244  0.11    1  -0.136  0.023   0.052
 2.12  0.245  0.15    1  -0.080  0.014   0.035
 2.12  0.245  0.20    1  -0.046  0.013   0.024
 2.12  0.245  0.26    1  -0.017  0.009   0.016
 2.12  0.245  0.34    1  -0.011  0.006   0.012
 2.12  0.245  0.45    1   0.006  0.005   0.008
 1.94  0.274  0.20    1   0.001  0.018   0.021
 1.94  0.274  0.26    1   0.009  0.018   0.015
 1.94  0.275  0.34    1   0.007  0.010   0.008
 2.35  0.275  0.20    1  -0.027  0.009   0.018
 2.35  0.275  0.26    1  -0.011  0.008   0.013
 2.35  0.275  0.34    1   0.001  0.005   0.007
 2.35  0.275  0.45    1   0.004  0.005   0.008
 2.10  0.304  0.20    1  -0.002  0.013   0.015
 2.58  0.304  0.20    1  -0.018  0.006   0.014
 2.58  0.305  0.26    1  -0.011  0.004   0.009
 2.58  0.305  0.34    1  -0.005  0.003   0.007
 2.58  0.305  0.45    1   0.005  0.004   0.006
 2.78  0.335  0.20    1   0.001  0.011   0.016
 2.78  0.335  0.26    1  -0.007  0.003   0.007
 2.78  0.335  0.34    1  -0.004  0.003   0.006
 2.78  0.335  0.45    1   0.001  0.002   0.004
 2.97  0.365  0.26    1  -0.002  0.005   0.007
 2.97  0.365  0.34    1  -0.005  0.002   0.005
