id = 51
editor = KK

# the y1 data are derived from the phi measurement
# of HALL A data from the experiment (XUU-HALLA-06)

### Experiment

collaboration = HALLA
process = ep2epgamma
exptype = fixed target
year = 2006
reference =  nucl-ex/0607029
inspiretex = Camacho:2006qlkIN
reference2 = DFT analysis with MC error propagation by KK


### Scattering Process

frame = BMK

in1particle = em
in1energy = 5.75
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = e
out2particle = p
out3particle = gamma


### Observable 
y1long = Weighted beam spin sum
y1name = XUUw
y1unit = 1
y1value = column3
y1errorstatistic = column4
y1errornormalization = 0.056
# OLD way, using last column below which is obsolete now:
# y1errorsystematic = column5


### x-axes

x1name = xB
x1unit = 1
x1value = 0.36

x2name = Q2
x2unit = GeV^2
x2value = 2.3


x3name = t
x3unit = GeV^2
x3value = column1

x4name = FTn
x4unit = 1
x4value = column2


### Data

#  t    FTn    XUUw      stat        syst(5.6%)
##########################################################
-0.17   0   0.065704   0.000531   0.003679
-0.17   -1   -0.001395   0.000674   0.000078
-0.17   1   -0.003248   0.000756   0.000182
-0.17   -2   -0.000880   0.000733   0.000049
-0.17   2   -0.000911   0.000736   0.000051
-0.17   -3   0.001172   0.000835   0.000066
-0.17   3   -0.000237   0.000700   0.000013
-0.17   -4   -0.000799   0.000748   0.000045
-0.17   4   -0.001422   0.000726   0.000080
-0.17   -5   0.000495   0.000715   0.000028
-0.17   5   0.000504   0.000832   0.000028
-0.17   -6   0.000162   0.000700   0.000009
-0.17   6   -0.000478   0.000710   0.000027
-0.17   -7   0.001380   0.000787   0.000077
-0.17   7   0.000397   0.000780   0.000022
-0.17   -8   0.000429   0.000744   0.000024
-0.17   8   0.000501   0.000810   0.000028
-0.17   -9   0.000264   0.000771   0.000015
-0.17   9   0.000037   0.000804   0.000002
-0.17   -10   -0.000072   0.000730   0.000004
-0.17   10   0.000814   0.000731   0.000046
-0.17   -11   0.000345   0.000633   0.000019
-0.17   11   0.000429   0.000745   0.000024
-0.17   -12   0.000659   0.000557   0.000037
-0.23   0   0.050731   0.000465   0.002841
-0.23   -1   -0.000992   0.000680   0.000056
-0.23   1   0.006674   0.000627   0.000374
-0.23   -2   -0.000050   0.000757   0.000003
-0.23   2   -0.001113   0.000697   0.000062
-0.23   -3   -0.000314   0.000667   0.000018
-0.23   3   -0.000045   0.000726   0.000003
-0.23   -4   -0.000978   0.000666   0.000055
-0.23   4   -0.000764   0.000673   0.000043
-0.23   -5   0.000361   0.000642   0.000020
-0.23   5   -0.000022   0.000641   0.000001
-0.23   -6   -0.000181   0.000728   0.000010
-0.23   6   -0.000723   0.000695   0.000040
-0.23   -7   0.000271   0.000630   0.000015
-0.23   7   -0.000559   0.000629   0.000031
-0.23   -8   0.000150   0.000714   0.000008
-0.23   8   -0.000426   0.000652   0.000024
-0.23   -9   0.000399   0.000659   0.000022
-0.23   9   0.000088   0.000631   0.000005
-0.23   -10   -0.000464   0.000604   0.000026
-0.23   10   -0.001365   0.000686   0.000076
-0.23   -11   -0.000709   0.000727   0.000040
-0.23   11   -0.000843   0.000733   0.000047
-0.23   -12   -0.000130   0.000534   0.000007
-0.28   0   0.040287   0.000465   0.002256
-0.28   -1   0.000016   0.000633   0.000001
-0.28   1   0.011048   0.000654   0.000619
-0.28   -2   0.000537   0.000642   0.000030
-0.28   2   -0.000910   0.000692   0.000051
-0.28   -3   0.001512   0.000645   0.000085
-0.28   3   0.000091   0.000664   0.000005
-0.28   -4   0.001152   0.000692   0.000065
-0.28   4   0.000438   0.000623   0.000025
-0.28   -5   0.003299   0.000632   0.000185
-0.28   5   -0.000255   0.000669   0.000014
-0.28   -6   0.000475   0.000649   0.000027
-0.28   6   0.000138   0.000666   0.000008
-0.28   -7   0.001564   0.000639   0.000088
-0.28   7   0.001323   0.000687   0.000074
-0.28   -8   0.000630   0.000675   0.000035
-0.28   8   0.000403   0.000734   0.000023
-0.28   -9   -0.000757   0.000639   0.000042
-0.28   9   0.000187   0.000639   0.000010
-0.28   -10   -0.000179   0.000639   0.000010
-0.28   10   -0.000152   0.000678   0.000009
-0.28   -11   0.000610   0.000650   0.000034
-0.28   11   -0.000018   0.000612   0.000001
-0.28   -12   0.000860   0.000458   0.000048
-0.33   0   0.033758   0.000483   0.001890
-0.33   -1   -0.000846   0.000573   0.000047
-0.33   1   0.014509   0.000694   0.000813
-0.33   -2   0.000894   0.000654   0.000050
-0.33   2   0.001886   0.000694   0.000106
-0.33   -3   -0.000360   0.000684   0.000020
-0.33   3   -0.000239   0.000729   0.000013
-0.33   -4   -0.000702   0.000700   0.000039
-0.33   4   0.000824   0.000684   0.000046
-0.33   -5   -0.000172   0.000692   0.000010
-0.33   5   -0.000331   0.000669   0.000019
-0.33   -6   -0.000361   0.000692   0.000020
-0.33   6   0.000333   0.000663   0.000019
-0.33   -7   0.000689   0.000662   0.000039
-0.33   7   0.000429   0.000684   0.000024
-0.33   -8   -0.000687   0.000718   0.000038
-0.33   8   -0.000457   0.000611   0.000026
-0.33   -9   0.000459   0.000608   0.000026
-0.33   9   -0.000836   0.000579   0.000047
-0.33   -10   0.001141   0.000584   0.000064
-0.33   10   -0.000560   0.000620   0.000031
-0.33   -11   0.001049   0.000676   0.000059
-0.33   11   -0.001009   0.000583   0.000056
-0.33   -12   0.000550   0.000440   0.000031

