id = 119
editor = DM

# these data are derived from the phi measurement by DM


### Experiment

collaboration = HALLA
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1504.05453
inspiretex = Defurne:2015kxq
reference2 = FT fitting with numerical error propagation by DM


### Scattering Process 

frame = BMK

in1particle = em
in1energy = 5.7572
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 

y1name = XUUw
y1long = Weighted beam spin sum
y1unit = nb/GeV^4
y1value = column5
y1errorstatistic = column6
y1errorsystematic = column7
y1errornormalization = 0.028 
# normalization  errors are added in quadrature from publication
y1errornormalizationlinear = 0.064
# normalization errors from different sources are added linearly



### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = FTn
x4unit = 1
x4value = column4


### Data
table = 
#                                            error
#  xB     Q2    tm     FTn   XUUw        stat  avgsyst
################################################################
# KIN2
0.343   1.82    0.172   0   0.0688819   0.000526577 0.00095625
0.368   1.933   0.232   0   0.0422427   0.000452694 0.000841667
0.375   1.964   0.278   0   0.0344749   0.000479496 0.00109583
0.379   1.986   0.323   0   0.0279808   0.00055852  0.00128542
0.381   1.999   0.371   0   0.0247303   0.000705796 0.00164375
0.343   1.82    0.172   1   0.00383653  0.000770556 0.00095625
0.368   1.933   0.232   1   0.0100721   0.000660547 0.000841667
0.375   1.964   0.278   1   0.0134595   0.000683732 0.00109583
0.379   1.986   0.323   1   0.0127604   0.000802411 0.00128542
0.381   1.999   0.371   1   0.0135772   0.00111477  0.00164375
# KIN3
0.345   2.218   0.176   0   0.0624719   0.000532716 0.000929167
0.363   2.318   0.232   0   0.041364    0.000401584 0.000804167
0.368   2.348   0.279   0   0.0317035   0.000405088 0.000977083
0.371   2.36    0.325   0   0.0260179   0.000423804 0.0009375
0.373   2.375   0.372   0   0.0203844   0.00042988  0.00115417
0.345   2.218   0.176   1   -0.00171072 0.000741018 0.000929167
0.363   2.318   0.232   1   0.00523553  0.000602513 0.000804167
0.368   2.348   0.279   1   0.00868019  0.000608734 0.000977083
0.371   2.36    0.325   1   0.00990148  0.000633243 0.0009375
0.373   2.375   0.372   1   0.00769407  0.000655083 0.00115417
# XKIN2
0.378   2.012   0.192   0   0.046326    0.00100085  0.00145208
0.392   2.054   0.233   0   0.0352378   0.000550422 0.00100208
0.398   2.074   0.279   0   0.0291933   0.000552535 0.00113542
0.4     2.084   0.324   0   0.0249101   0.000647898 0.00118542
0.401   2.091   0.371   0   0.0219403   0.000807932 0.00152292
0.378   2.012   0.192   1   0.00235922  0.00141089  0.00145208
0.392   2.054   0.233   1   0.00455606  0.000793842 0.00100208
0.398   2.074   0.279   1   0.00943588  0.000800557 0.00113542
0.4     2.084   0.324   1   0.0105074   0.0009642   0.00118542
0.401   2.091   0.371   1   0.0113436   0.00126384  0.00152292
# XKIN3
0.336   2.161   0.171   0   0.0703398   0.000655458 0.00115417
0.342   2.19    0.231   0   0.049111    0.000755529 0.00152917
0.343   2.194   0.278   0   0.0364793   0.000843036 0.00104792
0.342   2.191   0.324   0   0.0315366   0.00102101  0.00129167
0.342   2.193   0.371   0   0.0244927   0.0013855   0.00186042
0.336   2.161   0.171   1   -0.00251551 0.000914    0.00115417
0.342   2.19    0.231   1   0.00957274  0.00108597  0.00152917
0.343   2.194   0.278   1   0.0149811   0.00134096  0.00104792
0.342   2.191   0.324   1   0.0153675   0.00148447  0.00129167
0.342   2.193   0.371   1   0.011708    0.00201585  0.00186042


