id = 136
editor = KK

# the y1 data are derived from the phi measurement
# of HALL A data from the experiment (XUU-HALLA-17-*)


### Experiment

collaboration = HALLA
process = ep2epgamma
exptype = fixed target
year = 2017
reference =  arXiv:1703.09442
inspiretex = Defurne:2017paw
reference2 = FT analysis with MC error propagation by KK


### Scattering Process

frame = BMK

in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = e
out2particle = p
out3particle = gamma


### Observable 

y1name = XUUw
y1long = Weighted cross-section
y1unit = nb/GeV^4
y1value = column5
y1errorstatistic = column6
# Systematic error (Including c0/c1 enhancement of cos(phi).)
y1errorsystematic = column7


### x-axes

x1name = in1energy
x1unit = GeV
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = xB
x3unit = 1
x3value = column3

x4name = tm
x4unit = GeV^2
x4value = column4

x5name = FTn
x5unit = 1
x5value = column8


### Data
table=
#  E    Q2     xB     tm     FTval    FTstat    FTsyst    FTn
#############################################################
5.550  1.51  0.359  0.180  0.089480  0.001444  0.003378    0
5.550  1.51  0.359  0.237  0.080007  0.001808  0.003020    0
5.550  1.52  0.361  0.298  0.067357  0.002471  0.002543    0
3.355  1.49  0.357  0.177  0.226174  0.003771  0.008538    0
3.355  1.50  0.359  0.236  0.167992  0.003724  0.006342    0
3.355  1.50  0.360  0.296  0.127423  0.005877  0.004810    0
5.550  1.74  0.359  0.183  0.064361  0.000564  0.002430    0
5.550  1.74  0.359  0.242  0.055042  0.000629  0.002078    0
5.550  1.74  0.359  0.302  0.049413  0.000696  0.001865    0
5.550  1.75  0.361  0.363  0.045142  0.000842  0.001704    0
4.455  1.74  0.357  0.181  0.105870  0.001077  0.003997    0
4.455  1.74  0.357  0.240  0.080838  0.001065  0.003052    0
4.455  1.74  0.358  0.301  0.063407  0.001113  0.002394    0
4.455  1.76  0.361  0.363  0.050920  0.001191  0.001922    0
5.550  1.98  0.357  0.182  0.060770  0.000733  0.002294    0
5.550  1.98  0.356  0.242  0.047899  0.000751  0.001808    0
5.550  1.98  0.356  0.302  0.037018  0.000788  0.001397    0
5.550  1.99  0.358  0.363  0.030305  0.000806  0.001144    0
4.455  1.98  0.356  0.182  0.109771  0.001380  0.004144    0
4.455  1.99  0.357  0.242  0.080744  0.001327  0.003048    0
4.455  2.00  0.360  0.304  0.060921  0.001266  0.002300    0
4.455  2.00  0.360  0.364  0.044154  0.001239  0.001667    0

5.550  1.51  0.359  0.180  0.026550  0.002128  0.002616    1
5.550  1.51  0.359  0.237  0.042479  0.002833  0.002500    1
5.550  1.52  0.361  0.298  0.050301  0.004138  0.002283    1
3.355  1.49  0.357  0.177  0.014973  0.005393  0.006408    1
3.355  1.50  0.359  0.236  0.039611  0.005559  0.004854    1
3.355  1.50  0.360  0.296  0.042396  0.010265  0.003757    1
5.550  1.74  0.359  0.183  0.009702  0.000793  0.001837    1
5.550  1.74  0.359  0.242  0.021045  0.000951  0.001643    1
5.550  1.74  0.359  0.302  0.029898  0.001121  0.001585    1
5.550  1.75  0.361  0.363  0.036264  0.001406  0.001566    1
4.455  1.74  0.357  0.181  0.006111  0.001505  0.002998    1
4.455  1.74  0.357  0.240  0.015049  0.001565  0.002317    1
4.455  1.74  0.358  0.301  0.024175  0.001708  0.001893    1
4.455  1.76  0.361  0.363  0.028245  0.001907  0.001604    1
5.550  1.98  0.357  0.182  0.001589  0.001019  0.001719    1
5.550  1.98  0.356  0.242  0.011576  0.001103  0.001385    1
5.550  1.98  0.356  0.302  0.012823  0.001188  0.001095    1
5.550  1.99  0.358  0.363  0.013560  0.001272  0.000922    1
4.455  1.98  0.356  0.182 -0.000147  0.001970  0.003105    1
4.455  1.99  0.357  0.242  0.006189  0.001861  0.002289    1
4.455  2.00  0.360  0.304  0.014696  0.002138  0.001762    1
4.455  2.00  0.360  0.364  0.015120  0.002282  0.001305    1
