id = 137
editor = KK

# the y1 data are derived from the phi measurement
# of HALL A data from the experiment (XUU-HALLA-17-*)


### Experiment

collaboration = HALLA
process = ep2epgamma
exptype = fixed target
year = 2017
reference =  arXiv:1703.09442
inspiretex = Defurne:2017paw
reference2 = FT analysis with MC error propagation by KK


### Scattering Process

frame = BMK

in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = e
out2particle = p
out3particle = gamma


### Observable 

y1name = XUUw
y1long = Weighted cross-section
y1unit = nb/GeV^4
y1value = column5
y1errorstatistic = column6
# Normalization error of 3.7% from p. 4 of Hall A paper
# (Neglecting possible c0/c1 enhancement.)
y1errornormalization = 0.037


### x-axes

x1name = in1energy
x1unit = GeV
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = xB
x3unit = 1
x3value = column3

x4name = tm
x4unit = GeV^2
x4value = column4

x5name = FTn
x5unit = 1
x5value = column7


### Data
table=
#  E    Q2     xB     tm     FTval    FTstat   FTn
##################################################
5.550  1.51  0.359  0.180  0.089474  0.001522    0
5.550  1.51  0.359  0.237  0.080029  0.001814    0
5.550  1.52  0.361  0.298  0.067321  0.002514    0
3.355  1.49  0.357  0.177  0.226153  0.003810    0
3.355  1.50  0.359  0.236  0.167926  0.003636    0
3.355  1.50  0.360  0.296  0.127246  0.005874    0
5.550  1.74  0.359  0.183  0.064366  0.000551    0
5.550  1.74  0.359  0.242  0.055035  0.000623    0
5.550  1.74  0.359  0.302  0.049405  0.000709    0
5.550  1.75  0.361  0.363  0.045099  0.000836    0
4.455  1.74  0.357  0.181  0.105780  0.001032    0
4.455  1.74  0.357  0.240  0.080830  0.001072    0
4.455  1.74  0.358  0.301  0.063423  0.001110    0
4.455  1.76  0.361  0.363  0.050910  0.001180    0
5.550  1.98  0.357  0.182  0.060718  0.000724    0
5.550  1.98  0.356  0.242  0.047878  0.000747    0
5.550  1.98  0.356  0.302  0.037047  0.000789    0
5.550  1.99  0.358  0.363  0.030313  0.000814    0
4.455  1.98  0.356  0.182  0.109701  0.001393    0
4.455  1.99  0.357  0.242  0.080717  0.001297    0
4.455  2.00  0.360  0.304  0.060959  0.001297    0
4.455  2.00  0.360  0.364  0.044110  0.001263    0

5.550  1.51  0.359  0.180  0.026464  0.002197    1
5.550  1.51  0.359  0.237  0.042486  0.002819    1
5.550  1.52  0.361  0.298  0.050227  0.004219    1
3.355  1.49  0.357  0.177  0.014794  0.005307    1
3.355  1.50  0.359  0.236  0.039475  0.005444    1
3.355  1.50  0.360  0.296  0.042846  0.010389    1
5.550  1.74  0.359  0.183  0.009704  0.000800    1
5.550  1.74  0.359  0.242  0.021018  0.000930    1
5.550  1.74  0.359  0.302  0.029881  0.001132    1
5.550  1.75  0.361  0.363  0.036215  0.001405    1
4.455  1.74  0.357  0.181  0.006235  0.001502    1
4.455  1.74  0.357  0.240  0.015088  0.001591    1
4.455  1.74  0.358  0.301  0.024183  0.001714    1
4.455  1.76  0.361  0.363  0.028269  0.001903    1
5.550  1.98  0.357  0.182  0.001549  0.001028    1
5.550  1.98  0.356  0.242  0.011509  0.001102    1
5.550  1.98  0.356  0.302  0.012886  0.001204    1
5.550  1.99  0.358  0.363  0.013550  0.001269    1
4.455  1.98  0.356  0.182 -0.000192  0.002007    1
4.455  1.99  0.357  0.242  0.006222  0.001876    1
4.455  2.00  0.360  0.304  0.014752  0.002073    1
4.455  2.00  0.360  0.364  0.015152  0.002367    1
