id = 143
editor = MC



### Experiment

collaboration = HALLA
process = ep2epgamma
exptype = fixed target
year = 2018
#reference =  
inspiretex = Georges:2018kyi
reference2 = FT analysis with MC error propagation by MC


### Scattering Process

frame = BMK

in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = e
out2particle = p
out3particle = gamma


### Observable 

y1name = XUUw
y1long = Weighted cross-section
y1unit = nb/GeV^4
y1value = column5
y1errorstatistic = column6
#y1errorsystematic = column7


### x-axes

x1name = in1energy
x1unit = GeV
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = xB
x3unit = 1
x3value = column3

x4name = t
x4unit = GeV^2
x4value = column4

x5name = FTn
x5unit = 1
x5value = column7

###Data

#     E    Q2     xB       t     FTval     FTerr  FTn
#####################################################
  7.383  3.17  0.363 -0.2108  0.028221  0.000225    0
  7.383  3.17  0.363 -0.2966  0.018560  0.000195    0
  7.383  3.18  0.365 -0.3849  0.012726  0.000187    0
  7.383  3.18  0.365 -0.4709  0.009114  0.000194    0
  7.383  3.18  0.364 -0.5858  0.007034  0.000333    0
  8.521  3.65  0.367 -0.2046  0.017784  0.000149    0
  8.521  3.65  0.367 -0.2658  0.012976  0.000132    0
  8.521  3.67  0.369 -0.3303  0.009833  0.000125    0
  8.521  3.68  0.370 -0.3925  0.007482  0.000126    0
  8.521  3.68  0.370 -0.4805  0.005492  0.000131    0
 10.591  4.53  0.369 -0.2094  0.010357  0.000100    0
 10.591  4.55  0.370 -0.2719  0.007663  0.000089    0
 10.591  4.57  0.372 -0.3356  0.005601  0.000083    0
 10.591  4.58  0.373 -0.3988  0.004485  0.000087    0
 10.591  4.57  0.371 -0.4834  0.003328  0.000086    0
  4.487  2.71  0.483 -0.3481  0.023054  0.000456    0
  4.487  2.71  0.483 -0.3906  0.018755  0.000446    0
  4.487  2.71  0.484 -0.4350  0.016919  0.000478    0
  4.487  2.71  0.485 -0.4797  0.015211  0.000619    0
  4.487  2.72  0.485 -0.5399  0.014399  0.001551    0
  8.851  4.50  0.497 -0.4098  0.003101  0.000041    0
  8.851  4.53  0.501 -0.4796  0.002400  0.000039    0
  8.851  4.56  0.504 -0.5475  0.002000  0.000042    0
  8.851  4.57  0.506 -0.6138  0.001865  0.000045    0
  8.851  4.59  0.508 -0.7073  0.001551  0.000038    0
  8.847  5.33  0.482 -0.3854  0.003247  0.000050    0
  8.847  5.34  0.483 -0.4456  0.002571  0.000047    0
  8.847  5.36  0.485 -0.5085  0.002120  0.000048    0
