id = 90
editor = KK


### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1501.07052
inspiretex = Pisano:2015iqa


### Scattering Process

frame = Trento

in1particle = em
in1energy = 5.932
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p
in2polarizationvector = L
in2polarization = +1

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LL}


y1name = BTSA
y1namelong = Double Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7 


### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2014 BTSA (DSA)
#                               error
# Q2    xB    -t   phi  BTSA  stat  syst
###########################################################
1.68  0.194  0.11   25  0.58  0.33  0.04
1.68  0.190  0.12   60  0.34  0.16  0.13
1.58  0.186  0.13   92  0.58  0.08  0.02
1.54  0.178  0.13  128  0.56  0.07  0.02
1.50  0.174  0.13  161  0.46  0.07  0.02
1.51  0.173  0.13  198  0.51  0.07  0.01
1.52  0.177  0.13  235  0.51  0.08  0.02
1.60  0.185  0.13  266  0.44  0.09  0.02
1.68  0.190  0.12  305  0.46  0.14  0.04
1.61  0.190  0.21   97 -0.05  0.26  0.10
1.57  0.182  0.23  128  0.54  0.14  0.05
1.51  0.179  0.23  161  0.64  0.10  0.06
1.54  0.178  0.23  199  0.60  0.10  0.03
1.62  0.184  0.23  233  0.38  0.13  0.11
1.64  0.191  0.22  263  0.75  0.21  0.08
1.63  0.188  0.49   96  0.81  0.32  0.14
1.54  0.181  0.47  127  0.34  0.16  0.04
1.36  0.173  0.49  162  0.50  0.09  0.05
1.42  0.174  0.46  196  0.54  0.11  0.03
1.60  0.181  0.43  234  0.36  0.16  0.09
1.56  0.185  0.51  261 -0.02  0.29  0.12
1.62  0.184  1.35   20  0.36  0.23  0.07
1.56  0.178  1.21   56  0.50  0.20  0.06
1.46  0.178  1.02   92  0.08  0.21  0.18
1.48  0.176  1.01  128  0.44  0.27  0.06
1.36  0.170  1.00  164  0.12  0.11  0.05
1.35  0.171  0.97  192  0.41  0.19  0.06
1.40  0.171  1.07  239  0.24  0.23  0.06
1.41  0.178  1.03  266  0.30  0.14  0.08
1.58  0.179  1.24  306  0.51  0.20  0.07
1.62  0.183  1.35  340  0.36  0.24  0.17
2.03  0.255  0.13   19  0.60  0.04  0.03
1.99  0.250  0.14   52  0.60  0.04  0.03
1.93  0.239  0.14   89  0.57  0.05  0.02
1.91  0.235  0.14  124  0.63  0.07  0.02
1.84  0.228  0.14  160  0.65  0.08  0.03
1.89  0.231  0.14  199  0.59  0.08  0.02
1.93  0.235  0.14  238  0.50  0.07  0.02
1.94  0.239  0.14  270  0.63  0.05  0.02
1.97  0.248  0.13  308  0.56  0.04  0.03
2.03  0.255  0.13  340  0.55  0.04  0.03
2.23  0.276  0.22   21  0.58  0.06  0.02
2.12  0.268  0.23   53  0.56  0.06  0.03
2.01  0.251  0.23   91  0.49  0.06  0.01
1.91  0.248  0.23  124  0.66  0.07  0.03
1.79  0.246  0.24  161  0.55  0.08  0.02
1.80  0.245  0.24  199  0.70  0.08  0.03
1.97  0.242  0.23  235  0.62  0.08  0.04
2.01  0.248  0.23  270  0.53  0.06  0.02
2.14  0.268  0.23  307  0.57  0.06  0.03
2.21  0.277  0.22  340  0.51  0.06  0.02
2.34  0.286  0.40   26  0.66  0.22  0.05
2.20  0.276  0.45   56  0.43  0.09  0.04
2.04  0.254  0.44   90  0.55  0.08  0.03
1.82  0.255  0.45  127  0.51  0.09  0.02
1.73  0.252  0.48  163  0.45  0.06  0.02
1.74  0.254  0.47  197  0.48  0.07  0.02
1.88  0.251  0.44  233  0.44  0.10  0.03
1.99  0.253  0.46  271  0.50  0.07  0.03
2.20  0.274  0.45  303  0.41  0.09  0.04
2.36  0.287  0.40  334  0.34  0.16  0.02
2.03  0.261  1.41   17  0.48  0.06  0.02
1.98  0.258  1.12   54  0.34  0.08  0.03
1.78  0.256  1.18   87  0.33  0.09  0.03
1.82  0.261  1.13  128  0.26  0.13  0.02
1.79  0.252  1.03  164  0.40  0.06  0.01
1.78  0.254  1.03  195  0.34  0.09  0.03
1.84  0.257  1.23  238  0.34  0.12  0.05
1.75  0.257  1.14  270  0.21  0.07  0.02
2.01  0.260  1.12  307  0.56  0.09  0.04
2.03  0.261  1.40  343  0.36  0.06  0.02
2.45  0.265  0.13   20  0.76  0.06  0.02
2.36  0.253  0.14   53  0.62  0.06  0.04
2.32  0.249  0.14   88  0.76  0.07  0.02
2.30  0.246  0.14  125  0.61  0.11  0.03
2.26  0.242  0.14  162  0.81  0.13  0.04
2.27  0.242  0.14  199  0.81  0.11  0.05
2.28  0.243  0.14  237  0.84  0.09  0.02
2.32  0.248  0.14  271  0.75  0.07  0.02
2.36  0.253  0.14  307  0.56  0.06  0.02
2.45  0.265  0.14  340  0.67  0.07  0.03
2.57  0.281  0.22   24  0.55  0.10  0.02
2.50  0.269  0.23   53  0.68  0.07  0.05
2.40  0.258  0.23   90  0.58  0.09  0.03
2.35  0.252  0.23  126  0.55  0.12  0.03
2.36  0.254  0.23  161  0.39  0.14  0.07
2.37  0.254  0.23  199  0.70  0.11  0.06
2.36  0.254  0.23  236  0.63  0.11  0.03
2.42  0.260  0.23  270  0.61  0.09  0.04
2.48  0.266  0.23  308  0.59  0.07  0.02
2.56  0.279  0.22  336  0.49  0.10  0.03
2.60  0.284  0.41   31  0.01  0.31  0.11
2.55  0.275  0.44   52  0.54  0.08  0.05
2.45  0.264  0.44   91  0.59  0.09  0.03
2.37  0.254  0.44  122  0.69  0.13  0.03
2.33  0.250  0.41  159  0.59  0.18  0.04
2.36  0.253  0.41  199  0.59  0.16  0.04
2.36  0.254  0.43  235  0.71  0.13  0.04
2.43  0.261  0.45  270  0.60  0.10  0.02
2.54  0.274  0.45  307  0.43  0.09  0.05
2.61  0.284  0.42  330  0.59  0.27  0.14
2.43  0.261  1.22   20  0.30  0.11  0.02
2.45  0.265  1.06   52  0.60  0.12  0.02
2.37  0.255  0.96   88  0.65  0.26  0.07
2.43  0.261  0.96  273  0.49  0.23  0.06
2.44  0.262  1.08  308  0.45  0.13  0.05
2.46  0.265  1.23  340  0.44  0.10  0.03
2.55  0.319  0.16   19  0.73  0.07  0.06
2.50  0.319  0.16   50  0.60  0.10  0.06
2.53  0.320  0.16   88  0.74  0.19  0.05
2.55  0.317  0.16  240  0.55  0.29  0.03
2.59  0.321  0.16  273  0.93  0.19  0.09
2.53  0.319  0.16  309  0.77  0.09  0.04
2.55  0.318  0.16  342  0.70  0.08  0.05
2.72  0.338  0.24   19  0.72  0.04  0.03
2.68  0.338  0.24   51  0.69  0.05  0.03
2.67  0.337  0.24   89  0.69  0.07  0.03
2.43  0.337  0.25  122  0.72  0.09  0.04
2.47  0.326  0.25  161  0.59  0.15  0.07
2.55  0.322  0.25  201  0.75  0.12  0.02
2.55  0.338  0.24  238  0.71  0.09  0.03
2.73  0.337  0.24  271  0.68  0.07  0.03
2.69  0.336  0.24  309  0.73  0.05  0.03
2.68  0.338  0.24  341  0.59  0.04  0.03
2.81  0.356  0.44   20  0.59  0.04  0.02
2.74  0.346  0.46   51  0.66  0.04  0.02
2.68  0.346  0.45   90  0.68  0.06  0.02
2.24  0.349  0.47  126  0.53  0.06  0.02
2.25  0.339  0.49  162  0.68  0.08  0.02
2.23  0.339  0.49  202  0.54  0.08  0.04
2.43  0.347  0.47  232  0.38  0.09  0.02
2.72  0.344  0.47  271  0.62  0.06  0.04
2.77  0.347  0.45  309  0.64  0.04  0.02
2.77  0.355  0.45  340  0.59  0.03  0.02
2.59  0.352  1.30   20  0.36  0.04  0.03
2.59  0.348  1.09   52  0.39  0.06  0.02
2.28  0.350  1.28   87  0.36  0.08  0.03
2.27  0.353  1.09  129  0.30  0.08  0.04
2.33  0.345  1.06  161  0.52  0.08  0.02
2.29  0.347  1.06  201  0.52  0.08  0.02
2.33  0.352  1.23  236  0.40  0.09  0.02
