id = 2121
editor = DM

### Pseudo EIC data obtained by using gepard fit and Salvatores errors 5% systematics for "cross section" are added
# for ep cross section for 20 x 250, b ~6
# systematic error for polarization are added to be 5%
# systematic error added to be 0.035

collaboration = EIC
process = ep2epgamma
exptype = collider
year = 2011
reference = "asi-errors-... from Salvatore"
reference2 =
reference3 =

### Scattering Process

frame = Trento

in1particle = e-
in1energy = 20.
in1energyunit = GeV
in2particle = p
in2energy = 250.
in2energyunit = GeV
in2polarizationvector = T
in2polarization = 1

out1particle = e-
out2particle = p
out3particle = gamma

# colliding 20 GeV electrons with
# 250 GeV protons

### Observable

y1name = TSA
y1namelong = transversal target spin asymmetry
y1unit = 1
y1value = column5
y1error = column6

### x-axes
x1name = tm
x1unit = GeV^2
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = xB
x3unit = 1
x3value = column3

x4name = phi
x4unit = rad
x4value = column4

table =
### Data
# tm Q2 xB phi TSA error sys and sta are added in quadrature
################################################################
0.08 13.89 0.002045 0.262 0.08370345461655486 0.04881171921575635
0.08 13.89 0.002045 0.785 0.018541791713478285 0.04950567264019465
0.08 13.89 0.002045 1.309 0.023811368350763123 0.04879584494264073
0.08 13.89 0.002045 1.833 -0.09016093473037835 0.0488025204333224
0.08 13.89 0.002045 2.356 -0.07585721207778665 0.04883327257483786
0.08 13.89 0.002045 2.88 0.006531772970497993 0.04886856491451767
0.08 13.89 0.002045 3.403592653589793 -0.04258016997102642 0.04886854706757405
0.08 13.89 0.002045 3.9265926535897933 -0.000524950827802538 0.048833317305219795
0.08 13.89 0.002045 4.450592653589793 -0.07145615135667663 0.04880250580849988
0.08 13.89 0.002045 4.974592653589793 -0.0014771198978531428 0.048795847561842264
0.08 13.89 0.002045 5.497592653589793 0.001559919390172932 0.049505661551248255
0.08 13.89 0.002045 6.021592653589793 -0.10217285220243355 0.04881172279244826
0.275 13.89 0.002045 0.262 0.06987722127638213 0.06774594493324303
0.275 13.89 0.002045 0.785 -0.0252793741636978 0.06946375651023687
0.275 13.89 0.002045 1.309 0.07496456368491301 0.06860029952895551
0.275 13.89 0.002045 1.833 -0.06494292832949296 0.06689149784114012
0.275 13.89 0.002045 2.356 0.015152319007992104 0.06605097749790732
0.275 13.89 0.002045 2.88 -0.18754976361035985 0.06521420612102183
0.275 13.89 0.002045 3.403592653589793 -0.14299450395885221 0.06521420196885057
0.275 13.89 0.002045 3.9265926535897933 0.01906290238051284 0.06605098968391707
0.275 13.89 0.002045 4.450592653589793 -0.12573944341183924 0.06689149241370591
0.275 13.89 0.002045 4.974592653589793 0.09924467452971597 0.06860029930663988
0.275 13.89 0.002045 5.497592653589793 -0.0048231336172606665 0.0694637536476115
0.275 13.89 0.002045 6.021592653589793 0.020798617316805927 0.06774594598103668
0.65 13.89 0.002045 0.262 -0.06680236140860596 0.12117407214673584
0.65 13.89 0.002045 0.785 -0.11179017606335699 0.1050075759638946
0.65 13.89 0.002045 1.309 -0.050081929959015795 0.1059495167286157
0.65 13.89 0.002045 1.833 -0.019346552843006085 0.10408471875516766
0.65 13.89 0.002045 2.356 -0.05517115530118023 0.10412180612203442
0.65 13.89 0.002045 2.88 0.07187605764958484 0.10414953393032492
0.65 13.89 0.002045 3.403592653589793 0.1886250067358045 0.10414952195629731
0.65 13.89 0.002045 3.9265926535897933 0.07306203753117486 0.10412184785270617
0.65 13.89 0.002045 4.450592653589793 -0.03580765821758863 0.10408469350592647
0.65 13.89 0.002045 4.974592653589793 -0.03355882534254125 0.10594951054490864
0.65 13.89 0.002045 5.497592653589793 0.019332398938457875 0.10500756737419303
0.65 13.89 0.002045 6.021592653589793 -0.07594863287690456 0.12117407547400896
1.1 13.89 0.002045 0.262 -0.16913685489029842 0.17455239465573086
1.1 13.89 0.002045 0.785 -0.19427052393122698 0.1618311233191393
1.1 13.89 0.002045 1.309 -0.17733277375714704 0.15695823858999058
1.1 13.89 0.002045 1.833 0.1230846085195785 0.16284990301318136
1.1 13.89 0.002045 2.356 0.11943161779088737 0.1357209545115707
1.1 13.89 0.002045 2.88 0.3345454353214695 0.15418974108443081
1.1 13.89 0.002045 3.403592653589793 0.3738056600139249 0.15418971933284054
1.1 13.89 0.002045 3.9265926535897933 0.3231755639762689 0.13572103823142356
1.1 13.89 0.002045 4.450592653589793 0.11032090902924649 0.16284986063459
1.1 13.89 0.002045 4.974592653589793 0.26257742959510233 0.15695822319372377
1.1 13.89 0.002045 5.497592653589793 -0.19814945153311975 0.16183111735757746
1.1 13.89 0.002045 6.021592653589793 0.006061244444268039 0.17455239838258219
1.35 13.89 0.002045 0.262 0.11714428298759512 0.2603654361937838
1.35 13.89 0.002045 0.785 0.14063206424049005 0.216843394044537
1.35 13.89 0.002045 1.309 -0.2291890570762928 0.23462888427576645
1.35 13.89 0.002045 1.833 0.1760194166256484 0.20306490252856493
1.35 13.89 0.002045 2.356 0.15545194366508733 0.19129380728108203
1.35 13.89 0.002045 2.88 -0.16711543403091425 0.16486719829274346
1.35 13.89 0.002045 3.403592653589793 0.09778351948072155 0.16486718364367656
1.35 13.89 0.002045 3.9265926535897933 0.3251139520562722 0.19129384898826915
1.35 13.89 0.002045 4.450592653589793 0.159315244392306 0.2030648789768168
1.35 13.89 0.002045 4.974592653589793 0.2764296625115366 0.23462887643584093
1.35 13.89 0.002045 5.497592653589793 0.06436114617302678 0.2168433925090272
1.35 13.89 0.002045 6.021592653589793 -0.38244652005945323 0.26036543756984487
