id = 89
editor = KK

### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2015
reference = arXiv:1501.07052
inspiretex = Pisano:2015iqa

### Scattering Process

frame = Trento

in1particle = em
in1energy = 5.932
in1energyunit = GeV

in2polarizationvector = L
in2polarization = +1
in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{UL}


y1name = TSA
y1namelong = Longitudinally Polarized Target Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7 



### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2014 TSA
#                               error
# Q2   xB     -t   phi   TSA  stat  syst
#########################################
1.68  0.194  0.11   25  0.44  0.26  0.02
1.68  0.190  0.12   60  0.12  0.14  0.02
1.58  0.186  0.13   92  0.18  0.07  0.01
1.54  0.178  0.13  128  0.13  0.06  0.02
1.50  0.174  0.13  161  0.07  0.06  0.01
1.51  0.173  0.13  198 -0.08  0.06  0.01
1.52  0.177  0.13  235 -0.13  0.07  0.02
1.60  0.185  0.13  266 -0.18  0.08  0.01
1.68  0.190  0.12  305 -0.01  0.12  0.03
1.61  0.190  0.21   97  0.15  0.21  0.04
1.57  0.182  0.23  128 -0.01  0.12  0.03
1.51  0.179  0.23  161  0.13  0.09  0.02
1.54  0.178  0.23  199  0.11  0.09  0.01
1.62  0.184  0.23  233 -0.24  0.11  0.01
1.64  0.191  0.22  263 -0.41  0.19  0.08
1.63  0.188  0.49   96  0.23  0.27  0.06
1.54  0.181  0.47  127  0.14  0.14  0.04
1.36  0.173  0.49  162  0.19  0.08  0.01
1.42  0.174  0.46  196 -0.03  0.10  0.01
1.60  0.181  0.43  234 -0.17  0.14  0.04
1.56  0.185  0.51  261 -0.29  0.24  0.10
1.62  0.184  1.35   20  0.23  0.19  0.02
1.56  0.178  1.21   56 -0.05  0.17  0.07
1.46  0.178  1.02   92  0.21  0.20  0.10
1.48  0.176  1.01  128  0.36  0.24  0.04
1.36  0.170  1.00  164  0.41  0.09  0.06
1.35  0.171  0.97  192  0.07  0.18  0.07
1.40  0.171  1.07  239  0.09  0.22  0.03
1.41  0.178  1.03  266 -0.27  0.12  0.10
1.58  0.179  1.24  306  0.04  0.17  0.10
1.62  0.183  1.35  340 -0.20  0.20  0.10
2.03  0.255  0.13   19 -0.03  0.03  0.01
1.99  0.250  0.14   52  0.05  0.04  0.01
1.93  0.239  0.14   89  0.05  0.04  0.01
1.91  0.235  0.14  124  0.12  0.06  0.02
1.84  0.228  0.14  160  0.20  0.07  0.01
1.89  0.231  0.14  199 -0.01  0.07  0.02
1.93  0.235  0.14  238 -0.13  0.06  0.01
1.94  0.239  0.14  270 -0.16  0.04  0.01
1.97  0.248  0.13  308 -0.16  0.03  0.01
2.03  0.255  0.13  340 -0.09  0.04  0.01
2.23  0.276  0.22   21 -0.00  0.06  0.01
2.12  0.268  0.23   53  0.14  0.05  0.02
2.01  0.251  0.23   91  0.16  0.05  0.01
1.91  0.248  0.23  124  0.06  0.07  0.01
1.79  0.246  0.24  161  0.07  0.07  0.01
1.80  0.245  0.24  199 -0.03  0.08  0.02
1.97  0.242  0.23  235 -0.18  0.07  0.01
2.01  0.248  0.23  270 -0.21  0.05  0.01
2.14  0.268  0.23  307 -0.15  0.05  0.02
2.21  0.277  0.22  340  0.00  0.05  0.01
2.34  0.286  0.40   26 -0.17  0.18  0.01
2.20  0.276  0.45   56  0.15  0.08  0.02
